,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,n_features,substring,stopped_generation
102,"Silhouettes of solitude etched deep in vacant skies,",skies,sighs,dies,True,Whispers of forgotten dreams drift through the silent sighs.,Whispers of forgotten dreams drift through the silent sighs.,Whispers of forgotten dreams drift through the silent,80,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Silhouettes of solitude etched deep in vacant skies,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Silhouettes of solitude etched deep in vacant skies,
assistant
<think>

</think>

Whispers of the wind carry secrets long unsaid."
104,"Footprints in the dust of days gone by,",by,high,sigh,True,Echoes of a life that once ran high.,Echoes of a life that once ran high.,Echoes of a life that once ran,86,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Footprints in the dust of days gone by,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Footprints in the dust of days gone by,
assistant
<think>

</think>

Echoes of laughter where the wind now plays."
105,"The reaper whispers soft through every age,",age,page,rage,True,And time unfolds its silent page.,And time unfolds its silent page.,And time unfolds its silent,78,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The reaper whispers soft through every age,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The reaper whispers soft through every age,
assistant
<think>

</think>

And time unfolds its silent thread."
107,"Two hearts entwined where vows take root,",root,fruit,root,True,A love that grows in tender fruit.,A love that grows in tender fruit.,A love that grows in tender,86,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Two hearts entwined where vows take root,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Two hearts entwined where vows take root,
assistant
<think>

</think>

A love eternal, never to part."
111,"The thunder in his chest begins to roar,",roar,door,soar,True,As lightning cracks the sky with every door.,As lightning cracks the sky with every door.,As lightning cracks the sky with every,73,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The thunder in his chest begins to roar,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The thunder in his chest begins to roar,
assistant
<think>

</think>

The lightning in his eyes ignites the night."
114,"The elder chants as clocks devour time,",time,climb,time,True,The shadows dance where memories climb.,The shadows dance where memories climb.,The shadows dance where memories,69,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The elder chants as clocks devour time,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The elder chants as clocks devour time,
assistant
<think>

</think>

The shadows stretch where silence roams."
115,"Roots whispered in stories older than stone,",stone,unknown,stone,True,"Leaves listened with silence, yet bore the weight of the unknown.","Leaves listened with silence, yet bore the weight of the unknown.","Leaves listened with silence, yet bore the weight of the",84,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Roots whispered in stories older than stone,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Roots whispered in stories older than stone,
assistant
<think>

</think>

Leaves listened with silence older than song."
117,"Amber whispers brush the breeze,",breeze,trees,trees,True,Golden light in silent trees.,Golden light in silent trees.,Golden light in silent,65,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Amber whispers brush the breeze,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Amber whispers brush the breeze,
assistant
<think>

</think>

Golden light begins to dance."
118,"Autumn's breath whispers through the trees,",trees,seas,trees,True,Leaves descend in golden seas.,Leaves descend in golden seas.,Leaves descend in golden,91,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Autumn's breath whispers through the trees,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Autumn's breath whispers through the trees,
assistant
<think>

</think>

Leaving golden leaves in silent flight."
120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,climb,time,True,And chase the horizon where the wild winds climb.,And chase the horizon where the wild winds climb.,And chase the horizon where the wild winds,62,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Pack the sunrise in your pocket, let the roads unwind like time,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Pack the sunrise in your pocket, let the roads unwind like time,
assistant
<think>

</think>

And chase the horizon where the wild winds find."
121,"Love is the fire that warms both heart and home,",home,roam,home,True,But burns the soul when left to roam.,But burns the soul when left to roam.,But burns the soul when left to,82,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Love is the fire that warms both heart and home,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Love is the fire that warms both heart and home,
assistant
<think>

</think>

But burns the soul when left to fester."
124,"In the quiet dawn, where prayers and petals rise,",rise,skies,dies,True,A whisper stirs the heart beneath the skies.,A whisper stirs the heart beneath the skies.,A whisper stirs the heart beneath the,84,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In the quiet dawn, where prayers and petals rise,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In the quiet dawn, where prayers and petals rise,
assistant
<think>

</think>

A whisper stirs the heart and the petals."
126,"Whispers of dread in the silence they creep,",creep,keep,sweep,True,Shadowing dreams that we cannot keep.,Shadowing dreams that we cannot keep.,Shadowing dreams that we cannot,86,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of dread in the silence they creep,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of dread in the silence they creep,
assistant
<think>

</think>

But hope still lingers in the breath they steal."
128,"In starlit whispers, my hopes take flight,",flight,night,light,True,A dance of dreams in the velvet night.,A dance of dreams in the velvet night.,A dance of dreams in the velvet,85,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In starlit whispers, my hopes take flight,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In starlit whispers, my hopes take flight,
assistant
<think>

</think>

A dance of dreams where they softly land."
130,"The earth whispers tales through rustling green,",green,unseen,unseen,True,"The stars listen close, their ancient secrets unseen.","The stars listen close, their ancient secrets unseen.","The stars listen close, their ancient secrets",61,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The earth whispers tales through rustling green,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The earth whispers tales through rustling green,
assistant
<think>

</think>

And stars listen close with their shimmering eyes."
133,"The hush of time whispers tales of the old,",old,bold,told,True,Echoes of laughter in shadows still bold.,"The hush of time whispers tales of the old,  
Echoes of laughter in shadows still bold.","The hush of time whispers tales of the old,  
Echoes of laughter in shadows still",65,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The hush of time whispers tales of the old,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The hush of time whispers tales of the old,
assistant
<think>

</think>

The hush of time whispers tales of the old,  
Echoes of moments that once were bold"
135,"Whispers of the past linger where old shadows dance,",dance,chance,dance,True,Echoes of forgotten dreams in the silence of chance.,Echoes of forgotten dreams in the silence of chance.,Echoes of forgotten dreams in the silence of,77,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of the past linger where old shadows dance,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of the past linger where old shadows dance,
assistant
<think>

</think>

Echoes of forgotten dreams still haunt the silent halls."
137,"Amid the throng, a silent storm,",storm,form,storm,True,A whisper grows to thunder's form.,A whisper grows to thunder's form.,A whisper grows to thunder's,74,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Amid the throng, a silent storm,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Amid the throng, a silent storm,
assistant
<think>

</think>

A whisper grows to thunder's might."
138,"Whispers of winds through ancient tree songs flow,",flow,below,glow,True,Soft echoes of time in the rustling below.,Soft echoes of time in the rustling below.,Soft echoes of time in the rustling,78,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of winds through ancient tree songs flow,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of winds through ancient tree songs flow,
assistant
<think>

</think>

Softly they carry tales of long-lost homes."
139,"Whispers of crimson, symphonies in every thread,",thread,led,thread,True,A dance of shadows where the heart is led.,A dance of shadows where the heart is led.,A dance of shadows where the heart is,83,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of crimson, symphonies in every thread,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of crimson, symphonies in every thread,
assistant
<think>

</think>

A dance of shadows where the fire never dies."
141,"Winds of freedom whisper where chains forgot to fall,",fall,call,fall,True,Echoes of the past still call.,Echoes of the past still call.,Echoes of the past still,98,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Winds of freedom whisper where chains forgot to fall,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Winds of freedom whisper where chains forgot to fall,
assistant
<think>

</think>

And hope ignites the dawn where shadows once were strong."
147,"Joy dances bright where kind hearts meet,",meet,beat,deceit,True,Love weaves its light through every beat.,Love weaves its light through every beat.,Love weaves its light through every,92,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Joy dances bright where kind hearts meet,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Joy dances bright where kind hearts meet,
assistant
<think>

</think>

Love weaves its light through every part."
149,"Like morning dew on petals soft and new,",new,hue,new,True,So fades the light of daybreak's tender hue.,So fades the light of daybreak's tender hue.,So fades the light of daybreak's tender,103,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Like morning dew on petals soft and new,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Like morning dew on petals soft and new,
assistant
<think>

</think>

It fades before the sun can fully wake."
150,"Wings of dawn clash with iron night,",night,flight,light,True,Shadows dance where the stars take flight.,Shadows dance where the stars take flight.,Shadows dance where the stars take,81,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Wings of dawn clash with iron night,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Wings of dawn clash with iron night,
assistant
<think>

</think>

Shadows dance where the light has fled."
151,"Brushstrokes weave the silent song of imagination’s flame,",flame,name,name,True,A canvas breathes where dreams take flight in hues unseen by name.,A canvas breathes where dreams take flight in hues unseen by name.,A canvas breathes where dreams take flight in hues unseen by,81,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Brushstrokes weave the silent song of imagination’s flame,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Brushstrokes weave the silent song of imagination’s flame,
assistant
<think>

</think>

A canvas breathes where dreams are born."
152,"Whispers of the past dance on the breeze,",breeze,tease,trees,True,Echoes of forgotten dreams still tease.,Echoes of forgotten dreams still tease.,Echoes of forgotten dreams still,77,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of the past dance on the breeze,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of the past dance on the breeze,
assistant
<think>

</think>

Echoes of forgotten dreams."
153,"In youth's tender bloom, my heart first knew the name of flame,",flame,same,name,True,"Now aged and wise, I find its echo in the same.","Now aged and wise, I find its echo in the same.","Now aged and wise, I find its echo in the",81,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In youth's tender bloom, my heart first knew the name of flame,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In youth's tender bloom, my heart first knew the name of flame,
assistant
<think>

</think>

Now aged, I find its embers still glow in the quiet flame."
159,"Whispers of wind through the emerald embrace,",embrace,grace,embrace,True,A dance with the shadows in twilight's soft grace.,A dance with the shadows in twilight's soft grace.,A dance with the shadows in twilight's soft,83,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of wind through the emerald embrace,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of wind through the emerald embrace,
assistant
<think>

</think>

Dancing with shadows in twilight's embrace."
160,"Whispers of absence haunt the halls where laughter used to play,",play,day,grey,True,Echoes of joy fade into the silence of the day.,Echoes of joy fade into the silence of the day.,Echoes of joy fade into the silence of the,95,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of absence haunt the halls where laughter used to play,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of absence haunt the halls where laughter used to play,
assistant
<think>

</think>

Echoes of joy now linger in the walls."
163,"A hollow vow where silence weeps,",weeps,sleeps,weeps,True,A shadowed heart that never sleeps.,A shadowed heart that never sleeps.,A shadowed heart that never,64,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: A hollow vow where silence weeps,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: A hollow vow where silence weeps,
assistant
<think>

</think>

A shadowed heart that never knew love."
165,"Wander the roads where old shadows dance,",dance,glance,dance,True,"Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver",77,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Wander the roads where old shadows dance,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Wander the roads where old shadows dance,
assistant
<think>

</think>

Beneath the stars that whisper of days long past."
166,"In shadows crowned, the weak wear might unseen,",unseen,seen,unseen,True,While strength in light is oft by folly seen.,While strength in light is oft by folly seen.,While strength in light is oft by folly,74,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadows crowned, the weak wear might unseen,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadows crowned, the weak wear might unseen,
assistant
<think>

</think>

While strength in light is oft denied."
168,"Smoke ascends where silent dreams once grew,",grew,flew,new,True,Ash remains where whispered hopes once flew.,Ash remains where whispered hopes once flew.,Ash remains where whispered hopes once,94,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Smoke ascends where silent dreams once grew,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Smoke ascends where silent dreams once grew,
assistant
<think>

</think>

And shadows dance where light once gleamed."
170,"In shadows cast by silver lies,",lies,dies,dies,True,A whisper stirs where silence dies.,A whisper stirs where silence dies.,A whisper stirs where silence,63,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadows cast by silver lies,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadows cast by silver lies,
assistant
<think>

</think>

A whisper stirs where silence lies."
171,"In whispered groves where the wild things dance,",dance,glance,dance,True,"Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver",85,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In whispered groves where the wild things dance,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In whispered groves where the wild things dance,
assistant
<think>

</think>

The moonlight weaves a silver thread."
172,"City lights hum with restless desire,",desire,fire,desire,True,Shadowed dreams drift on midnight's fire.,Shadowed dreams drift on midnight's fire.,Shadowed dreams drift on midnight's,87,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: City lights hum with restless desire,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: City lights hum with restless desire,
assistant
<think>

</think>

Shadowed dreams drift on the midnight wind."
173,"Time weaves its wisdom, thread by silent thread,",thread,spread,thread,True,"A tapestry of moments, softly spread.","A tapestry of moments, softly spread.","A tapestry of moments, softly",92,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Time weaves its wisdom, thread by silent thread,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Time weaves its wisdom, thread by silent thread,
assistant
<think>

</think>

And patience stitches peace where once there was a rift."
174,"Whispers of winds through the ancient wood,",wood,stood,wood,True,Echoes of secrets the trees have stood.,Echoes of secrets the trees have stood.,Echoes of secrets the trees have,62,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of winds through the ancient wood,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of winds through the ancient wood,
assistant
<think>

</think>

Cradling the secrets of time."
