,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,n_features,substring,stopped_generation
128,"In starlit whispers, my hopes take flight,",flight,night,light,True,Through dreams that shimmer in the night.,Through dreams that shimmer in the night.,Through dreams that shimmer in the,89,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In starlit whispers, my hopes take flight,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In starlit whispers, my hopes take flight,
assistant
<think>

</think>

the moonlight cradles my dreams."
131,"In shadows cast by city lights, a thousand souls feel night,",night,alight,light,True,yet find their way through silent streets with hope alight.,yet find their way through silent streets with hope alight.,yet find their way through silent streets with hope,67,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadows cast by city lights, a thousand souls feel night,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadows cast by city lights, a thousand souls feel night,
assistant
<think>

</think>

yet none can see the stars."
132,"Beneath the brush of dawn’s soft light,",light,white,light,True,A silent world awakes in quiet white.,A silent world awakes in quiet white.,A silent world awakes in quiet,64,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Beneath the brush of dawn’s soft light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Beneath the brush of dawn’s soft light,
assistant
<think>

</think>

the world awakens in gentle light."
133,"The hush of time whispers tales of the old,",old,bold,told,True,the wind still hums the songs of the bold.,the wind still hums the songs of the bold.,the wind still hums the songs of the,37,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The hush of time whispers tales of the old,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The hush of time whispers tales of the old,
assistant
<think>

</think>

the wind still carries their ancient trail."
135,"Whispers of the past linger where old shadows dance,",dance,trance,dance,True,"Time bends to listen, lost in silent trance.","Time bends to listen, lost in silent trance.","Time bends to listen, lost in silent",80,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of the past linger where old shadows dance,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of the past linger where old shadows dance,
assistant
<think>

</think>

echoes of forgotten dreams still sway."
136,"Through storms of time, our roots hold fast,",fast,cast,past,True,"Through trials deep, our bond is cast.","Through trials deep, our bond is cast.","Through trials deep, our bond is",56,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Through storms of time, our roots hold fast,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Through storms of time, our roots hold fast,
assistant
<think>

</think>

beneath the weight of years we stand."
138,"Whispers of winds through ancient tree songs flow,",flow,below,glow,True,Echoes of time in rustling leaves below.,Echoes of time in rustling leaves below.,Echoes of time in rustling leaves,86,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of winds through ancient tree songs flow,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of winds through ancient tree songs flow,
assistant
<think>

</think>

echoing tales of time long gone."
139,"Whispers of crimson, symphonies in every thread,",thread,dead,thread,True,"A tapestry of passion, woven from the dead.","A tapestry of passion, woven from the dead.","A tapestry of passion, woven from the",77,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of crimson, symphonies in every thread,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of crimson, symphonies in every thread,
assistant
<think>

</think>

A dance of shadows where the night is born."
141,"Winds of freedom whisper where chains forgot to fall,",fall,call,fall,True,And echoes of the brave still call.,And echoes of the brave still call.,And echoes of the brave still,83,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Winds of freedom whisper where chains forgot to fall,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Winds of freedom whisper where chains forgot to fall,
assistant
<think>

</think>

And echoes of the past still hum in the cot."
142,"The scales of justice sway on trembling strings,",strings,wings,strings,True,Balancing truth in silent wings.,Balancing truth in silent wings.,Balancing truth in silent,80,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The scales of justice sway on trembling strings,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The scales of justice sway on trembling strings,
assistant
<think>

</think>

Balancing truth in a world of trembling."
147,"Joy dances bright where kind hearts meet,",meet,sweet,deceit,True,And laughter blooms like springtime's sweet.,And laughter blooms like springtime's sweet.,And laughter blooms like springtime's,73,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Joy dances bright where kind hearts meet,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Joy dances bright where kind hearts meet,
assistant
<think>

</think>

And laughter echoes through the night."
149,"Like morning dew on petals soft and new,",new,hue,new,True,Shines the light of hope in every hue.,Shines the light of hope in every hue.,Shines the light of hope in every,96,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Like morning dew on petals soft and new,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Like morning dew on petals soft and new,
assistant
<think>

</think>

shimmering in the light of dawn."
156,"Two hearts entwined, a vow so true,",true,rue,new,True,"Forever bound, through joy and rue.","Forever bound, through joy and rue.","Forever bound, through joy and",84,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Two hearts entwined, a vow so true,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Two hearts entwined, a vow so true,
assistant
<think>

</think>

Forever bound in love's embrace."
158,"Like shadows at the close of day,",day,away,grey,True,"We fade from sight, yet never away.","We fade from sight, yet never away.","We fade from sight, yet never",74,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Like shadows at the close of day,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Like shadows at the close of day,
assistant
<think>

</think>

we fade from sight."
159,"Whispers of wind through the emerald embrace,",embrace,grace,embrace,True,A symphony of leaves in the twilight's soft grace.,A symphony of leaves in the twilight's soft grace.,A symphony of leaves in the twilight's soft,80,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of wind through the emerald embrace,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of wind through the emerald embrace,
assistant
<think>

</think>

A gentle song upon the hill."
162,"Colors whisper secrets where wild imaginations tread,",tread,led,thread,True,And dreams take flight where the forgotten are led.,And dreams take flight where the forgotten are led.,And dreams take flight where the forgotten are,90,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Colors whisper secrets where wild imaginations tread,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Colors whisper secrets where wild imaginations tread,
assistant
<think>

</think>

and dreams take flight on silent wings."
164,"In shadows cast by screens we cling,",cling,sing,sing,True,"Our hearts grow faint, yet still we sing.","Our hearts grow faint, yet still we sing.","Our hearts grow faint, yet still we",50,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadows cast by screens we cling,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadows cast by screens we cling,
assistant
<think>

</think>

Our hearts grow faint, yet still we gleam."
165,"Wander the roads where old shadows dance,",dance,trance,dance,True,And listen for echoes of ancient trance.,And listen for echoes of ancient trance.,And listen for echoes of ancient,85,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Wander the roads where old shadows dance,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Wander the roads where old shadows dance,
assistant
<think>

</think>

and listen to the whispers of the past."
168,"Smoke ascends where silent dreams once grew,",grew,hue,new,True,Echoes of forgotten skies still hue.,Echoes of forgotten skies still hue.,Echoes of forgotten skies still,85,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Smoke ascends where silent dreams once grew,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Smoke ascends where silent dreams once grew,
assistant
<think>

</think>

echoes linger in the morning light."
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,flight,light,True,"beneath the weight of time, they whisper promises of flight.","beneath the weight of time, they whisper promises of flight.","beneath the weight of time, they whisper promises of",80,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,
assistant
<think>

</think>

fruit born of yesterday's sorrow."
170,"In shadows cast by silver lies,",lies,rise,dies,True,A whispered truth begins to rise.,A whispered truth begins to rise.,A whispered truth begins to,41,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadows cast by silver lies,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadows cast by silver lies,
assistant
<think>

</think>

the truth is whispered through the night."
171,"In whispered groves where the wild things dance,",dance,trance,dance,True,The moonlight weaves through the ancient trance.,The moonlight weaves through the ancient trance.,The moonlight weaves through the ancient,66,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In whispered groves where the wild things dance,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In whispered groves where the wild things dance,
assistant
<think>

</think>

the moonlight dances with the trees."
174,"Whispers of winds through the ancient wood,",wood,stood,wood,True,Echoes of secrets the trees have stood.,Echoes of secrets the trees have stood.,Echoes of secrets the trees have,72,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of winds through the ancient wood,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of winds through the ancient wood,
assistant
<think>

</think>

Echoes of time in the forest's embrace."
175,"By the sandbox where the fireflies glow,",glow,low,glow,True,the moonlight dances low.,the moonlight dances low.,the moonlight dances,82,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: By the sandbox where the fireflies glow,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: By the sandbox where the fireflies glow,
assistant
<think>

</think>

the moonlight dances on the still water."
176,"Winds of freedom whisper where chains dare not clink,",clink,blink,clink,True,Hope ignites the fire in every silent blink.,Hope ignites the fire in every silent blink.,Hope ignites the fire in every silent,79,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Winds of freedom whisper where chains dare not clink,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Winds of freedom whisper where chains dare not clink,
assistant
<think>

</think>

Liberty blooms in the shadows they've tried to control."
179,"A heartbeat’s whisper, a soul’s soft fire,",fire,inspire,desire,True,"Burns through the silence, a promise to inspire.","Burns through the silence, a promise to inspire.","Burns through the silence, a promise to",84,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: A heartbeat’s whisper, a soul’s soft fire,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: A heartbeat’s whisper, a soul’s soft fire,
assistant
<think>

</think>

A silent promise in the dark."
180,"Beneath a handshake, a dagger gleams with dew,",dew,true,new,True,A silent vow binds the living and the true.,A silent vow binds the living and the true.,A silent vow binds the living and the,74,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Beneath a handshake, a dagger gleams with dew,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Beneath a handshake, a dagger gleams with dew,
assistant
<think>

</think>

A silent vow binds the hearts of men."
181,"Whispers of winter kiss the thawing spring,",spring,sing,sing,True,"Beneath the snow, the seeds begin to sing.","Beneath the snow, the seeds begin to sing.","Beneath the snow, the seeds begin to",71,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of winter kiss the thawing spring,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of winter kiss the thawing spring,
assistant
<think>

</think>

Beneath the frost, the earth begins to awaken."
183,"A silent tear on truth's tightrope spin,",spin,win,spin,True,A whispered hope begins to win.,A whispered hope begins to win.,A whispered hope begins to,78,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: A silent tear on truth's tightrope spin,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: A silent tear on truth's tightrope spin,
assistant
<think>

</think>

A whispered prayer to mend the rope."
186,"Beneath soft lies, the truth wears a cloak of light,",light,night,light,True,Yet whispers of shadows still cling to the night.,Yet whispers of shadows still cling to the night.,Yet whispers of shadows still cling to the,91,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Beneath soft lies, the truth wears a cloak of light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Beneath soft lies, the truth wears a cloak of light,
assistant
<think>

</think>

Yet whispers of light pierce the deepest of dark."
187,"Two hearts entwined where the vows take flight,",flight,light,light,True,One soul forever in love's pure light.,One soul forever in love's pure light.,One soul forever in love's pure,92,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Two hearts entwined where the vows take flight,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Two hearts entwined where the vows take flight,
assistant
<think>

</think>

One soul forever, bound in love's embrace."
188,"A laughter rings where sunshine stirs the air,",air,square,despair,True,A joyous song begins to fill the square.,A joyous song begins to fill the square.,A joyous song begins to fill the,87,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: A laughter rings where sunshine stirs the air,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: A laughter rings where sunshine stirs the air,
assistant
<think>

</think>

A joyous song in every heart."
189,"In whispered hearts where silent dreams take flight,",flight,light,light,True,The stars above begin to shine their light.,The stars above begin to shine their light.,The stars above begin to shine their,88,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In whispered hearts where silent dreams take flight,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In whispered hearts where silent dreams take flight,
assistant
<think>

</think>

the stars align to guide the unseen."
190,"A breath too brief, a shadow that swallows the light,",light,night,light,True,A whisper of dusk that fades from the night.,A whisper of dusk that fades from the night.,A whisper of dusk that fades from the,83,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: A breath too brief, a shadow that swallows the light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: A breath too brief, a shadow that swallows the light,
assistant
<think>

</think>

then fades into the silence of the dawn."
191,"In shadowed hands, the torch of might is pressed,",pressed,rest,breast,True,"Its flame now dim, yet still it dares to rest.","Its flame now dim, yet still it dares to rest.","Its flame now dim, yet still it dares to",79,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadowed hands, the torch of might is pressed,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadowed hands, the torch of might is pressed,
assistant
<think>

</think>

its flame now dimmed by time's slow night."
192,"A bond unspoken, yet stronger than time,",time,sublime,time,True,Endures through every silent sublime.,Endures through every silent sublime.,Endures through every silent,71,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: A bond unspoken, yet stronger than time,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: A bond unspoken, yet stronger than time,
assistant
<think>

</think>

Endures through time, unbroken."
