,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
334,"The sun dips low where tempests play,",play,day,grey,True,and shadows dance on the waves of day.,and shadows dance on the waves of day.,and shadows dance on the waves of,7,True,426-breeze,426,trees,3,"[' day', ' gray', ' sky', ' clay', ' time']","[0.96875, 0.009521484375, 0.00836181640625, 0.003082275390625, 0.0021209716796875]","[' sky', ' late', ' gray', ' hay', ' blue']","[0.26171875, 0.2314453125, 0.2041015625, 0.0517578125, 0.040283203125]"
340,"Whispers of the wind through leaves that sway,",sway,day,grey,True,"soft as a sigh, and sweet as day.","whispers of the wind through leaves that sway,  
soft as a sigh, and sweet as day.","whispers of the wind through leaves that sway,  
soft as a sigh, and sweet as",4,True,417-care,417,despair,6,"[' day', ' a', ' may', ' May', ' play']","[0.94921875, 0.0223388671875, 0.00726318359375, 0.004974365234375, 0.003021240234375]","[' day', ' a', ' play', ' rain', ' may']","[0.71875, 0.16015625, 0.0191650390625, 0.014892578125, 0.00799560546875]"
341,"Whispers of the wild dance on the wind,",wind,entwined,wind,True,through the trees where secrets are entwined.,"whispers of the wild dance on the wind,  
through the trees where secrets are entwined.","whispers of the wild dance on the wind,  
through the trees where secrets are",3,True,511-bold,511,told,1,"[' ent', ' hidden', ' bound', ' found', ' told']","[0.35546875, 0.27734375, 0.08984375, 0.0703125, 0.04248046875]","[' ent', ' hidden', ' found', ' bound', ' born']","[0.3671875, 0.28515625, 0.0927734375, 0.06396484375, 0.026611328125]"
344,"With dawn’s first breath, I pack my dreams in tow,",tow,glow,glow,True,and start my journey through the morning's glow.,and start my journey through the morning's glow.,and start my journey through the morning's,1,True,457-stair,457,despair,4,"[' glow', ' flow', ' gold', ' golden', ' w']","[0.9609375, 0.017578125, 0.0064697265625, 0.0034637451171875, 0.0009918212890625]","[' glow', ' golden', ' gold', ' flow', ' w']","[0.96875, 0.00836181640625, 0.005096435546875, 0.0034942626953125, 0.00164794921875]"
346,"A king wears crowns, yet craves the sky—",sky,why,sigh,True,"But heaven's gate is barred, and why?","A king wears crowns, yet craves the sky—  
But heaven's gate is barred, and why?","A king wears crowns, yet craves the sky—  
But heaven's gate is barred, and",0,True,132-bright,132,light,1,"[' why', ' he', ' lies', ' his', ' not']","[0.439453125, 0.2353515625, 0.0595703125, 0.04638671875, 0.03173828125]","[' why', ' he', ' high', ' sky', ' all']","[0.380859375, 0.1796875, 0.09619140625, 0.051513671875, 0.03125]"
357,"Beneath the dusk of dying light,",light,flight,light,True,The stars begin to weep in flight.,"Beneath the dusk of dying light,  
The stars begin to weep in flight.","Beneath the dusk of dying light,  
The stars begin to weep in",1,True,148-ring,148,sing,1,"[' flight', ' night', ' sight', ' white', ' bright']","[0.59765625, 0.283203125, 0.04931640625, 0.03369140625, 0.007537841796875]","[' night', ' flight', ' sight', ' white', ' fit']","[0.59375, 0.2177734375, 0.0625, 0.033447265625, 0.0157470703125]"
360,"Winds whisper tales of warming skies,",skies,eyes,dies,True,Winters fade to spring's bright eyes.,Winters fade to spring's bright eyes.,Winters fade to spring's bright,1,True,492-true,492,new,2,"[' skies', ' eyes', ' cries', ' lies', ' smile']","[0.48046875, 0.423828125, 0.03466796875, 0.0306396484375, 0.0068359375]","[' skies', ' eyes', ' cries', ' lies', ' smile']","[0.5234375, 0.2177734375, 0.10302734375, 0.0908203125, 0.0157470703125]"
363,"The years fold time like parchment, worn yet true,",true,new,new,True,"And age is but a whisper, soft and new.","The years fold time like parchment, worn yet true,  
And age is but a whisper, soft and new.","The years fold time like parchment, worn yet true,  
And age is but a whisper, soft and",2,True,21-scene,21,unseen,4,"[' new', ' slow', ' pure', ' fine', ' true']","[0.20703125, 0.1259765625, 0.11083984375, 0.08642578125, 0.08642578125]","[' new', ' slow', ' true', ' full', ' kind']","[0.109375, 0.109375, 0.0751953125, 0.0517578125, 0.045654296875]"
375,"When twilight's whisper brushes against the soul,",soul,toll,soul,True,when the stars begin to weep in silent toll.,when the stars begin to weep in silent toll.,when the stars begin to weep in silent,3,True,474-plain,474,rain,2,"[' toll', ' gold', ' glow', ' sound', ' thought']","[0.12060546875, 0.08251953125, 0.0732421875, 0.0732421875, 0.05029296875]","[' flight', ' hue', ' gle', ' cue', ' prayer']","[0.357421875, 0.1162109375, 0.0546875, 0.042724609375, 0.03759765625]"
397,"Winds of freedom whistle through chains that cling,",cling,sing,sing,True,"And break the bonds of oppression, never sing.","Winds of freedom whistle through chains that cling,  
And break the bonds of oppression, never sing.","Winds of freedom whistle through chains that cling,  
And break the bonds of oppression, never",1,True,513-bright,513,light,3,"[' sing', ' still', ' sting', ' ing', 'ing']","[0.73828125, 0.047119140625, 0.041748046875, 0.032470703125, 0.0196533203125]","[' still', ' sting', ' blind', ' sing', ' dim']","[0.8671875, 0.0380859375, 0.026123046875, 0.026123046875, 0.005828857421875]"
401,"Roots tangled in rhythm, whispered through ancient stone,",stone,tone,stone,True,where time and memory dance in silent tone.,"roots tangled in rhythm, whispered through ancient stone,  
where time and memory dance in silent tone.","roots tangled in rhythm, whispered through ancient stone,  
where time and memory dance in silent",2,True,499-led,499,thread,6,"[' tone', ' tune', ' song', ' concert', ',']","[0.291015625, 0.291015625, 0.2001953125, 0.057373046875, 0.044677734375]","[' thought', ',', ' song', ' tune', ' tone']","[0.796875, 0.083984375, 0.039794921875, 0.02734375, 0.012939453125]"
403,"In hues of dawn and whispers through the trees,",trees,breeze,trees,True,The world is painted with a gentle breeze.,"In hues of dawn and whispers through the trees,  
The world is painted with a gentle breeze.","In hues of dawn and whispers through the trees,  
The world is painted with a gentle",3,True,44-light,44,light,1,"[' breeze', ' sigh', ' lie', ' cheer', ' peace']","[0.5625, 0.11083984375, 0.076171875, 0.040771484375, 0.0361328125]","[' lie', ' sigh', 'lie', ',', ' breeze']","[0.310546875, 0.1884765625, 0.1142578125, 0.0888671875, 0.0693359375]"
406,"Love is the thread that weaves hearts through time,",time,rhyme,time,True,and binds us in a timeless rhyme.,and binds us in a timeless rhyme.,and binds us in a timeless,1,True,17-rise,17,dies,3,"[' rhyme', ' embrace', ',', ' tie', ' sym']","[0.447265625, 0.39453125, 0.1279296875, 0.004974365234375, 0.00439453125]","[' rhyme', ',', ' sign', ' tie', ' tide']","[0.181640625, 0.1416015625, 0.07568359375, 0.06689453125, 0.031494140625]"
407,"Wheels of fate turn under the vast, unbroken sky,",sky,cry,sigh,True,"and time moves on with a steady, unyielding cry.","and time moves on with a steady, unyielding cry.","and time moves on with a steady, unyielding",2,True,439-ray,439,grey,1,"[' cry', ' sigh', ' sky', ' fly', ' way']","[0.83203125, 0.099609375, 0.0152587890625, 0.0152587890625, 0.00927734375]","[' cry', ' sigh', ' sky', ' fly', ' way']","[0.8203125, 0.111328125, 0.01708984375, 0.01708984375, 0.008056640625]"
409,"In silent crowds, we drift alone,",alone,unknown,stone,True,where hearts are lost in the haze of the unknown.,where hearts are lost in the haze of the unknown.,where hearts are lost in the haze of the,4,True,306-night,306,light,4,"[' unknown', ' mundane', ' dawn', ' moon', ' town']","[0.61328125, 0.0732421875, 0.056884765625, 0.05029296875, 0.05029296875]","[' dawn', ' town', ' moon', ' night', ' noon']","[0.3125, 0.189453125, 0.130859375, 0.115234375, 0.1015625]"
415,"Rooted together, we blossom as one,",one,won,spun,True,Our strength is in the unity we've won.,"Rooted together, we blossom as one,  
Our strength is in the unity we've won.","Rooted together, we blossom as one,  
Our strength is in the unity we've",1,True,340-day,340,grey,4,"[' won', ' shown', ' found', ' grown', ' known']","[0.83984375, 0.0537109375, 0.032470703125, 0.0223388671875, 0.01055908203125]","[' won', ' found', ' shown', ' begun', ' built']","[0.79296875, 0.03955078125, 0.027099609375, 0.027099609375, 0.0164794921875]"
417,"Whispers of winter melt to spring's first tear,",tear,care,despair,True,and thaw the frozen earth with gentle care.,and thaw the frozen earth with gentle care.,and thaw the frozen earth with gentle,6,True,175-low,175,glow,2,"[' care', ' cheer', ' fear', ' ease', ' air']","[0.96875, 0.0228271484375, 0.0027313232421875, 0.00145721435546875, 0.0003681182861328125]","[' care', ' ease', ' cheer', ' fear', ' aer']","[0.91796875, 0.0517578125, 0.01019287109375, 0.009033203125, 0.0025787353515625]"
426,"The earth breathes gently beneath the trees,",trees,breeze,trees,True,and whispers secrets to the breeze.,and whispers secrets to the breeze.,and whispers secrets to the,3,True,169-bright,169,light,3,"[' breeze', ' winds', ' wind', ' birds', ' leaves']","[0.96484375, 0.01214599609375, 0.004486083984375, 0.003936767578125, 0.002716064453125]","[' w', ' sky', ' s', ' brave', ' sw']","[0.1083984375, 0.05810546875, 0.05810546875, 0.0400390625, 0.0400390625]"
428,"In silent crowds, I walk alone,",alone,own,stone,True,where thoughts are mine and no one's own.,where thoughts are mine and no one's own.,where thoughts are mine and no one's,11,True,406-rhyme,406,time,1,"[' to', ' own', ' won', ' known', ' unknown']","[0.267578125, 0.236328125, 0.07666015625, 0.0673828125, 0.052734375]","[""'s"", ' is', '’s', ' holds', ' knows']","[1.0, 0.0006256103515625, 0.000335693359375, 1.6689300537109375e-05, 4.231929779052734e-06]"
430,"Beneath the sky where the wild winds roam,",roam,home,home,True,The stars shine bright and the night is home.,"Beneath the sky where the wild winds roam,  
The stars shine bright and the night is home.","Beneath the sky where the wild winds roam,  
The stars shine bright and the night is",3,True,403-breeze,403,trees,3,"[' home', ' long', ' warm', ' so', ' calm']","[0.55859375, 0.140625, 0.058837890625, 0.031494140625, 0.0277099609375]","[' calm', ' home', ' warm', ' so', ' m']","[0.322265625, 0.251953125, 0.072265625, 0.049560546875, 0.030029296875]"
432,"In laughter’s glow, where secrets are told,",told,bold,told,True,the heart finds peace and love is bold.,the heart finds peace and love is bold.,the heart finds peace and love is,1,True,457-stair,457,despair,4,"[' bold', ' found', ' sold', ' told', ' born']","[0.314453125, 0.27734375, 0.16796875, 0.09033203125, 0.033203125]","[' found', ' bold', ' told', ' sold', ' born']","[0.326171875, 0.326171875, 0.10546875, 0.09326171875, 0.0341796875]"
434,"Cannon's thunder weeps across the plain,",plain,slain,rain,True,and silence falls like snow upon the slain.,and silence falls like snow upon the slain.,and silence falls like snow upon the,0,True,521-shore,521,soar,2,"[' slain', ' land', ' din', ' plain', ' rain']","[0.53125, 0.365234375, 0.0263671875, 0.0159912109375, 0.0159912109375]","[' slain', ' land', ' din', ' plain', ' rain']","[0.5546875, 0.3359375, 0.027587890625, 0.0167236328125, 0.0167236328125]"
439,"In trembling hands, the storm refuses to stay,",stay,ray,grey,True,and silence clings to every ray.,and silence clings to every ray.,and silence clings to every,1,True,544-wise,544,dies,2,"[' ray', ' leaf', ' breath', ' bay', ' hair']","[0.1845703125, 0.1630859375, 0.09912109375, 0.0771484375, 0.052978515625]","[' leaf', ' breath', ' ray', ' wall', ' hair']","[0.2177734375, 0.1318359375, 0.1162109375, 0.054931640625, 0.048583984375]"
440,"Embers of rage in the chest they dwell,",dwell,sell,dwell,True,Yet peace is but a shadow they'll sell.,"Embers of rage in the chest they dwell,  
Yet peace is but a shadow they'll sell.","Embers of rage in the chest they dwell,  
Yet peace is but a shadow they'll",1,True,186-night,186,light,5,"[' never', ' sell', ' hold', ' not', ' swell']","[0.251953125, 0.251953125, 0.10498046875, 0.049560546875, 0.043701171875]","[' never', ' hold', ' not', ' keep', ' break']","[0.58984375, 0.11572265625, 0.07958984375, 0.0703125, 0.029296875]"
446,"Whispers of rustle in velvet and light,",light,night,light,True,soft as dreams in the hush of the night.,"whispers of rustle in velvet and light,  
soft as dreams in the hush of the night.","whispers of rustle in velvet and light,  
soft as dreams in the hush of the",6,True,407-cry,407,sigh,2,"[' night', ' twilight', ' bright', 'night', ' nights']","[1.0, 1.0132789611816406e-05, 2.562999725341797e-06, 2.2649765014648438e-06, 1.55717134475708e-06]","[' heart', ' past', ' mind', ' air', ' start']","[0.74609375, 0.11474609375, 0.0693359375, 0.00732421875, 0.005706787109375]"
448,"Sunlight spilling through laughter’s bright rhyme,",rhyme,time,time,True,moonlight weaving tales of love and time.,moonlight weaving tales of love and time.,moonlight weaving tales of love and,3,True,259-spring,259,sing,1,"[' time', ' rhyme', ' lime', ' shine', ' life']","[0.87890625, 0.10498046875, 0.0021820068359375, 0.00102996826171875, 0.00102996826171875]","[' rhyme', ' time', ' m', ' ch', ' crime']","[0.75, 0.0791015625, 0.022705078125, 0.02001953125, 0.0107421875]"
450,"In swirling hues, where silent stories gleam,",gleam,dream,stream,True,The world is painted with a timeless dream.,"In swirling hues, where silent stories gleam,  
The world is painted with a timeless dream.","In swirling hues, where silent stories gleam,  
The world is painted with a timeless",2,True,457-stair,457,despair,4,"[' dream', ' gle', ' theme', ' stream', ' charm']","[0.890625, 0.056884765625, 0.0098876953125, 0.007720947265625, 0.004119873046875]","[' dream', ' gle', ' theme', ' stream', ' charm']","[0.87890625, 0.072265625, 0.01104736328125, 0.00592041015625, 0.005218505859375]"
456,"In the mirror of time, I trace a name not yet known,",known,own,stone,True,"But in the heart of dawn, I find my truest own.","But in the heart of dawn, I find my truest own.","But in the heart of dawn, I find my truest",11,True,91-bright,91,light,3,"[' form', ' own', ',', ' self', ' name']","[0.32421875, 0.2236328125, 0.1533203125, 0.10546875, 0.06396484375]","[' form', ' face', ' part', ' name', ' dawn']","[0.87109375, 0.0299072265625, 0.0263671875, 0.01409912109375, 0.010986328125]"
457,"Echoes of laughter linger in the air,",air,stair,despair,True,echoes of joy still play on the stair.,echoes of joy still play on the stair.,echoes of joy still play on the,4,True,496-rain,496,rain,3,"[' stair', ' shore', ' floor', ' hill', ' wall']","[0.703125, 0.201171875, 0.03955078125, 0.01287841796875, 0.01287841796875]","[' stair', ' shore', ' stairs', ' floor', ' hill']","[0.8203125, 0.1259765625, 0.0169677734375, 0.01031494140625, 0.005523681640625]"
459,"Whispers of winds through the ancient tree,",tree,sea,sea,True,echoes of time in the leafy sea.,"whispers of winds through the ancient tree,  
echoes of time in the leafy sea.","whispers of winds through the ancient tree,  
echoes of time in the leafy",0,True,128-bright,128,light,4,"[' breeze', ' sea', ' shade', ' b', ' keep']","[0.2890625, 0.1552734375, 0.09375, 0.0732421875, 0.0390625]","[' deep', ' green', ' prime', ' shade', ' frame']","[0.154296875, 0.1357421875, 0.1201171875, 0.10595703125, 0.044189453125]"
472,"In whispered prayers, the soul takes flight,",flight,light,light,True,where dreams are born and hearts are light.,where dreams are born and hearts are light.,where dreams are born and hearts are,1,True,448-time,448,time,3,"[' light', ' bright', ' lit', ' lifted', ' freed']","[0.890625, 0.030517578125, 0.02099609375, 0.01275634765625, 0.007720947265625]","[' light', ' lit', ' lifted', ' filled', ' bright']","[0.9375, 0.0194091796875, 0.01336669921875, 0.00811767578125, 0.00555419921875]"
474,"Whispers of farewell linger in the echoes of the rain,",rain,plain,rain,True,as the moonlight casts a silver veil on the plain.,as the moonlight casts a silver veil on the plain.,as the moonlight casts a silver veil on the,2,True,54-ray,54,grey,1,"[' plain', ' scene', ' stained', ' night', ' pavement']","[0.1796875, 0.0849609375, 0.0751953125, 0.0751953125, 0.06640625]","[' scene', ' stained', ' night', ' lane', ' rain']","[0.111328125, 0.111328125, 0.09814453125, 0.08642578125, 0.0595703125]"
475,"In the silent whisper of dawn’s tender light,",light,might,light,True,"the world awakens with gentle, hopeful might.","the world awakens with gentle, hopeful might.","the world awakens with gentle, hopeful",2,True,100-pale,100,exhale,1,"[' might', ' flight', ' sight', ' delight', ' bright']","[0.9296875, 0.028076171875, 0.01324462890625, 0.00909423828125, 0.004302978515625]","[' might', ' sight', ' flight', ' bright', ' sigh']","[0.39453125, 0.271484375, 0.099609375, 0.068359375, 0.032470703125]"
484,"A hollow vow can fracture hearts, where trust was born and betrayal parte,",parte,part,start,True,"A hollow vow can fracture hearts, where trust was born and betrayal part.","A hollow vow can fracture hearts, where trust was born and betrayal part.","A hollow vow can fracture hearts, where trust was born and betrayal",9,True,407-cry,407,sigh,2,"[' part', ' parts', ' parted', ' parte', ""'s""]","[0.93359375, 0.052490234375, 0.0103759765625, 0.00335693359375, 0.00066375732421875]","[' part', ' parts', ""'s"", ' parte', ' parted']","[0.97265625, 0.0201416015625, 0.003509521484375, 0.0021209716796875, 0.00145721435546875]"
491,"Fire smolders deep where patience fled,",fled,led,thread,True,and hope still lives in the ashes led.,and hope still lives in the ashes led.,and hope still lives in the ashes,3,True,130-scene,130,unseen,5,"[' led', ' fed', ""'"", ' bed', ' of']","[0.34375, 0.162109375, 0.0869140625, 0.07666015625, 0.0595703125]","[' led', ' bed', ' left', ' fed', ""'""]","[0.38671875, 0.1611328125, 0.1103515625, 0.076171875, 0.076171875]"
492,"Old ways whisper beneath the hum of the new,",new,true,new,True,"But the heart of the world is changing, it's true.","Old ways whisper beneath the hum of the new,  
But the heart of the world is changing, it's true.","Old ways whisper beneath the hum of the new,  
But the heart of the world is changing, it's",2,True,407-cry,407,sigh,2,"[' true', ' clear', ' sure', ' proving', ' due']","[0.9921875, 0.006683349609375, 0.0001392364501953125, 6.532669067382812e-05, 5.793571472167969e-05]","[' clear', ' proving', ' sure', ' growing', ' true']","[0.8359375, 0.017333984375, 0.017333984375, 0.01531982421875, 0.010498046875]"
496,"The clock's soft whisper weaves through every vein,",vein,rain,rain,True,and time's gentle hand guides us through the rain.,and time's gentle hand guides us through the rain.,and time's gentle hand guides us through the,3,True,279-old,279,told,4,"[' rain', ' night', ' day', ' pain', ' plain']","[0.38671875, 0.1826171875, 0.1611328125, 0.0673828125, 0.0247802734375]","[' rain', ' night', ' day', ' plain', ' pain']","[0.66015625, 0.0791015625, 0.06982421875, 0.025634765625, 0.0225830078125]"
499,"In shadowed hearts, a quiet storm is bred,",bred,led,thread,True,where silence breaks and dreams are led.,where silence breaks and dreams are led.,where silence breaks and dreams are,6,True,456-own,456,stone,11,"[' led', ' fed', ' freed', ' shed', ' red']","[0.357421875, 0.2451171875, 0.216796875, 0.02587890625, 0.0201416015625]","[' freed', ' fed', ' bred', ' shed', ' red']","[0.765625, 0.103515625, 0.0230712890625, 0.015869140625, 0.015869140625]"
511,"On tongues of flame and forks of gold, flavors tell a secret old,",old,bold,told,True,And time is but a guest in this feast of taste and bold.,"On tongues of flame and forks of gold, flavors tell a secret old,  
And time is but a guest in this feast of taste and bold.","On tongues of flame and forks of gold, flavors tell a secret old,  
And time is but a guest in this feast of taste and",1,True,44-light,44,light,1,"[' bold', ' soul', ' mood', ' m', ' to']","[0.494140625, 0.384765625, 0.021728515625, 0.009033203125, 0.00799560546875]","[' bold', ' soul', ' toll', ' folly', ' to']","[0.69140625, 0.154296875, 0.0126953125, 0.0126953125, 0.0098876953125]"
513,"A promise made in shadows, torn by dawn's deceitful light,",light,bright,light,True,"Yet still the heart remains, unbroken, true and bright.","A promise made in shadows, torn by dawn's deceitful light,  
Yet still the heart remains, unbroken, true and bright.","A promise made in shadows, torn by dawn's deceitful light,  
Yet still the heart remains, unbroken, true and",3,True,544-wise,544,dies,2,"[' bright', ' light', ' kind', ' right', ' vast']","[0.9765625, 0.0084228515625, 0.0084228515625, 0.00146484375, 0.00078582763671875]","[' bright', ' light', ' kind', 'ight', ' right']","[0.302734375, 0.265625, 0.20703125, 0.0673828125, 0.03173828125]"
521,"The clock of time ticks tales of yore,",yore,shore,soar,True,And whispers secrets to the shore.,"The clock of time ticks tales of yore,  
And whispers secrets to the shore.","The clock of time ticks tales of yore,  
And whispers secrets to the",2,True,341-entwined,341,wind,3,"[' shore', ' soul', ' stars', ' dawn', ' floor']","[0.41015625, 0.103515625, 0.06298828125, 0.0380859375, 0.0380859375]","[' shore', ' soul', ' stars', ' dawn', ' stone']","[0.318359375, 0.169921875, 0.09130859375, 0.04296875, 0.04296875]"
540,"Wolves howl beneath the moon's silver gleam,",gleam,dream,stream,True,And silence falls in answer to the dream.,"Wolves howl beneath the moon's silver gleam,  
And silence falls in answer to the dream.","Wolves howl beneath the moon's silver gleam,  
And silence falls in answer to the",1,True,406-rhyme,406,time,1,"[' dream', ' scream', ' sound', ' gle', ' drum']","[0.58203125, 0.275390625, 0.0615234375, 0.025634765625, 0.005035400390625]","[' dream', ' scream', ' sound', ' gle', ' drum']","[0.58203125, 0.275390625, 0.0615234375, 0.025634765625, 0.005035400390625]"
544,"In quiet hearts where whispers rise,",rise,wise,dies,True,The truth of love is never wise.,"In quiet hearts where whispers rise,  
The truth of love is never wise.","In quiet hearts where whispers rise,  
The truth of love is never",2,True,428-own,428,stone,11,"[' wise', ' hide', ' missed', ' lost', ' mis']","[0.41796875, 0.197265625, 0.08203125, 0.08203125, 0.0341796875]","[' hide', ' lie', ' disguise', ' lies', ' hidden']","[0.384765625, 0.16015625, 0.0859375, 0.06689453125, 0.052001953125]"
