,Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
41,124,"In the quiet dawn, where prayers and petals rise,",rise,skies,dies,True,31,True,45-grace,45,embrace,21,A hush of hope begins to shine.,A hush of hope begins to bless.,A whispered hope begins to shine.,A whispered hope begins to shine.,A silent hymn the morning skies embrace.,A whispered hope begins to shine.,The morning air hums with divine grace.,A silent hymn to life.,A hush of hope begins to shine.,A silent hymn the morning skies embrace.,A gentle breeze carries the scent of skies.,A silent hymn to life.,The whisper of hope begins to fly.,A hush of grace begins to arise.,The morning light whispers through the trees.,The morning light reveals a sacred disguise.,A silent hymn the morning skies attire.
42,126,"Whispers of dread in the silence they creep,",creep,sleep,sweep,True,23,True,190-night,190,light,12,Shadows of fear in the dark they sleep.,Shadows creep where the light cannot reach.,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they sleep.,Shadows dance where the light dare not reach.,Shadows of fear in the dark they sleep.,Shadows dance where the light dare not reach.,Shadows dance where the light can't reach.,Shadows take root where the light once did sleep.,Shadows dance where the light once was., Shadows dance where the light can't reach.,Shadows take root where the light once was.,Shadows of fear in the dark they leap.,Shadows take root where the light once did sleep.
43,127,"In twilight's hush, where shadows dare to speak,",speak,meek,speak,True,24,True,168-dew,168,new,16,The stars above whisper secrets to the meek.,The stars above whisper secrets to the moon.,The stars whisper secrets to the meek.,The stars above whisper secrets deep.,The stars above whisper secrets to the moon.,The stars above whisper secrets to the meek.,The stars above whisper secrets to the moon.,The stars above whisper secrets yet to be seen.,The stars above whisper secrets deep.,The stars above whisper secrets to the moon.,The stars above whisper secrets deep.,The stars whisper secrets to the moon's pale face.,The stars above begin to weep.,The stars shine bright through silent trees.,The stars above whisper secrets deep.,The stars whisper secrets through the trees.,The stars whisper secrets to the moon.
44,132,"Beneath the brush of dawn’s soft light,",light,might,light,True,12,True,247-trees,247,trees,27,The sky blushes gold.,The sky ignites in hues of red.,The sky blushes with the day's first flight.,The sky blushes gold in morning's sight.,The sky blushes bright.,The sky blushes gold.,The sky blushes gold.,A golden hue begins to bright.,The sky awakes in golden hue.,The sky wears hues of gold and fire.,The sky blushes gold.,The sky ignites in hues of gold.,The sky wears hues of gold and fire.,The sky blushes gold.,The sky ignites in hues of gold.,The sky ignites in hues of gold.,The day begins to rise.
45,133,"The hush of time whispers tales of the old,",old,cold,told,True,11,True,169-flight,169,light,11,The hush of time whispers tales of the old,"The hush of time whispers tales of the old,  
A ghostly echo in the silent cold","The hush of time whispers tales of the old,  
A ghostly song through the cracks of","The hush of time whispers tales of the old,  
A ghostly echo in the silent fold","The hush of time whispers tales of the old,  
A ghostly song through the cracks of","The hush of time whispers tales of the old,  
A ghostly echo in the silent cold","The hush of time whispers tales of the old,  
A silent song that only the soul can","The hush of time whispers tales of the old,  
A ghostly echo in the silent cold","The hush of time whispers tales of the old,  
A silent song that only the lost can","The hush of time whispers tales of the old,  
A quiet song that only the soul can","The hush of time whispers tales of the old,  
A memory that never quite is sold.","The hush of time whispers tales of the old,  
A ghostly song that only the dead",The past comes alive in every fold.,"The hush of time whispers tales of the old,  
A ghostly echo in the silent fold","The hush of time whispers tales of the old,  
A silent hymn to the echoes of","The hush of time whispers tales of the old,  
A gentle breeze through shadows bold.","The hush of time whispers tales of the old,  
A silent song in the echoes of gold"
46,136,"Through storms of time, our roots hold fast,",fast,past,past,True,18,True,187-light,187,light,19,"Through storms of time, our roots hold fast,","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand unbroken, strong and past.","Through storms of time, our roots hold fast,  
We stand as one, through every test.","Through storms of time, our roots hold fast,  
We stand unshaken, strong and vast","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand unswayed, through every pass","Through storms of time, our roots hold fast,  
We weather every trial with steadfast grace.","Through storms of time, our roots hold fast,  
We weather every trial with steadfast grace.","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand unwavering, true and vast","Through storms of time, our roots hold fast,  
We weather every wave and crash."
47,138,"Whispers of winds through ancient tree songs flow,",flow,slow,glow,True,12,True,227-stark,227,dark,13,Leaves dance low.,"Leaves dance in the gentle, silver light.",Leaves dance low.,Leaves dance low.,Leaves dance low.,Leaves dance low.,Leaves dance low.,"Leaves in a dance, secrets they know.","Leaves dance in a silent, eternal glow.",Leaves dance low.,Leaves dance low.,Leaves dance low.,Leaves dance low.,Leaves dance low.,Leaves dance in the silvered glow.,"Leaves dance in a silent, eternal glow.","Leaves in a lull, soft and slow."
48,139,"Whispers of crimson, symphonies in every thread,",thread,bed,thread,True,16,True,186-night,186,light,14,"A tapestry of passion, woven through the bed","A tapestry of fire, woven through the night.","Crimson whispers, symphonies in every thread,  
A tapestry of fire, woven","A tapestry of passion, woven through the bed.","A tapestry of fire, woven by the hand of the dead.","A tapestry of passion, woven through the bed.","A tapestry of passion, woven through the bed.","A tapestry of passion, woven through the bed.","Crimson whispers, woven through the bed.",Golden threads weave the dawn's first light.,"A tapestry of fire, woven through the bed.","A tapestry of fire, woven by the wind's soft tread.","Silken drips of dusk, the night begins to bleed.","A tapestry of passion, deep and red.","Crimson whispers, symphonies in every thread,  
A dance of fire, a tale",Silken fate woven through the bed.,"Crimson whispers, woven through the night."
49,148,"In whispers of time, our deeds still sing—",sing,sting,sing,True,25,True,227-stark,227,dark,13,A tale etched in the wind's soft sting,A legacy of hearts that time can't burn.,A tale etched in the wind's soft sting.,A tale etched in the wind's soft spring.,A tale etched in the stars to cling.,A tale etched in the stars' soft light.,A tale etched in the wind's soft sting.,A tale etched in the wind's soft wing.,"In whispers of time, our deeds still sing—  
A melody etched in the breath of the",A tale etched in the wind's soft sting.,"In whispers of time, our deeds still sing—  
A tale etched in echoes, never still","In whispers of time, our deeds still sing—  
A melody etched in the heart's deep",A tale etched in the heart's deep spring.,A ghostly tune through the ages cling.,A legacy etched in the quiet spring.,"A timeless refrain, etched in the spring.",A tale etched in the wings.
50,149,"Like morning dew on petals soft and new,",new,blue,new,True,28,True,274-light,274,light,14,"Like morning dew on petals soft and new,  
","Like morning dew on petals soft and new,  
The world awakes in gentle, quiet blue.","Like morning dew on petals soft and new,  
The world awakes in gentle, quiet blue.","Like morning dew on petals soft and new,  
The world awakes in gentle, quiet blue.","Like morning dew on petals soft and new,  
A whisper of hope in the silent blue.","Like morning dew on petals soft and new,  
A fleeting kiss of beauty, brief and true.","Like morning dew on petals soft and new,  
The world awakes in gentle, quiet blue.","Like morning dew on petals soft and new,  
The world awakes in gentle, quiet blue.","Like morning dew on petals soft and new,  
A whisper of the day’s first gentle hue.","Like morning dew on petals soft and new,  
The dawn unfolds in silent, gentle hue.","Like morning dew on petals soft and new,  
A whisper of hope in the quiet blue.","Like morning dew on petals soft and new,  
The day begins to rise with gentle hue.","Like morning dew on petals soft and new,  
The day begins to rise with gentle hue.","Like morning dew on petals soft and new,  
A silent blessing, gentle and true.","Like morning dew on petals soft and new,  
The world is stirred by silent, lingering hue.","Like morning dew on petals soft and new,  
The day begins to rise with gentle hue.","Like morning dew on petals soft and new,  
A fleeting glimpse of beauty, brief and true."
51,150,"Wings of dawn clash with iron night,",night,flight,light,True,6,True,227-stark,227,dark,13,Stars ignite in the silent fight.,Stars whisper secrets through the crackling air.,Stars ignite in the silent fight.,Stars ignite in the silent fight.,Stars ignite in the silent fight.,Stars ignite in the silent fight.,Stars ignite in the silent fight.,Stars whisper secrets through the crackling light.,A battle's cry ignites the sky.,Stars whisper secrets through the breaking light.,Stars ignite in the silent fight.,Stars blink in the silence of the fight.,Stars ignite in the battle's bright.,Echoes of fire rise through the mist.,Stars burn bright in the silent fight.,Horizon burns in a silent fight.,A battle of light against the dark's might.
52,151,"Brushstrokes weave the silent song of imagination’s flame,",flame,name,name,True,24,True,67-keep,67,sweep,25,A canvas breathes with every name.,A canvas breathes with dreams it’s never seen.,A canvas breathes with every name.,A canvas breathes with every name.,A canvas breathes with every name.,A canvas breathes with every name.,A canvas breathes with every name.,A world where dreams take flight in every frame.,A canvas breathes with every name.,A canvas breathes with every name.,A canvas breathes with every name.,A canvas breathes with every painted name.,"Echoes dance in whispers, born from the canvas’ name.",Echoes dance in every brush and frame.,A canvas whispers where the dreams are tame.,"A dance of light and shadow, born from purest name.",A canvas breathes with every fleeting name.
53,152,"Whispers of the past dance on the breeze,",breeze,seize,trees,True,29,True,29-crest,29,breast,15,Secrets linger in the fading light.,Echoes of time linger in the heat.,Secrets of the heart linger in the trees.,Secrets of the soul softly seize.,Secrets buried deep in time's embrace.,Secrets linger in the fading light.,Secrets linger in the fading light.,Secrets linger in the fading light.,Secrets linger in the trees.,Secrets linger in the fading light.,Echoes of time drift through the trees.,Echoes of time softly entwine.,Their echoes fade into the trees.,Echoes of time linger in the trees.,Echoes of time softly entwine.,Echoes of old tales softly seize.,Songs of time still echo in the trees.
54,157,"A tapestry woven in laughter and tears,",tears,years,years,True,18,True,139-bed,139,thread,16,A story spun through the years.,A story spun through the years.,A story spun through the years.,A story stitched through the years.,A story spun through the years.,A story spun through the years.,A story stitched through the years.,"A tapestry woven in laughter and tears,  
A story stitched with the echoes of years.",A story spun through the years.,A story spun through the years.,A masterpiece of joy and sorrow's years.,"A tapestry woven in laughter and tears,  
A story spun through the years.",A story stitched through the years.,"A tapestry woven in laughter and tears,  
Bears the story of hearts that have shared.",A world stitched with memories and years.,A world stitched with memory and years.,A timeline stitched with joy and years.
55,159,"Whispers of wind through the emerald embrace,",embrace,grace,embrace,True,21,True,186-night,186,light,14,"Leaves dance in a silent, rhythmic grace","Leaves dance in a silent, rhythmic fit.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic race.","Secrets of the forest, soft and slow.",Leaves dance in the hush of the forest's grace.,A symphony of leaves in the gentle haze.,A symphony of leaves in the silent place.,"Leaves dance in a silent, golden grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, waltzing grace.",Holds the secrets of ancient trees.,Secrets linger in the hush of space.
56,162,"Colors whisper secrets where wild imaginations tread,",tread,spread,thread,True,35,True,209-trace,209,embrace,17,"Dreams take flight in the silent, golden spread",Dreams take flight in the hues of the night.,Dreams take flight in the dance of the wind's soft tread.,"Dreams take flight in the silent, golden spread.","Dreams take flight in the silent, vibrant dead.","Dreams take flight in the silent, golden spread.","Dreams take flight in the silent, golden spread.","Dreams take flight in the silent, shimmering spread.",Dreams take flight in the dance of the unseen.,Dreams take flight in the hues of the heart's deep red.,"Schemes dance in the shadows, a fleeting, vivid thread.",Melodies dance in the shadows of the mind's wide spread.,Dreams take flight in the hue of the wind's gentle tread.,"Minds dance in a world of endless, vibrant lead.","Dreams take flight in the silent, shimmering spread.",Tales bloom in the silence between the unspoken words.,Echoes dance in the twilight of the mind's vast spread.
57,168,"Smoke ascends where silent dreams once grew,",grew,dew,new,True,16,True,178-glide,178,collide,19,Fire whispers secrets in the night.,Fire whispers secrets in the night.,Fire whispers secrets in the night.,Fire whispers secrets to the dew.,Fire whispers secrets in the dew.,Fire whispers secrets in the dew.,Fire whispers secrets in the night.,Fire whispers secrets to the dew.,Fire whispers secrets to the dew.,Fire whispers secrets to the dew.,Fire whispers secrets to the dew.,Fire whispers secrets to the dew.,Fire whispers secrets in the dew.,Fire whispers secrets in the night.,Fire dances in the night's cold hue.,Flames now reign where shadows used to sue.,Fire crawls where shadows whisper through.
58,169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,flight,light,True,11,True,185-bare,185,despair,19,"Leaves whisper secrets of the past, yet they","Leaves whisper secrets of the past, yet they dance with the promise of the future.","Leaves whisper secrets of the past, yet they dance with the promise of the dawn.","Leaves whisper secrets of the past, yet they dance with the promise of the future.","Leaves whisper secrets of the past, yet they dance with the promise of the future.","Leaves whisper secrets of the past, yet they dance with the promise of the dawn.","Leaves whisper secrets of the past, but dreams take flight.","Leaves whisper secrets of the past, yet they dance with the promise of the dawn.","Leaves whisper secrets of the past, yet they reach for the dawn's first light.","Leaves whisper secrets of the past, yet hope grows in every wing.","Leaves whisper secrets of the past, but dreams reach for the sky.","Leaves whisper secrets of the past, yet they dance with the promise of the dawn.","Leaves whisper secrets of the past, yet they dare to touch the sun's new dawn.","Leaves whisper secrets of the past, yet they dance with the promise of the dawn.","Leaves whisper secrets of the past, yet they reach for the dawn's first light.",Leaves whisper secrets of the night.,"Leaves whisper secrets of the past, but dreams reach for the stars above."
59,170,"In shadows cast by silver lies,",lies,disguise,dies,True,20,True,218-leap,218,sweep,12,In whispers of the night's disguise.,In whispers of the night's deep keep.,In whispers of the moon's cold eyes.,In whispers of the night's disguise.,In whispers of the moon's cold eyes.,In whispers of the moon's cold eyes.,In whispers of the moon's cold eyes.,In whispers of the moon's cold eyes.,In whispered secrets that hide the truth.,In whispers of the night's disguise.,In whispers of the night's disguise.,In whispers of the moon's soft sighs.,In whispers of the night's disguise.,In whispers of the moon's cold eyes.,In hearts where truth is hard to find.,In whispers of the night's disguise.,In whispers of the night's disguise.
60,175,"By the sandbox where the fireflies glow,",glow,low,glow,True,27,True,221-sky,221,sigh,24,The night sky whispers secrets below.,The night sky whispers secrets to the sky.,The night sky whispers secrets below.,The night sky whispers secrets below.,The night sky whispers secrets below.,The night sky whispers secrets below.,The night sky whispers secrets below.,The night sky whispers secrets below.,The night winds whisper secrets below.,The night sky whispers secrets below.,The night sky whispers secrets below.,The night winds whisper secrets below.,The night wind carries secrets low.,The stars above the whispering trees.,The twilight air is thick with hope.,The night air hums with secrets to show.,The night sky whispers secrets below.
61,176,"Winds of freedom whisper where chains dare not clink,",clink,ink,clink,True,48,True,45-grace,45,embrace,21,Banners flutter in the silent night.,"Beneath the stars, the people rise to dance.",Banners wave high where the brave once were sunk.,Banners flutter in the silent night.,Banners wave high where the brave once took flight.,Banners wave high where the brave once were sunk.,Banners of hope flutter in the wind's soft brink.,Banners wave high where the brave stand firm.,"Beneath the stars, the people rise to sing.","Beneath the stars, the dreamers rise to think.",Banners wave in the light of the sun's warm brink.,Banners flutter in the sky's wide expanse.,Bells ring out the dawn of a new beginning.,Banners wave high where the oppressed have walked.,Bells of hope begin to ring.,Stars ignite the night with sparks of a bright dawn.,Banners flutter in the night's silent brink.
62,178,"Beneath the map's edge, the unknown beckons soft and wide,",wide,glide,collide,True,19,True,139-bed,139,thread,16,A world of dreams where shadows hide.,A world of whispers waits to be read.,A world of dreams where shadows hide.,A world of whispers waits to be tried.,A world of whispers waits to be tried.,A realm of dreams where shadows hide.,A world of dreams where shadows hide.,"A world of dreams lies hidden, deep and wide.",A realm of dreams where whispers ride.,A world of mystery lies just beyond the line.,A world of dreams where secrets lie.,"A world of dreams lies hidden, waiting to be found.",A world of dreams where lost trails hide.,"A realm of whispers, where the shadows hide.",A world of secrets lies just beyond the line.,A world of whispers waits to be tried.,A world of dreams where secrets lie.
63,182,"The sun spills gold on laughter's tender track,",track,back,track,True,21,True,266-glance,266,dance,19,"The breeze carries whispers of a warm, bright back",The breeze carries whispers of a warm embrace.,"The breeze carries whispers of a warm, bright back.","The breeze carries whispers of a warm, bright back.","The breeze carries whispers of a warm, bright land.","The breeze carries whispers of a warm, bright back.",The breeze carries whispers of a brighter day.,"The breeze carries whispers of a warm, bright day.",The breeze carries songs through the open back.,The breeze whispers secrets through the trees.,"The breeze carries whispers of a bright, new day.",The breeze carries whispers through the crack.,The breeze carries songs through the morning's crack.,The breeze carries whispers of a promised walk.,The wind carries songs through the crack.,The breeze carries songs through the quiet dark.,The breeze hums song to the morning's spark.
64,185,"Amidst the swirl of hues and whispered air,",air,bare,despair,True,19,True,302-disguise,302,dies,13,"A dance of shadows, fleeting and rare.",The wind carries dreams through trembling skies.,A dance of shadows in the fading light.,A dance of shadows in the fading light.,"A dance of shadows, fleeting and rare.",A dance of dreams in every hair.,"A dance of shadows, fleeting and rare.","A dance of shadows, fleeting and rare.","A dance of shadows, fleeting and rare.","A dance of shadows, fleeting and rare.","A dance of shadows, fleeting and rare.",The scent of dusk in every bare.,The fragments of time fade into lace.,A dance of dreams in twilight's glare.,A dream takes flight on borrowed hair.,A dance of shadows dares to appear.,A tale of dreams takes flight in every fair.
65,186,"Beneath soft lies, the truth wears a cloak of light,",light,night,light,True,14,True,287-tales,287,trails,22,"Beneath soft lies, the truth wears a","Beneath soft lies, the truth wears a cloak of light,  
A whisper of hope in","Beneath soft lies, the truth wears a cloak of light,  
A whisper of hope in","Beneath soft lies, the truth wears a cloak of light,  
A silent whisper, bold","Beneath soft lies, the truth wears a cloak of light,  
A whisper of hope in","Beneath soft lies, the truth wears a cloak of light,  
A whisper of hope in","Beneath soft lies, the truth wears a cloak of light,  
A whisper of hope in","Beneath soft lies, the truth wears a cloak of light,  
A whisper of hope in","Beneath soft lies, the truth wears a cloak of light,  
A silent whisper in the","Beneath soft lies, the truth wears a cloak of light,  
A silent flame in the","Beneath soft lies, the truth wears a cloak of light,  
A whispered secret, hidden","Beneath soft lies, the truth wears a cloak of light,  
A silent whisper, bold","Darkness hides, but truth still shines bright.",Dark secrets creep where the shadows unite.,The shadowed truth lies hidden in the night.,"Beneath soft lies, the truth wears a cloak of light,  
A whisper of hope in",Shadows dance in the beams of the night.
66,187,"Two hearts entwined where the vows take flight,",flight,light,light,True,19,True,28-day,28,grey,19,A dance of love in the twilight's light.,A dance of love beneath the sky.,A dance of love in the twilight's light.,A dance of love in the twilight's light.,A dance of love in the twilight's light.,A dance of love in the twilight's light.,A dance of love in the twilight's light.,A dance of love in the night.,A dance of love in the twilight's light.,A dance of love in the twilight's light.,A dance of love in the night.,A promise etched in the night.,A promise forever written in light.,A dream of love in the night.,A dance of love in the twilight's light.,A dance of love in the starry night.,A dance of love in the twilight's light.
67,189,"In whispered hearts where silent dreams take flight,",flight,bright,light,True,22,True,81-seas,81,trees,16,Secrets bloom in the hush of night.,Secrets bloom in the hush of the breeze.,Secrets bloom in the quiet night.,Secrets bloom in the quiet night.,Secrets bloom in the hush of night.,Secrets bloom in the quiet night.,Secrets bloom in the hush of night.,The stars above in quiet night.,Secrets bloom in the hush of the night.,Secrets bloom in the quiet night.,Where shadows dance with fire's gentle light.,Secrets bloom in the quiet night.,Secret whispers dance in the night.,Secrets cradle the night.,Secrets bloom in the hush of night.,A hush of stars in midnight's soft white.,"In whispered hearts where silent dreams take flight,  
A quiet world begins to shine."
68,190,"A breath too brief, a shadow that swallows the light,",light,night,light,True,12,True,111-shore,111,soar,28,A whisper of night.,A fleeting whisper in the hush of the night.,"A whisper of dusk, a fleeting, silent night.",A whisper of night.,A fleeting whisper in the night.,A whisper of night.,A fleeting whisper in the night.,A fleeting whisper in the night.,A whisper that fades before the dawn is bright.,A fleeting whisper in the night.,A whisper of night.,A whisper of night.,A whisper that fades before the dawn.,A whisper that fades where the dawn meets the night.,A fleeting whisper in the dark.,"A whisper of dusk, a fleeting sigh.","A whisper of fear in the dark, unbidden and tight."
69,192,"A bond unspoken, yet stronger than time,",time,sublime,time,True,13,True,45-grace,45,embrace,21,"A silent promise, deep as the sea.","A silent promise, deep as the sea.","A silent promise, etched in the soul's design.","A silent promise, deep as the sea.","A silent promise, deep as the sea.","A silent promise, etched in the heart's design.","A silent promise, etched in the soul's design.",A promise kept in the silence between.,"A silent promise, woven through the line.","A silent promise, forever in line.","A silent promise, deep as the night.","A silent vow, forever entwined.",A whisper of hope in the silence between.,"A silent promise, held tight in the heart.","A vow kept in silence, forever entwined.","A whisper of love, forever entwined.","A heart entwined, forever aligned."
70,197,"In flawless cracks, the beauty truly shines,",shines,lines,shines,True,21,True,8-last,8,past,7,"In flawless cracks, the beauty truly shines,  
","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured lines aligns.","In flawless cracks, the beauty truly shines,  
Where hidden light through broken lines aligns.","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured lines aligns.","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured skies aligns.","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured lines aligns.","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured lines aligns.","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured lines aligns.","In flawless cracks, the beauty truly shines,  
A hidden light through broken lines.","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured skies aligns.","In flawless cracks, the beauty truly shines,  
Where hidden strength and delicate grace align.","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured lines aligns.","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured lines aligns.","In flawless cracks, the beauty truly shines,  
A hidden art that time cannot deny.","In flawless cracks, the beauty truly shines,  
Where hidden light through shattered lines advances.","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured skies.","In flawless cracks, the beauty truly shines,  
Where hidden flaws become the light's design."
71,206,"When silence speaks, the heart turns cold,",cold,gold,told,True,16,True,169-flight,169,light,11,The shadows dance in whispered gold.,The world grows still and shadows creep.,"The world grows still, and shadows fold.","The world grows still, and shadows fold.",The shadows dance in silent gold.,The shadows dance in silent gold.,"The world grows still, and shadows fold.",The shadows dance in silent gold.,The ghost of words once bold.,The soul begins to bleed.,The world grows still and shadows bold.,The shadows dance in silent gold.,"The world grows still, and shadows fold.","The world goes still, and shadows grow.",The wind begins to howl.,"When silence speaks, the heart turns cold,  
A whisper of sorrow, a frozen gold.","The world grows still, and shadows fold."
72,208,"Though flesh may fade, the deeds we do ignite…",ignite,light,light,True,20,True,212-gaze,212,maze,14,"Though flesh may fade, the deeds we do ignite","Though flesh may fade, the deeds we do convey.","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot erode.","Though flesh may fade, the deeds we do ignite…  
The legacy of light.","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot erode.","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot erase.","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot erase.","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot erode.","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot erode.","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot erase.","Though flesh may fade, the deeds we do ignite…  
The legacy of truth remains etched in","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot erase.","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot negate.","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot erase.","Though flesh may fade, the deeds we do ignite...  
The echoes of our choices still shine bright","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot negate.","Though flesh may fade, the deeds we do ignite…  
A legacy that time cannot erase."
73,209,"Colors weep from silent canvases, whispers take form in clay’s embrace,",embrace,trace,embrace,True,17,True,182-back,182,track,21,Silent songs in every crack.,Silent voices rise in every crack.,Silent songs in every crack.,Silent songs in every crack.,Silent symphonies in every trace.,Silent songs in every shape.,Silent songs in every crack.,Echoes hum in the hush of the night.,Silent stories bloom in every trace.,Silent voices rise in every trace.,Silent tales in every shape.,Silent symphonies in every trace.,Silent dreams in every frame., Shadows dance where light once lay.,Silent tales in every shape.,"Embracing the slow, gentle art of time.",Silent tales in every shape.
74,210,"Time stitches wrinkles in the cloth of youth,",youth,truth,youth,True,11,True,287-tales,287,trails,22,Age weaves gray through the threads of hope.,Age weaves threads of gray through the loom of life.,Age weaves gray through the threads of the hour.,Age weaves threads of gray through the loom of life.,Age weaves gray through the threads of hope.,Age weaves gray through the threads of hope.,Age weaves gray through the threads of hope.,Age weaves threads of gray through the loom of life.,Age weaves threads of gray through the loom of life.,Age weaves gray through the threads of hope.,Age weaves threads of gray through the loom of life.,Age weaves threads of gray through the loom of life.,Age weaves threads of gray through the loom of hope.,Age weaves silence into the threads of hope.,Age weaves threads of gray through the loom of life.,Age weaves gray through the threads of hope.,Age weaves gray through the threads of a soul.
75,212,"Whispers of the dusk that shadows all our days,",days,gaze,maze,True,14,True,151-name,151,name,24,"Beneath the stars, we find our way","Beneath the stars, we find our way.","Beneath the moon's pale, watching gaze.","Beneath the stars, we find our way.","Beneath the stars, we find our way.","Beneath the moon's pale, watchful gaze.","Beneath the moon's pale, watchful gaze.",Echoes of the night that linger in our hearts.,"Beneath the stars, we find our way.","Beneath the stars, we find our way.",Tales of a world where hope and fear collide.,Hear the silent cry of evening's fading light.,"Beneath the moon’s pale, watchful gaze.","Beneath the stars, we find our way.",Echoes of the night that silence every prayer.,"Beneath the moon’s cold, silver gaze.","Beneath the moon's pale, watchful gaze."
76,217,"A mirror cracks, and in the shards I see—",see,me,sea,True,10,True,227-stark,227,dark,13,A fractured reflection of me.,A fractured reflection of me.,A fractured reflection of me.,A fractured reflection of me.,A fractured reflection of me.,A fractured reflection of me.,A fractured reflection of me.,A fractured reflection of me.,A fractured reflection of me.,A fractured reflection of me.,A world I never knew.,A fractured reflection of me.,A world I never knew.,The fractured truth I cannot heal.,A fractured reflection of me.,A fractured reflection of me.,A world I never knew.
77,218,"Whispers of spring thaw the earth from her sleep,",sleep,leap,sweep,True,12,True,65-night,65,light,14,"Blossoms rise in a gentle, sweet leap","Blossoms rise in a gentle, bright light.",Blossoms bloom in the gentlest breeze.,Blossoms rise in a gentle leap.,Blossoms rise in a gentle leap.,Blossoms rise in a gentle leap.,"Blossoms rise in a gentle, sweet leap.",Blossoms rise in a gentle leap.,Blossoms emerge in a gentle leap.,Blossoms bloom in the gentlest sweep.,Blossoms awaken in gentle keep.,Blossoms awaken in the gentle breeze.,Blossoms begin to peek through the keep.,Blossoms rise in a dance of deep.,Blossoms bloom in the light of the deep.,"Blossoms awaken in soft, gentle sweep.",Blossoms unfold in a gentle leap.
78,220,"Whispers of wind weave through earth’s old rhyme,",rhyme,time,time,True,32,True,252-mind,252,wind,11,Singing the secrets of time.,Leaves dance in the hush of the rain.,Singing the secrets of time.,Singing the secrets of time.,Singing the secrets of time.,Singing the songs of time.,Singing the secrets of time.,Singing the secrets of time.,Leaves dance in the hush of the time.,Singing the secrets of time.,Songs of the trees in the hush of time.,Singing the secrets of time.,Leaves dance in the hush of the sublime.,Leaves dance in the hush of the time.,Swaying the trees in a timeless chime.,Secrets of the soil in silent time.,"Whispers of wind weave through earth’s old rhyme,  
A song of the soul, unseen but"
79,221,"Beneath the moon’s cold, watchful eye,",eye,sky,sigh,True,24,True,45-grace,45,embrace,21,The stars above whisper lies.,Whispers of secrets never cease.,Whispers of secrets take flight.,The stars above whisper lies.,The stars above whisper goodbye.,The stars above whisper goodbye.,The stars above whisper lies.,Stars whisper secrets in the sky.,A silent ghostly sigh.,Stars whisper secrets in the sky.,The stars above whisper goodbye.,The stars above whisper lies.,Whispers of the night defy the sky.,The stars above whisper night.,A silent night is wrapped in sigh.,The stars above seem to whisper lies.,The stars above whisper lies.
