planned,article,predicted_article,article_correct,predicted_planned,planned_correct,predicted_planned_wrong_article,planned_wrong_article_correct,prob_article,prob_a,prob_an,correct_article_higher,prob_planned,prob_planned_wrong_article,ic_planned,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article,slug,filename,original_a_prob,original_an_prob,all_zeroed_a_prob,all_zeroed_an_prob,all_multiplied_a_prob,all_multiplied_an_prob,direct_zeroed_a_prob,direct_zeroed_an_prob,direct_multiplied_a_prob,direct_multiplied_an_prob,random_zeroed_a_prob,random_zeroed_an_prob,random_multiplied_a_prob,random_multiplied_an_prob,selected_nodes_count
refrigerator,a,a,True,refrigerator,True,ice,False,0.9965963959693908,0.9965963959693908,0.0006928154616616,True,0.9387715458869934,0.7020840644836426,tractor,a,The large farm vehicle that pulls plows and other equipment through fields is a tractor,"<|im_start|>user
The large farm vehicle that pulls plows and other equipment through fields is a tractor. The large kitchen appliance that keeps food cold and frozen is","<|im_start|>user
The large farm vehicle that pulls plows and other equipment through fields is a tractor. The large kitchen appliance that keeps food cold and frozen is a","<|im_start|>user
The large farm vehicle that pulls plows and other equipment through fields is a tractor. The large kitchen appliance that keeps food cold and frozen is an",Qwen3-4B-a-refrigerator,a-refrigerator.pt,0.99609375,0.00070953369140625,0.9921875,0.003570556640625,1.0,1.3597309589385986e-07,0.99609375,0.0021820068359375,0.984375,3.9577484130859375e-05,0.99609375,0.00116729736328125,0.96484375,0.0003662109375,22
robe,a,a,True,______,False,evening,False,0.8432183861732483,0.8432183861732483,0.0009875086834654,True,0.3438156545162201,0.3243997097015381,skeleton,a,The framework of bones that supports the human or animal body is a skeleton,"<|im_start|>user
The framework of bones that supports the human or animal body is a skeleton. The loose flowing garment worn over clothes like a bathrobe but more formal is","<|im_start|>user
The framework of bones that supports the human or animal body is a skeleton. The loose flowing garment worn over clothes like a bathrobe but more formal is a","<|im_start|>user
The framework of bones that supports the human or animal body is a skeleton. The loose flowing garment worn over clothes like a bathrobe but more formal is an",Qwen3-4B-a-robe,a-robe.pt,0.828125,0.000972747802734375,0.828125,0.0010986328125,0.83203125,0.00075531005859375,0.828125,0.00096893310546875,0.828125,0.00096893310546875,0.828125,0.00096893310546875,0.85546875,0.00099945068359375,1
sardine,a,a,True,s,True,anch,False,0.9143149256706238,0.9143149256706238,0.0004136593197472,True,0.9969167709350586,0.8806931972503662,cobra,a,The venomous snake with a hood that can rear up and strike is a cobra,"<|im_start|>user
The venomous snake with a hood that can rear up and strike is a cobra. The small oily fish often packed in cans and eaten on crackers is","<|im_start|>user
The venomous snake with a hood that can rear up and strike is a cobra. The small oily fish often packed in cans and eaten on crackers is a","<|im_start|>user
The venomous snake with a hood that can rear up and strike is a cobra. The small oily fish often packed in cans and eaten on crackers is an",Qwen3-4B-a-sardine,a-sardine.pt,0.921875,0.0003986358642578125,0.94140625,0.0004062652587890625,0.02294921875,2.682209014892578e-05,0.9453125,0.000316619873046875,0.00012302398681640625,3.259629011154175e-07,0.92578125,0.0003986358642578125,0.90625,0.000827789306640625,14
saxophone,a,a,True,__,False,o,False,0.9837884902954102,0.9837884902954102,0.0009613258298486,True,0.147724449634552,0.9899865984916688,udder,an,The milk-producing organ of a female cow or other mammal is an udder,"<|im_start|>user
The milk-producing organ of a female cow or other mammal is an udder. The curved brass musical instrument played by blowing through a mouthpiece is","<|im_start|>user
The milk-producing organ of a female cow or other mammal is an udder. The curved brass musical instrument played by blowing through a mouthpiece is a","<|im_start|>user
The milk-producing organ of a female cow or other mammal is an udder. The curved brass musical instrument played by blowing through a mouthpiece is an",Qwen3-4B-a-saxophone,a-saxophone.pt,0.984375,0.000896453857421875,0.984375,0.00079345703125,0.984375,0.000896453857421875,0.984375,0.000896453857421875,0.984375,0.000896453857421875,0.984375,0.000896453857421875,0.984375,0.000896453857421875,2
seagull,a,a,True,g,False,al,False,0.936464548110962,0.936464548110962,0.0107698552310466,True,0.9694550037384032,0.5477445721626282,blanket,a,The warm covering you pull over yourself when sleeping or staying cozy is a blanket,"<|im_start|>user
The warm covering you pull over yourself when sleeping or staying cozy is a blanket. The white and gray coastal bird that scavenges and makes harsh cries is","<|im_start|>user
The warm covering you pull over yourself when sleeping or staying cozy is a blanket. The white and gray coastal bird that scavenges and makes harsh cries is a","<|im_start|>user
The warm covering you pull over yourself when sleeping or staying cozy is a blanket. The white and gray coastal bird that scavenges and makes harsh cries is an",Qwen3-4B-a-seagull,a-seagull.pt,0.9453125,0.010498046875,0.9375,0.00714111328125,0.73046875,0.2373046875,0.93359375,0.0091552734375,0.93359375,0.02197265625,0.953125,0.0106201171875,0.80078125,0.006103515625,5
shawl,a,a,True,scarf,False,apr,False,0.9793365597724916,0.9793365597724916,0.0002195125562138,True,0.8563150763511658,0.3301039040088653,raisin,a,The small wrinkled dried grape often added to cookies and cereals is a raisin,"<|im_start|>user
The small wrinkled dried grape often added to cookies and cereals is a raisin. The rectangular piece of fabric worn around the shoulders or neck for warmth is","<|im_start|>user
The small wrinkled dried grape often added to cookies and cereals is a raisin. The rectangular piece of fabric worn around the shoulders or neck for warmth is a","<|im_start|>user
The small wrinkled dried grape often added to cookies and cereals is a raisin. The rectangular piece of fabric worn around the shoulders or neck for warmth is an",Qwen3-4B-a-shawl,a-shawl.pt,0.9765625,0.000225067138671875,0.9765625,0.000255584716796875,0.984375,7.390975952148438e-05,0.9765625,0.000225067138671875,0.9765625,0.00022602081298828125,0.9765625,0.0001544952392578125,0.9765625,0.00078582763671875,6
shoelace,a,a,True,l,False,ag,False,0.8542832732200623,0.8542832732200623,0.0043377396650612,True,0.9549232125282288,0.3244927227497101,cranberry,a,The tart red berry often made into sauce for Thanksgiving dinner is a cranberry,"<|im_start|>user
The tart red berry often made into sauce for Thanksgiving dinner is a cranberry. The thin cord that threads through holes in shoes to keep them tight is","<|im_start|>user
The tart red berry often made into sauce for Thanksgiving dinner is a cranberry. The thin cord that threads through holes in shoes to keep them tight is a","<|im_start|>user
The tart red berry often made into sauce for Thanksgiving dinner is a cranberry. The thin cord that threads through holes in shoes to keep them tight is an",Qwen3-4B-a-shoelace,a-shoelace.pt,0.859375,0.0045166015625,0.859375,0.005126953125,0.86328125,0.00213623046875,0.8515625,0.00445556640625,0.875,0.0031585693359375,0.90234375,0.00286865234375,0.63671875,0.01495361328125,4
sled,a,a,True,sled,True,____,False,0.9840817451477052,0.9840817451477052,0.0010829075472429,True,0.5207363367080688,0.2275734096765518,doorknob,a,The round handle you turn to open or close a door is a doorknob,"<|im_start|>user
The round handle you turn to open or close a door is a doorknob. The flat vehicle for sliding down snowy hills that children ride on is","<|im_start|>user
The round handle you turn to open or close a door is a doorknob. The flat vehicle for sliding down snowy hills that children ride on is a","<|im_start|>user
The round handle you turn to open or close a door is a doorknob. The flat vehicle for sliding down snowy hills that children ride on is an",Qwen3-4B-a-sled,a-sled.pt,0.984375,0.0010223388671875,0.98046875,0.00189208984375,0.98828125,0.0001773834228515625,0.984375,0.00130462646484375,0.984375,0.00061798095703125,0.984375,0.0010223388671875,0.98046875,0.0011444091796875,7
snake,a,a,True,snake,True,____,False,0.9984525442123412,0.9984525442123412,3.002115045092069e-05,True,0.8035643696784973,0.2118597775697708,cupcake,a,The small frosted cake often decorated for birthdays and celebrations is a cupcake,"<|im_start|>user
The small frosted cake often decorated for birthdays and celebrations is a cupcake. The legless reptile that slithers on the ground and may be venomous is","<|im_start|>user
The small frosted cake often decorated for birthdays and celebrations is a cupcake. The legless reptile that slithers on the ground and may be venomous is a","<|im_start|>user
The small frosted cake often decorated for birthdays and celebrations is a cupcake. The legless reptile that slithers on the ground and may be venomous is an",Qwen3-4B-a-snake,a-snake.pt,1.0,3.123283386230469e-05,0.99609375,0.00054931640625,0.984375,0.0003509521484375,0.99609375,5.125999450683594e-05,0.0830078125,1.800060272216797e-05,0.98046875,0.0004215240478515625,1.0,6.007030606269836e-08,31
spear,a,a,True,spear,True,arrow,False,0.944342315196991,0.944342315196991,0.0175334606319665,True,0.991619110107422,0.9906021356582642,tire,a,The round rubber wheel that goes on a car and is inflated with air is a tire,"<|im_start|>user
The round rubber wheel that goes on a car and is inflated with air is a tire. The long weapon with a sharp pointed tip thrown in ancient warfare is","<|im_start|>user
The round rubber wheel that goes on a car and is inflated with air is a tire. The long weapon with a sharp pointed tip thrown in ancient warfare is a","<|im_start|>user
The round rubber wheel that goes on a car and is inflated with air is a tire. The long weapon with a sharp pointed tip thrown in ancient warfare is an",Qwen3-4B-a-spear,a-spear.pt,0.94921875,0.017333984375,0.9375,0.01953125,0.953125,0.00933837890625,0.94140625,0.0172119140625,0.9375,0.01513671875,0.9453125,0.017333984375,0.94921875,0.017333984375,3
sponge,a,a,True,sponge,True,absorb,False,0.9820374250411988,0.9820374250411988,0.0002075672528007,True,0.9947208166122437,0.7229254841804504,computer,a,The electronic device with a screen and keyboard used for work games and internet is a computer,"<|im_start|>user
The electronic device with a screen and keyboard used for work games and internet is a computer. The soft absorbent material full of holes used for cleaning and washing is","<|im_start|>user
The electronic device with a screen and keyboard used for work games and internet is a computer. The soft absorbent material full of holes used for cleaning and washing is a","<|im_start|>user
The electronic device with a screen and keyboard used for work games and internet is a computer. The soft absorbent material full of holes used for cleaning and washing is an",Qwen3-4B-a-sponge,a-sponge.pt,0.98046875,0.0002002716064453125,0.984375,0.0002002716064453125,0.984375,0.000156402587890625,0.98046875,0.0002002716064453125,0.98046875,0.0002002716064453125,0.984375,0.0002002716064453125,0.98046875,0.00032806396484375,2
strawberry,a,a,True,strawberry,True,apr,False,0.9990359544754028,0.9990359544754028,2.711617344175465e-05,True,0.4535755813121795,0.502991795539856,raisin,a,The small wrinkled dried grape often added to cookies and cereals is a raisin,"<|im_start|>user
The small wrinkled dried grape often added to cookies and cereals is a raisin. The small red fruit with tiny seeds on the outside often eaten with cream is","<|im_start|>user
The small wrinkled dried grape often added to cookies and cereals is a raisin. The small red fruit with tiny seeds on the outside often eaten with cream is a","<|im_start|>user
The small wrinkled dried grape often added to cookies and cereals is a raisin. The small red fruit with tiny seeds on the outside often eaten with cream is an",Qwen3-4B-a-strawberry,a-strawberry.pt,1.0,2.4318695068359375e-05,1.0,2.753734588623047e-05,0.99609375,1.2934207916259766e-05,1.0,1.4722347259521484e-05,0.9375,0.000335693359375,1.0,2.1457672119140625e-05,1.0,5.817413330078125e-05,7
tablespoon,a,a,True,lad,False,__,False,0.9695774912834167,0.9695774912834167,0.0004733671376015,True,0.6250137686729431,0.2511247396469116,tire,a,The round rubber wheel that goes on a car and is inflated with air is a tire,"<|im_start|>user
The round rubber wheel that goes on a car and is inflated with air is a tire. The large spoon used for serving food or measuring ingredients while cooking is","<|im_start|>user
The round rubber wheel that goes on a car and is inflated with air is a tire. The large spoon used for serving food or measuring ingredients while cooking is a","<|im_start|>user
The round rubber wheel that goes on a car and is inflated with air is a tire. The large spoon used for serving food or measuring ingredients while cooking is an",Qwen3-4B-a-tablespoon,a-tablespoon.pt,0.96875,0.0004730224609375,0.97265625,0.0004749298095703125,0.96484375,0.0005340576171875,0.96875,0.000537872314453125,0.97265625,0.0004749298095703125,0.96875,0.0004730224609375,0.96875,0.000537872314453125,4
telescope,a,a,True,telescope,True,ey,False,0.9903891682624816,0.9903891682624816,5.724655056837946e-05,True,0.9233238101005554,0.8451722860336304,eraser,an,The rubber tool that removes pencil marks from paper is an eraser,"<|im_start|>user
The rubber tool that removes pencil marks from paper is an eraser. The optical instrument that makes distant objects appear closer and clearer is","<|im_start|>user
The rubber tool that removes pencil marks from paper is an eraser. The optical instrument that makes distant objects appear closer and clearer is a","<|im_start|>user
The rubber tool that removes pencil marks from paper is an eraser. The optical instrument that makes distant objects appear closer and clearer is an",Qwen3-4B-a-telescope,a-telescope.pt,0.9921875,5.7697296142578125e-05,0.9921875,4.2438507080078125e-05,0.96875,0.00015354156494140625,0.9921875,5.7697296142578125e-05,0.98828125,7.390975952148438e-05,0.98046875,4.744529724121094e-05,0.99609375,0.0001583099365234375,14
thimble,a,a,True,th,True,end,False,0.9630395770072936,0.9630395770072936,0.0005129526252858,True,0.3866991102695465,0.3827844560146332,spoon,a,The rounded eating utensil used to scoop up soup cereal and other liquids is a spoon,"<|im_start|>user
The rounded eating utensil used to scoop up soup cereal and other liquids is a spoon. The small metal cap worn on the finger tip while sewing to protect from needle pricks is","<|im_start|>user
The rounded eating utensil used to scoop up soup cereal and other liquids is a spoon. The small metal cap worn on the finger tip while sewing to protect from needle pricks is a","<|im_start|>user
The rounded eating utensil used to scoop up soup cereal and other liquids is a spoon. The small metal cap worn on the finger tip while sewing to protect from needle pricks is an",Qwen3-4B-a-thimble,a-thimble.pt,0.96484375,0.0004711151123046875,0.96484375,0.0004711151123046875,0.96484375,0.0004711151123046875,0.96484375,0.0004711151123046875,0.96484375,0.0004711151123046875,0.96484375,0.0004711151123046875,0.96484375,0.0004711151123046875,0
thorn,a,a,True,th,True,th,True,0.9856443405151368,0.9856443405151368,0.000197160145035,True,0.9993407130241394,0.8521692752838135,cow,a,The large black and white farm animal that gives milk and says moo is a cow,"<|im_start|>user
The large black and white farm animal that gives milk and says moo is a cow. The sharp pointed projection on a rose stem or other plant that can prick you is","<|im_start|>user
The large black and white farm animal that gives milk and says moo is a cow. The sharp pointed projection on a rose stem or other plant that can prick you is a","<|im_start|>user
The large black and white farm animal that gives milk and says moo is a cow. The sharp pointed projection on a rose stem or other plant that can prick you is an",Qwen3-4B-a-thorn,a-thorn.pt,0.984375,0.0002002716064453125,0.984375,0.00037384033203125,0.95703125,1.9311904907226562e-05,0.98828125,0.00022792816162109375,0.01239013671875,2.2351741790771484e-06,0.98046875,0.0003299713134765625,0.9921875,5.1021575927734375e-05,19
tiger,a,a,True,tiger,True,______,False,0.9312318563461304,0.9312318563461304,0.0006807273020967,True,0.6365005373954773,0.293512761592865,anchor,an,The heavy metal device that keeps boats from drifting by hooking to the sea floor is an anchor,"<|im_start|>user
The heavy metal device that keeps boats from drifting by hooking to the sea floor is an anchor. The large striped wild cat with orange and black markings that prowls the jungle is","<|im_start|>user
The heavy metal device that keeps boats from drifting by hooking to the sea floor is an anchor. The large striped wild cat with orange and black markings that prowls the jungle is a","<|im_start|>user
The heavy metal device that keeps boats from drifting by hooking to the sea floor is an anchor. The large striped wild cat with orange and black markings that prowls the jungle is an",Qwen3-4B-a-tiger,a-tiger.pt,0.9296875,0.000659942626953125,0.93359375,0.00066375732421875,0.95703125,0.000194549560546875,0.92578125,0.000743865966796875,0.9375,0.000751495361328125,0.93359375,0.000751495361328125,0.90625,0.000568389892578125,5
tire,a,a,True,tire,True,inner,False,0.952404260635376,0.952404260635376,0.0028435988351702,True,0.9746361970901488,0.6230509877204895,matchstick,a,The small wooden stick with a chemical tip that ignites when struck is a matchstick,"<|im_start|>user
The small wooden stick with a chemical tip that ignites when struck is a matchstick. The round rubber wheel that goes on a car and is inflated with air is","<|im_start|>user
The small wooden stick with a chemical tip that ignites when struck is a matchstick. The round rubber wheel that goes on a car and is inflated with air is a","<|im_start|>user
The small wooden stick with a chemical tip that ignites when struck is a matchstick. The round rubber wheel that goes on a car and is inflated with air is an",Qwen3-4B-a-tire,a-tire.pt,0.953125,0.002685546875,0.93359375,0.0091552734375,0.77734375,0.00140380859375,0.92578125,0.0054931640625,0.007598876953125,1.1444091796875e-05,0.94140625,0.005615234375,0.1201171875,0.00133514404296875,29
toad,a,a,True,to,True,______,False,0.987033486366272,0.987033486366272,7.381183240795508e-05,True,0.9949991703033448,0.2346336990594864,mousetrap,a,The spring-loaded device that snaps shut to catch rodents is a mousetrap,"<|im_start|>user
The spring-loaded device that snaps shut to catch rodents is a mousetrap. The warty amphibian that hops like a frog but has rougher drier skin is","<|im_start|>user
The spring-loaded device that snaps shut to catch rodents is a mousetrap. The warty amphibian that hops like a frog but has rougher drier skin is a","<|im_start|>user
The spring-loaded device that snaps shut to catch rodents is a mousetrap. The warty amphibian that hops like a frog but has rougher drier skin is an",Qwen3-4B-a-toad,a-toad.pt,0.984375,8.344650268554688e-05,0.984375,6.4849853515625e-05,0.984375,0.00079345703125,0.984375,4.482269287109375e-05,0.984375,0.00130462646484375,0.984375,8.344650268554688e-05,0.98828125,5.745887756347656e-05,5
tomato,a,a,True,tomato,True,apple,False,0.9934925436973572,0.9934925436973572,0.0006660587969236,True,0.9025819301605223,0.6988962292671204,chipmunk,a,The small striped rodent with pouches in its cheeks that stores nuts is a chipmunk,"<|im_start|>user
The small striped rodent with pouches in its cheeks that stores nuts is a chipmunk. The red round fruit used to make sauce and eaten in salads is","<|im_start|>user
The small striped rodent with pouches in its cheeks that stores nuts is a chipmunk. The red round fruit used to make sauce and eaten in salads is a","<|im_start|>user
The small striped rodent with pouches in its cheeks that stores nuts is a chipmunk. The red round fruit used to make sauce and eaten in salads is an",Qwen3-4B-a-tomato,a-tomato.pt,0.99609375,0.000705718994140625,0.9921875,0.00148773193359375,0.99609375,0.00017833709716796875,0.9921875,0.00080108642578125,0.95703125,0.000598907470703125,0.9921875,0.000705718994140625,0.9921875,0.00054931640625,9
toothbrush,a,a,True,tooth,True,electric,False,0.9912925362586976,0.9912925362586976,6.540168396895751e-05,True,0.9714160561561584,0.7781938910484314,mattress,a,The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress,"<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The handheld tool with bristles used to clean teeth twice daily is","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The handheld tool with bristles used to clean teeth twice daily is a","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The handheld tool with bristles used to clean teeth twice daily is an",Qwen3-4B-a-toothbrush,a-toothbrush.pt,0.9921875,6.532669067382812e-05,0.98828125,0.00020122528076171875,0.99609375,1.0073184967041016e-05,0.9921875,5.793571472167969e-05,6.961822509765625e-05,8.032657206058502e-09,0.9921875,5.1021575927734375e-05,0.98828125,0.00010776519775390625,18
tractor,a,a,True,tractor,True,tractor,True,0.9719743132591248,0.9719743132591248,0.008376345038414,True,0.991063356399536,0.4747822284698486,arrow,an,The pointed projectile shot from a bow toward a target is an arrow,"<|im_start|>user
The pointed projectile shot from a bow toward a target is an arrow. The large farm vehicle that pulls plows and other equipment through fields is","<|im_start|>user
The pointed projectile shot from a bow toward a target is an arrow. The large farm vehicle that pulls plows and other equipment through fields is a","<|im_start|>user
The pointed projectile shot from a bow toward a target is an arrow. The large farm vehicle that pulls plows and other equipment through fields is an",Qwen3-4B-a-tractor,a-tractor.pt,0.97265625,0.0084228515625,0.9609375,0.0093994140625,0.98828125,0.005889892578125,0.97265625,0.007415771484375,0.22265625,0.0052490234375,0.9375,0.0091552734375,0.98828125,0.00518798828125,13
trampoline,a,a,True,tr,True,exercise,False,0.9212173819541932,0.9212173819541932,0.0034340515267103,True,0.9951153993606568,0.540166974067688,cigar,a,The rolled tobacco leaves that people smoke and are bad for health is a cigar,"<|im_start|>user
The rolled tobacco leaves that people smoke and are bad for health is a cigar. The circular bouncing apparatus with springs that people jump on for exercise is","<|im_start|>user
The rolled tobacco leaves that people smoke and are bad for health is a cigar. The circular bouncing apparatus with springs that people jump on for exercise is a","<|im_start|>user
The rolled tobacco leaves that people smoke and are bad for health is a cigar. The circular bouncing apparatus with springs that people jump on for exercise is an",Qwen3-4B-a-trampoline,a-trampoline.pt,0.92578125,0.0037841796875,0.92578125,0.0033416748046875,0.94921875,0.00341796875,0.92578125,0.0037841796875,0.9296875,0.00335693359375,0.93359375,0.0033721923828125,0.85546875,0.005096435546875,3
tree,a,a,True,tree,True,______,False,0.9929514527320862,0.9929514527320862,0.0001752958341967,True,0.989276885986328,0.2904657423496246,blade,a,The thin sharp edge of a knife sword or razor that cuts things is a blade,"<|im_start|>user
The thin sharp edge of a knife sword or razor that cuts things is a blade. The tall woody plant with branches and leaves that provides shade and oxygen is","<|im_start|>user
The thin sharp edge of a knife sword or razor that cuts things is a blade. The tall woody plant with branches and leaves that provides shade and oxygen is a","<|im_start|>user
The thin sharp edge of a knife sword or razor that cuts things is a blade. The tall woody plant with branches and leaves that provides shade and oxygen is an",Qwen3-4B-a-tree,a-tree.pt,0.9921875,0.00017833709716796875,0.98828125,0.0002918243408203125,0.427734375,0.00119781494140625,0.98828125,0.00022792816162109375,0.0002593994140625,5.2852556109428406e-08,0.99609375,0.000202178955078125,0.953125,0.000720977783203125,33
tulip,a,is,False,lot,False,is,False,0.9525189995765686,4.4563174128597893e-07,5.2546752726811974e-08,True,0.4097457230091095,0.209783673286438,cheesecake,a,The rich dessert made with cream cheese and often topped with berries is a cheesecake,"<|im_start|>user
The rich dessert made with cream cheese and often topped with berries is a cheesecake. The cup-shaped flower that blooms in spring and is associated with the Netherlands","<|im_start|>user
The rich dessert made with cream cheese and often topped with berries is a cheesecake. The cup-shaped flower that blooms in spring and is associated with the Netherlands a","<|im_start|>user
The rich dessert made with cream cheese and often topped with berries is a cheesecake. The cup-shaped flower that blooms in spring and is associated with the Netherlands an",Qwen3-4B-a-tulip,a-tulip.pt,4.246830940246582e-07,4.7730281949043274e-08,4.246830940246582e-07,4.7730281949043274e-08,4.246830940246582e-07,4.7730281949043274e-08,4.246830940246582e-07,4.7730281949043274e-08,4.246830940246582e-07,4.7730281949043274e-08,4.246830940246582e-07,4.7730281949043274e-08,4.246830940246582e-07,4.7730281949043274e-08,0
turtle,a,a,True,turtle,True,turtle,True,0.9961174726486206,0.9961174726486206,0.0003141426423098,True,0.6824818849563599,0.2785690128803253,office,an,"The workplace with desks, computers, and meeting rooms where people do business is an office","<|im_start|>user
The workplace with desks, computers, and meeting rooms where people do business is an office. The reptile with a hard shell that moves slowly and can pull its head inside is","<|im_start|>user
The workplace with desks, computers, and meeting rooms where people do business is an office. The reptile with a hard shell that moves slowly and can pull its head inside is a","<|im_start|>user
The workplace with desks, computers, and meeting rooms where people do business is an office. The reptile with a hard shell that moves slowly and can pull its head inside is an",Qwen3-4B-a-turtle,a-turtle.pt,0.99609375,0.0002956390380859375,0.92578125,0.06689453125,0.94140625,9.080395102500916e-08,0.99609375,0.0003795623779296875,0.0115966796875,1.1205673217773438e-05,0.99609375,0.0004863739013671875,1.0,0.0002613067626953125,21
udder,an,called,False,u,True,u,True,0.3355449438095093,0.3334885239601135,0.004141392186284,False,0.825495719909668,0.6834263801574707,hummingbird,a,The tiny colorful bird that hovers and feeds on flower nectar is a hummingbird,"<|im_start|>user
The tiny colorful bird that hovers and feeds on flower nectar is a hummingbird. The milk-producing organ of a female cow or other mammal is","<|im_start|>user
The tiny colorful bird that hovers and feeds on flower nectar is a hummingbird. The milk-producing organ of a female cow or other mammal is an","<|im_start|>user
The tiny colorful bird that hovers and feeds on flower nectar is a hummingbird. The milk-producing organ of a female cow or other mammal is a",Qwen3-4B-an-udder,an-udder.pt,0.330078125,0.004150390625,0.373046875,0.0022125244140625,0.212890625,0.025390625,0.31640625,0.00396728515625,0.267578125,0.00433349609375,0.314453125,0.004486083984375,0.357421875,0.003082275390625,6
umbrella,an,a,False,umbrella,True,paras,False,0.7539314031600952,0.7539314031600952,0.0226924493908882,False,0.9783101081848145,0.5571288466453552,emerald,an,The bright green precious gemstone often found in jewelry and engagement rings is an emerald,"<|im_start|>user
The bright green precious gemstone often found in jewelry and engagement rings is an emerald. The collapsible canopy on a stick that protects you from rain or sun is","<|im_start|>user
The bright green precious gemstone often found in jewelry and engagement rings is an emerald. The collapsible canopy on a stick that protects you from rain or sun is an","<|im_start|>user
The bright green precious gemstone often found in jewelry and engagement rings is an emerald. The collapsible canopy on a stick that protects you from rain or sun is a",Qwen3-4B-an-umbrella,an-umbrella.pt,0.7578125,0.0201416015625,0.7890625,0.00531005859375,0.042724609375,0.859375,0.72265625,0.01171875,0.69921875,0.12158203125,0.7578125,0.020263671875,0.734375,0.01953125,5
undershirt,an,a,False,unders,True,______,False,0.9936103224754332,0.9936103224754332,0.00010537840717,False,0.645646333694458,0.2771953642368316,cracker,a,The crispy flat biscuit that you eat with cheese or dip is a cracker,"<|im_start|>user
The crispy flat biscuit that you eat with cheese or dip is a cracker. The sleeveless garment worn underneath a shirt next to the skin is","<|im_start|>user
The crispy flat biscuit that you eat with cheese or dip is a cracker. The sleeveless garment worn underneath a shirt next to the skin is an","<|im_start|>user
The crispy flat biscuit that you eat with cheese or dip is a cracker. The sleeveless garment worn underneath a shirt next to the skin is a",Qwen3-4B-an-undershirt,an-undershirt.pt,0.9921875,0.00010824203491210938,0.9921875,8.440017700195312e-05,0.98828125,0.000331878662109375,0.9921875,7.43865966796875e-05,0.00012302398681640625,6.798654794692993e-08,0.99609375,8.440017700195312e-05,0.9921875,0.0001392364501953125,7
unicycle,a,a,True,un,True,exercise,False,0.9859687089920044,0.9859687089920044,0.0001516142074251,True,0.35475954413414,0.2434229552745819,blouse,a,The loose-fitting shirt typically worn by women with buttons or ties is a blouse,"<|im_start|>user
The loose-fitting shirt typically worn by women with buttons or ties is a blouse. The one-wheeled vehicle that requires balance to ride and is powered by pedaling is","<|im_start|>user
The loose-fitting shirt typically worn by women with buttons or ties is a blouse. The one-wheeled vehicle that requires balance to ride and is powered by pedaling is a","<|im_start|>user
The loose-fitting shirt typically worn by women with buttons or ties is a blouse. The one-wheeled vehicle that requires balance to ride and is powered by pedaling is an",Qwen3-4B-a-unicycle,a-unicycle.pt,0.984375,0.000156402587890625,0.984375,0.000156402587890625,0.98828125,0.0001773834228515625,0.984375,0.0001773834228515625,0.98828125,0.00013828277587890625,0.984375,0.000156402587890625,0.98828125,0.00013828277587890625,1
vase,a,a,True,vase,True,urn,False,0.9811633229255676,0.9811633229255676,0.0006617911276407,True,0.7832751870155334,0.288905382156372,tractor,a,The large farm vehicle that pulls plows and other equipment through fields is a tractor,"<|im_start|>user
The large farm vehicle that pulls plows and other equipment through fields is a tractor. The decorative container used to hold cut flowers or as ornamental display is","<|im_start|>user
The large farm vehicle that pulls plows and other equipment through fields is a tractor. The decorative container used to hold cut flowers or as ornamental display is a","<|im_start|>user
The large farm vehicle that pulls plows and other equipment through fields is a tractor. The decorative container used to hold cut flowers or as ornamental display is an",Qwen3-4B-a-vase,a-vase.pt,0.98046875,0.00069427490234375,0.98046875,0.00069427490234375,0.98046875,0.0004787445068359375,0.98046875,0.000698089599609375,0.98046875,0.00069427490234375,0.9765625,0.000614166259765625,0.984375,0.00115203857421875,2
walrus,a,a,True,wal,True,or,False,0.9507769346237184,0.9507769346237184,0.0367922186851501,True,0.7794312834739685,0.9071733951568604,mango,a,The tropical orange fruit with sweet flesh that grows on trees is a mango,"<|im_start|>user
The tropical orange fruit with sweet flesh that grows on trees is a mango. The large marine mammal with tusks that lives in Arctic waters and barks is","<|im_start|>user
The tropical orange fruit with sweet flesh that grows on trees is a mango. The large marine mammal with tusks that lives in Arctic waters and barks is a","<|im_start|>user
The tropical orange fruit with sweet flesh that grows on trees is a mango. The large marine mammal with tusks that lives in Arctic waters and barks is an",Qwen3-4B-a-walrus,a-walrus.pt,0.94921875,0.036865234375,0.9453125,0.04150390625,0.96875,0.017822265625,0.94921875,0.036865234375,0.953125,0.03271484375,0.94921875,0.036865234375,0.94921875,0.036865234375,1
