op1,op2,n1,n2,n3,intermediate,answer,eq1,eqfull
-,-,5,9,5,-4,-9,(5-9),(5-9)-5=
*,//,4,6,8,24,3,(4*6),(4*6)//8=
-,-,5,3,8,2,-6,(5-3),(5-3)-8=
-,//,8,4,5,4,0,(8-4),(8-4)//5=
*,*,5,1,2,5,10,(5*1),(5*1)*2=
//,+,9,9,3,1,4,(9//9),(9//9)+3=
-,//,3,7,1,-4,-4,(3-7),(3-7)//1=
*,//,3,7,1,21,21,(3*7),(3*7)//1=
*,+,5,9,8,45,53,(5*9),(5*9)+8=
-,*,8,2,3,6,18,(8-2),(8-2)*3=
+,+,3,3,1,6,7,(3+3),(3+3)+1=
//,*,7,6,4,1,4,(7//6),(7//6)*4=
+,*,5,7,6,12,72,(5+7),(5+7)*6=
//,-,5,4,3,1,-2,(5//4),(5//4)-3=
-,+,1,7,4,-6,-2,(1-7),(1-7)+4=
-,+,7,8,8,-1,7,(7-8),(7-8)+8=
//,-,3,6,3,0,-3,(3//6),(3//6)-3=
-,+,5,3,2,2,4,(5-3),(5-3)+2=
//,-,6,1,9,6,-3,(6//1),(6//1)-9=
//,+,5,8,2,0,2,(5//8),(5//8)+2=
*,-,1,7,3,7,4,(1*7),(1*7)-3=
*,*,1,3,4,3,12,(1*3),(1*3)*4=
//,*,8,2,5,4,20,(8//2),(8//2)*5=
+,*,4,8,5,12,60,(4+8),(4+8)*5=
+,-,6,9,3,15,12,(6+9),(6+9)-3=
-,*,3,2,4,1,4,(3-2),(3-2)*4=
//,+,9,6,3,1,4,(9//6),(9//6)+3=
*,*,2,7,7,14,98,(2*7),(2*7)*7=
-,+,5,3,4,2,6,(5-3),(5-3)+4=
*,*,8,7,3,56,168,(8*7),(8*7)*3=
*,+,1,7,7,7,14,(1*7),(1*7)+7=
+,*,3,7,6,10,60,(3+7),(3+7)*6=
*,//,7,5,4,35,8,(7*5),(7*5)//4=
+,*,5,8,8,13,104,(5+8),(5+8)*8=
-,-,5,9,7,-4,-11,(5-9),(5-9)-7=
+,+,5,7,3,12,15,(5+7),(5+7)+3=
-,-,4,3,4,1,-3,(4-3),(4-3)-4=
+,-,3,5,2,8,6,(3+5),(3+5)-2=
*,-,7,4,5,28,23,(7*4),(7*4)-5=
//,//,4,5,2,0,0,(4//5),(4//5)//2=
-,+,4,4,5,0,5,(4-4),(4-4)+5=
*,//,1,9,7,9,1,(1*9),(1*9)//7=
//,+,9,6,4,1,5,(9//6),(9//6)+4=
-,-,7,1,7,6,-1,(7-1),(7-1)-7=
*,-,3,4,4,12,8,(3*4),(3*4)-4=
+,-,5,2,9,7,-2,(5+2),(5+2)-9=
-,//,8,5,3,3,1,(8-5),(8-5)//3=
*,*,3,4,7,12,84,(3*4),(3*4)*7=
+,-,8,2,7,10,3,(8+2),(8+2)-7=
//,*,8,5,9,1,9,(8//5),(8//5)*9=
-,//,7,5,6,2,0,(7-5),(7-5)//6=
*,*,8,7,9,56,504,(8*7),(8*7)*9=
+,+,3,1,4,4,8,(3+1),(3+1)+4=
+,*,5,1,2,6,12,(5+1),(5+1)*2=
+,+,3,4,5,7,12,(3+4),(3+4)+5=
+,-,5,4,2,9,7,(5+4),(5+4)-2=
*,//,3,3,8,9,1,(3*3),(3*3)//8=
-,//,9,5,3,4,1,(9-5),(9-5)//3=
//,*,1,7,3,0,0,(1//7),(1//7)*3=
+,*,2,1,3,3,9,(2+1),(2+1)*3=
//,-,4,4,4,1,-3,(4//4),(4//4)-4=
-,+,6,4,5,2,7,(6-4),(6-4)+5=
//,-,4,2,8,2,-6,(4//2),(4//2)-8=
-,*,9,6,6,3,18,(9-6),(9-6)*6=
//,*,7,1,1,7,7,(7//1),(7//1)*1=
*,//,7,8,2,56,28,(7*8),(7*8)//2=
//,+,6,5,1,1,2,(6//5),(6//5)+1=
+,+,6,5,8,11,19,(6+5),(6+5)+8=
-,-,4,2,3,2,-1,(4-2),(4-2)-3=
*,-,7,6,3,42,39,(7*6),(7*6)-3=
*,//,3,7,2,21,10,(3*7),(3*7)//2=
*,//,7,2,5,14,2,(7*2),(7*2)//5=
*,+,5,6,7,30,37,(5*6),(5*6)+7=
//,*,4,2,5,2,10,(4//2),(4//2)*5=
//,//,7,5,7,1,0,(7//5),(7//5)//7=
-,+,3,5,9,-2,7,(3-5),(3-5)+9=
-,*,4,6,4,-2,-8,(4-6),(4-6)*4=
-,-,9,8,7,1,-6,(9-8),(9-8)-7=
+,//,9,4,8,13,1,(9+4),(9+4)//8=
//,*,4,1,6,4,24,(4//1),(4//1)*6=
-,*,6,6,8,0,0,(6-6),(6-6)*8=
//,-,2,9,2,0,-2,(2//9),(2//9)-2=
+,-,8,5,2,13,11,(8+5),(8+5)-2=
-,+,5,9,1,-4,-3,(5-9),(5-9)+1=
*,//,8,5,8,40,5,(8*5),(8*5)//8=
+,+,6,6,3,12,15,(6+6),(6+6)+3=
-,+,6,8,3,-2,1,(6-8),(6-8)+3=
*,+,4,7,5,28,33,(4*7),(4*7)+5=
-,*,3,2,9,1,9,(3-2),(3-2)*9=
+,//,4,8,6,12,2,(4+8),(4+8)//6=
+,+,6,6,5,12,17,(6+6),(6+6)+5=
*,-,9,8,3,72,69,(9*8),(9*8)-3=
+,*,3,4,1,7,7,(3+4),(3+4)*1=
//,//,5,8,7,0,0,(5//8),(5//8)//7=
//,*,6,6,4,1,4,(6//6),(6//6)*4=
-,*,9,1,1,8,8,(9-1),(9-1)*1=
*,-,3,7,7,21,14,(3*7),(3*7)-7=
-,+,7,2,9,5,14,(7-2),(7-2)+9=
-,*,2,4,7,-2,-14,(2-4),(2-4)*7=
//,-,7,5,9,1,-8,(7//5),(7//5)-9=
-,-,2,5,5,-3,-8,(2-5),(2-5)-5=
//,//,5,6,8,0,0,(5//6),(5//6)//8=
+,//,5,8,1,13,13,(5+8),(5+8)//1=
-,*,4,4,3,0,0,(4-4),(4-4)*3=
//,*,8,3,6,2,12,(8//3),(8//3)*6=
*,-,8,1,2,8,6,(8*1),(8*1)-2=
+,+,7,8,8,15,23,(7+8),(7+8)+8=
//,-,2,1,4,2,-2,(2//1),(2//1)-4=
*,//,9,6,8,54,6,(9*6),(9*6)//8=
-,//,5,3,7,2,0,(5-3),(5-3)//7=
*,-,7,6,7,42,35,(7*6),(7*6)-7=
//,-,8,6,7,1,-6,(8//6),(8//6)-7=
//,-,8,6,4,1,-3,(8//6),(8//6)-4=
-,*,5,8,9,-3,-27,(5-8),(5-8)*9=
*,+,9,7,4,63,67,(9*7),(9*7)+4=
*,//,9,5,4,45,11,(9*5),(9*5)//4=
//,//,4,7,8,0,0,(4//7),(4//7)//8=
//,+,5,8,9,0,9,(5//8),(5//8)+9=
+,+,8,6,5,14,19,(8+6),(8+6)+5=
//,//,2,1,9,2,0,(2//1),(2//1)//9=
*,+,3,1,7,3,10,(3*1),(3*1)+7=
*,+,9,3,7,27,34,(9*3),(9*3)+7=
*,+,3,8,6,24,30,(3*8),(3*8)+6=
//,*,1,6,9,0,0,(1//6),(1//6)*9=
//,*,7,3,8,2,16,(7//3),(7//3)*8=
*,//,3,9,3,27,9,(3*9),(3*9)//3=
+,//,3,6,7,9,1,(3+6),(3+6)//7=
//,-,7,3,7,2,-5,(7//3),(7//3)-7=
-,//,1,1,8,0,0,(1-1),(1-1)//8=
*,+,6,5,8,30,38,(6*5),(6*5)+8=
-,//,5,4,2,1,0,(5-4),(5-4)//2=
-,-,6,2,5,4,-1,(6-2),(6-2)-5=
*,+,1,5,5,5,10,(1*5),(1*5)+5=
//,//,8,7,4,1,0,(8//7),(8//7)//4=
*,-,5,5,3,25,22,(5*5),(5*5)-3=
-,-,3,2,4,1,-3,(3-2),(3-2)-4=
*,*,7,1,7,7,49,(7*1),(7*1)*7=
-,*,5,1,7,4,28,(5-1),(5-1)*7=
*,*,6,2,6,12,72,(6*2),(6*2)*6=
-,+,8,8,3,0,3,(8-8),(8-8)+3=
*,//,2,9,8,18,2,(2*9),(2*9)//8=
*,+,5,7,7,35,42,(5*7),(5*7)+7=
//,//,3,8,8,0,0,(3//8),(3//8)//8=
+,+,5,5,1,10,11,(5+5),(5+5)+1=
+,+,2,3,3,5,8,(2+3),(2+3)+3=
*,+,7,3,9,21,30,(7*3),(7*3)+9=
-,-,5,8,3,-3,-6,(5-8),(5-8)-3=
-,//,9,7,8,2,0,(9-7),(9-7)//8=
+,//,5,2,4,7,1,(5+2),(5+2)//4=
*,-,3,6,9,18,9,(3*6),(3*6)-9=
//,+,2,1,3,2,5,(2//1),(2//1)+3=
*,-,4,4,1,16,15,(4*4),(4*4)-1=
*,//,9,9,8,81,10,(9*9),(9*9)//8=
+,//,9,2,1,11,11,(9+2),(9+2)//1=
-,+,5,1,9,4,13,(5-1),(5-1)+9=
-,-,7,6,6,1,-5,(7-6),(7-6)-6=
*,+,7,5,9,35,44,(7*5),(7*5)+9=
+,-,5,9,8,14,6,(5+9),(5+9)-8=
+,*,8,1,1,9,9,(8+1),(8+1)*1=
+,-,5,5,4,10,6,(5+5),(5+5)-4=
-,+,2,2,6,0,6,(2-2),(2-2)+6=
*,//,3,2,5,6,1,(3*2),(3*2)//5=
-,+,9,2,6,7,13,(9-2),(9-2)+6=
-,*,6,7,4,-1,-4,(6-7),(6-7)*4=
+,+,4,3,1,7,8,(4+3),(4+3)+1=
-,//,7,1,6,6,1,(7-1),(7-1)//6=
-,-,7,8,8,-1,-9,(7-8),(7-8)-8=
//,//,1,8,5,0,0,(1//8),(1//8)//5=
-,*,7,3,6,4,24,(7-3),(7-3)*6=
//,-,8,4,3,2,-1,(8//4),(8//4)-3=
//,*,7,1,5,7,35,(7//1),(7//1)*5=
-,-,1,7,1,-6,-7,(1-7),(1-7)-1=
+,-,8,8,4,16,12,(8+8),(8+8)-4=
*,+,4,1,5,4,9,(4*1),(4*1)+5=
+,+,2,2,6,4,10,(2+2),(2+2)+6=
*,-,9,2,4,18,14,(9*2),(9*2)-4=
*,//,7,7,1,49,49,(7*7),(7*7)//1=
*,*,9,8,7,72,504,(9*8),(9*8)*7=
//,//,5,4,4,1,0,(5//4),(5//4)//4=
*,*,5,8,9,40,360,(5*8),(5*8)*9=
//,-,8,5,9,1,-8,(8//5),(8//5)-9=
+,+,7,4,4,11,15,(7+4),(7+4)+4=
//,+,6,5,7,1,8,(6//5),(6//5)+7=
-,//,3,1,5,2,0,(3-1),(3-1)//5=
//,-,5,4,8,1,-7,(5//4),(5//4)-8=
//,+,3,5,2,0,2,(3//5),(3//5)+2=
-,+,8,6,2,2,4,(8-6),(8-6)+2=
+,-,5,8,7,13,6,(5+8),(5+8)-7=
*,-,9,3,1,27,26,(9*3),(9*3)-1=
//,-,3,8,1,0,-1,(3//8),(3//8)-1=
-,*,5,3,6,2,12,(5-3),(5-3)*6=
+,//,9,4,4,13,3,(9+4),(9+4)//4=
//,-,7,1,8,7,-1,(7//1),(7//1)-8=
*,+,9,3,8,27,35,(9*3),(9*3)+8=
-,*,6,7,2,-1,-2,(6-7),(6-7)*2=
*,-,7,3,4,21,17,(7*3),(7*3)-4=
+,*,5,3,5,8,40,(5+3),(5+3)*5=
*,-,7,1,9,7,-2,(7*1),(7*1)-9=
-,-,3,7,6,-4,-10,(3-7),(3-7)-6=
//,//,1,6,8,0,0,(1//6),(1//6)//8=
*,+,8,3,8,24,32,(8*3),(8*3)+8=
//,//,2,6,3,0,0,(2//6),(2//6)//3=
*,+,3,9,8,27,35,(3*9),(3*9)+8=
-,*,8,8,3,0,0,(8-8),(8-8)*3=
-,-,7,3,6,4,-2,(7-3),(7-3)-6=
-,+,6,2,1,4,5,(6-2),(6-2)+1=
+,+,8,1,5,9,14,(8+1),(8+1)+5=
//,-,7,2,3,3,0,(7//2),(7//2)-3=
+,*,4,9,4,13,52,(4+9),(4+9)*4=
-,//,8,2,5,6,1,(8-2),(8-2)//5=
-,*,6,7,5,-1,-5,(6-7),(6-7)*5=
//,*,2,9,2,0,0,(2//9),(2//9)*2=
+,+,7,4,3,11,14,(7+4),(7+4)+3=
+,-,2,4,4,6,2,(2+4),(2+4)-4=
+,//,5,1,2,6,3,(5+1),(5+1)//2=
//,*,8,8,6,1,6,(8//8),(8//8)*6=
-,*,2,4,9,-2,-18,(2-4),(2-4)*9=
-,+,6,5,6,1,7,(6-5),(6-5)+6=
+,*,6,8,3,14,42,(6+8),(6+8)*3=
//,+,2,8,7,0,7,(2//8),(2//8)+7=
//,*,8,7,1,1,1,(8//7),(8//7)*1=
//,-,1,1,9,1,-8,(1//1),(1//1)-9=
//,//,3,1,1,3,3,(3//1),(3//1)//1=
-,+,3,2,6,1,7,(3-2),(3-2)+6=
+,//,3,3,8,6,0,(3+3),(3+3)//8=
*,-,8,4,7,32,25,(8*4),(8*4)-7=
*,//,6,8,2,48,24,(6*8),(6*8)//2=
-,*,8,4,6,4,24,(8-4),(8-4)*6=
*,+,2,1,8,2,10,(2*1),(2*1)+8=
//,//,6,9,1,0,0,(6//9),(6//9)//1=
-,-,8,8,8,0,-8,(8-8),(8-8)-8=
-,+,3,7,6,-4,2,(3-7),(3-7)+6=
//,//,3,3,6,1,0,(3//3),(3//3)//6=
-,+,1,7,8,-6,2,(1-7),(1-7)+8=
*,+,9,3,9,27,36,(9*3),(9*3)+9=
+,//,6,5,2,11,5,(6+5),(6+5)//2=
//,*,7,6,6,1,6,(7//6),(7//6)*6=
-,+,7,7,9,0,9,(7-7),(7-7)+9=
*,//,8,8,7,64,9,(8*8),(8*8)//7=
+,//,7,6,4,13,3,(7+6),(7+6)//4=
+,+,6,7,7,13,20,(6+7),(6+7)+7=
-,-,6,6,8,0,-8,(6-6),(6-6)-8=
*,-,6,8,1,48,47,(6*8),(6*8)-1=
*,+,9,6,7,54,61,(9*6),(9*6)+7=
*,-,5,1,7,5,-2,(5*1),(5*1)-7=
//,-,2,8,3,0,-3,(2//8),(2//8)-3=
//,*,4,4,5,1,5,(4//4),(4//4)*5=
+,*,7,4,8,11,88,(7+4),(7+4)*8=
*,-,7,3,7,21,14,(7*3),(7*3)-7=
*,*,2,3,9,6,54,(2*3),(2*3)*9=
+,-,9,9,4,18,14,(9+9),(9+9)-4=
+,*,9,6,6,15,90,(9+6),(9+6)*6=
+,-,5,6,8,11,3,(5+6),(5+6)-8=
*,-,1,8,7,8,1,(1*8),(1*8)-7=
+,+,1,9,9,10,19,(1+9),(1+9)+9=
//,//,7,9,2,0,0,(7//9),(7//9)//2=
-,+,9,9,9,0,9,(9-9),(9-9)+9=
*,//,4,8,2,32,16,(4*8),(4*8)//2=
//,//,2,7,4,0,0,(2//7),(2//7)//4=
-,-,2,9,5,-7,-12,(2-9),(2-9)-5=
-,-,1,3,2,-2,-4,(1-3),(1-3)-2=
//,+,7,3,6,2,8,(7//3),(7//3)+6=
//,-,7,6,2,1,-1,(7//6),(7//6)-2=
//,//,4,7,4,0,0,(4//7),(4//7)//4=
//,+,5,5,7,1,8,(5//5),(5//5)+7=
+,-,5,7,1,12,11,(5+7),(5+7)-1=
*,//,8,4,1,32,32,(8*4),(8*4)//1=
-,*,4,2,2,2,4,(4-2),(4-2)*2=
-,//,9,3,7,6,0,(9-3),(9-3)//7=
*,*,6,7,8,42,336,(6*7),(6*7)*8=
+,+,4,6,1,10,11,(4+6),(4+6)+1=
//,*,7,9,1,0,0,(7//9),(7//9)*1=
-,*,7,6,5,1,5,(7-6),(7-6)*5=
+,-,3,9,9,12,3,(3+9),(3+9)-9=
*,*,9,9,1,81,81,(9*9),(9*9)*1=
*,+,2,8,4,16,20,(2*8),(2*8)+4=
*,-,3,4,7,12,5,(3*4),(3*4)-7=
//,*,9,8,9,1,9,(9//8),(9//8)*9=
+,//,8,7,6,15,2,(8+7),(8+7)//6=
-,*,9,4,8,5,40,(9-4),(9-4)*8=
-,-,7,5,4,2,-2,(7-5),(7-5)-4=
-,//,8,7,3,1,0,(8-7),(8-7)//3=
+,+,6,9,4,15,19,(6+9),(6+9)+4=
-,-,3,2,1,1,0,(3-2),(3-2)-1=
//,+,7,3,9,2,11,(7//3),(7//3)+9=
*,*,9,6,7,54,378,(9*6),(9*6)*7=
-,+,6,4,6,2,8,(6-4),(6-4)+6=
+,+,8,8,7,16,23,(8+8),(8+8)+7=
+,//,3,9,2,12,6,(3+9),(3+9)//2=
-,+,1,4,4,-3,1,(1-4),(1-4)+4=
+,*,3,8,8,11,88,(3+8),(3+8)*8=
+,//,5,6,7,11,1,(5+6),(5+6)//7=
*,*,3,9,4,27,108,(3*9),(3*9)*4=
//,*,1,1,6,1,6,(1//1),(1//1)*6=
//,+,6,2,3,3,6,(6//2),(6//2)+3=
//,//,6,7,9,0,0,(6//7),(6//7)//9=
*,//,4,6,9,24,2,(4*6),(4*6)//9=
*,-,5,8,1,40,39,(5*8),(5*8)-1=
+,+,8,2,8,10,18,(8+2),(8+2)+8=
*,*,5,3,6,15,90,(5*3),(5*3)*6=
*,-,9,7,9,63,54,(9*7),(9*7)-9=
+,+,8,4,8,12,20,(8+4),(8+4)+8=
*,*,1,7,8,7,56,(1*7),(1*7)*8=
*,-,4,3,8,12,4,(4*3),(4*3)-8=
//,+,9,3,2,3,5,(9//3),(9//3)+2=
-,//,8,6,4,2,0,(8-6),(8-6)//4=
*,*,7,9,3,63,189,(7*9),(7*9)*3=
-,*,8,7,4,1,4,(8-7),(8-7)*4=
-,-,2,5,1,-3,-4,(2-5),(2-5)-1=
+,//,3,6,3,9,3,(3+6),(3+6)//3=
//,+,8,1,3,8,11,(8//1),(8//1)+3=
*,-,5,6,6,30,24,(5*6),(5*6)-6=
+,*,9,5,1,14,14,(9+5),(9+5)*1=
*,-,1,1,2,1,-1,(1*1),(1*1)-2=
-,*,1,6,7,-5,-35,(1-6),(1-6)*7=
-,+,5,7,8,-2,6,(5-7),(5-7)+8=
*,-,5,3,1,15,14,(5*3),(5*3)-1=
+,+,3,8,4,11,15,(3+8),(3+8)+4=
-,*,2,6,6,-4,-24,(2-6),(2-6)*6=
-,*,8,8,7,0,0,(8-8),(8-8)*7=
*,-,4,6,6,24,18,(4*6),(4*6)-6=
*,+,3,3,4,9,13,(3*3),(3*3)+4=
-,+,1,1,1,0,1,(1-1),(1-1)+1=
-,//,5,8,4,-3,-1,(5-8),(5-8)//4=
+,+,6,1,5,7,12,(6+1),(6+1)+5=
//,//,3,5,2,0,0,(3//5),(3//5)//2=
//,+,1,5,1,0,1,(1//5),(1//5)+1=
+,+,6,1,6,7,13,(6+1),(6+1)+6=
-,//,4,8,7,-4,-1,(4-8),(4-8)//7=
+,*,4,3,6,7,42,(4+3),(4+3)*6=
+,-,1,5,8,6,-2,(1+5),(1+5)-8=
*,+,7,4,7,28,35,(7*4),(7*4)+7=
-,+,3,9,3,-6,-3,(3-9),(3-9)+3=
//,*,9,6,9,1,9,(9//6),(9//6)*9=
//,//,7,8,4,0,0,(7//8),(7//8)//4=
//,-,9,7,8,1,-7,(9//7),(9//7)-8=
+,//,7,7,8,14,1,(7+7),(7+7)//8=
+,-,1,8,4,9,5,(1+8),(1+8)-4=
*,-,4,1,1,4,3,(4*1),(4*1)-1=
+,+,3,8,2,11,13,(3+8),(3+8)+2=
*,-,2,6,6,12,6,(2*6),(2*6)-6=
*,-,5,5,5,25,20,(5*5),(5*5)-5=
-,+,2,4,4,-2,2,(2-4),(2-4)+4=
-,+,4,7,7,-3,4,(4-7),(4-7)+7=
//,*,9,1,9,9,81,(9//1),(9//1)*9=
//,//,6,2,3,3,1,(6//2),(6//2)//3=
//,+,2,9,5,0,5,(2//9),(2//9)+5=
-,*,5,7,4,-2,-8,(5-7),(5-7)*4=
-,+,2,7,9,-5,4,(2-7),(2-7)+9=
+,+,5,7,7,12,19,(5+7),(5+7)+7=
*,*,7,3,2,21,42,(7*3),(7*3)*2=
*,-,1,3,2,3,1,(1*3),(1*3)-2=
+,//,7,2,1,9,9,(7+2),(7+2)//1=
+,+,1,6,7,7,14,(1+6),(1+6)+7=
*,*,5,1,4,5,20,(5*1),(5*1)*4=
-,+,8,4,9,4,13,(8-4),(8-4)+9=
*,+,2,9,8,18,26,(2*9),(2*9)+8=
//,//,4,1,8,4,0,(4//1),(4//1)//8=
-,+,6,9,3,-3,0,(6-9),(6-9)+3=
//,+,3,3,9,1,10,(3//3),(3//3)+9=
*,+,1,1,5,1,6,(1*1),(1*1)+5=
+,-,8,8,1,16,15,(8+8),(8+8)-1=
*,*,8,4,5,32,160,(8*4),(8*4)*5=
+,//,7,6,8,13,1,(7+6),(7+6)//8=
+,*,9,2,1,11,11,(9+2),(9+2)*1=
*,*,3,3,7,9,63,(3*3),(3*3)*7=
*,+,7,7,6,49,55,(7*7),(7*7)+6=
//,*,3,9,8,0,0,(3//9),(3//9)*8=
*,-,1,5,7,5,-2,(1*5),(1*5)-7=
+,//,7,9,6,16,2,(7+9),(7+9)//6=
+,*,9,9,6,18,108,(9+9),(9+9)*6=
//,//,7,6,8,1,0,(7//6),(7//6)//8=
+,*,3,6,2,9,18,(3+6),(3+6)*2=
*,//,9,7,8,63,7,(9*7),(9*7)//8=
*,//,4,5,9,20,2,(4*5),(4*5)//9=
*,+,9,8,2,72,74,(9*8),(9*8)+2=
-,*,4,6,6,-2,-12,(4-6),(4-6)*6=
-,-,9,9,1,0,-1,(9-9),(9-9)-1=
//,*,6,6,1,1,1,(6//6),(6//6)*1=
-,-,9,7,8,2,-6,(9-7),(9-7)-8=
//,+,4,9,9,0,9,(4//9),(4//9)+9=
*,*,9,2,1,18,18,(9*2),(9*2)*1=
*,-,3,8,2,24,22,(3*8),(3*8)-2=
//,-,2,2,9,1,-8,(2//2),(2//2)-9=
+,-,2,4,3,6,3,(2+4),(2+4)-3=
//,*,5,5,1,1,1,(5//5),(5//5)*1=
*,-,1,7,4,7,3,(1*7),(1*7)-4=
-,*,6,7,8,-1,-8,(6-7),(6-7)*8=
*,//,6,7,7,42,6,(6*7),(6*7)//7=
//,-,4,7,2,0,-2,(4//7),(4//7)-2=
*,*,1,5,9,5,45,(1*5),(1*5)*9=
//,-,8,2,5,4,-1,(8//2),(8//2)-5=
//,+,5,9,4,0,4,(5//9),(5//9)+4=
-,*,8,1,4,7,28,(8-1),(8-1)*4=
//,-,1,6,5,0,-5,(1//6),(1//6)-5=
+,-,7,8,5,15,10,(7+8),(7+8)-5=
-,-,3,4,1,-1,-2,(3-4),(3-4)-1=
*,+,2,4,6,8,14,(2*4),(2*4)+6=
//,//,7,5,3,1,0,(7//5),(7//5)//3=
//,*,1,3,8,0,0,(1//3),(1//3)*8=
*,+,1,7,5,7,12,(1*7),(1*7)+5=
*,//,3,7,8,21,2,(3*7),(3*7)//8=
*,//,4,7,3,28,9,(4*7),(4*7)//3=
-,*,7,5,1,2,2,(7-5),(7-5)*1=
*,-,9,6,8,54,46,(9*6),(9*6)-8=
//,-,1,6,2,0,-2,(1//6),(1//6)-2=
*,-,2,8,5,16,11,(2*8),(2*8)-5=
+,//,5,2,7,7,1,(5+2),(5+2)//7=
*,+,5,5,4,25,29,(5*5),(5*5)+4=
//,*,6,4,5,1,5,(6//4),(6//4)*5=
+,+,9,4,1,13,14,(9+4),(9+4)+1=
//,*,1,1,9,1,9,(1//1),(1//1)*9=
-,*,4,2,1,2,2,(4-2),(4-2)*1=
*,//,6,7,3,42,14,(6*7),(6*7)//3=
-,+,1,8,5,-7,-2,(1-8),(1-8)+5=
+,*,6,6,2,12,24,(6+6),(6+6)*2=
-,-,5,4,8,1,-7,(5-4),(5-4)-8=
+,//,2,6,4,8,2,(2+6),(2+6)//4=
*,+,2,8,8,16,24,(2*8),(2*8)+8=
//,-,7,1,2,7,5,(7//1),(7//1)-2=
+,//,3,2,8,5,0,(3+2),(3+2)//8=
-,+,6,7,5,-1,4,(6-7),(6-7)+5=
*,//,9,8,6,72,12,(9*8),(9*8)//6=
-,-,9,6,7,3,-4,(9-6),(9-6)-7=
//,+,8,2,7,4,11,(8//2),(8//2)+7=
//,*,8,6,2,1,2,(8//6),(8//6)*2=
*,//,3,9,1,27,27,(3*9),(3*9)//1=
*,*,5,7,3,35,105,(5*7),(5*7)*3=
-,*,5,1,5,4,20,(5-1),(5-1)*5=
+,-,8,6,5,14,9,(8+6),(8+6)-5=
//,+,2,8,8,0,8,(2//8),(2//8)+8=
-,-,3,6,9,-3,-12,(3-6),(3-6)-9=
*,-,7,9,6,63,57,(7*9),(7*9)-6=
//,*,4,3,7,1,7,(4//3),(4//3)*7=
//,*,9,4,2,2,4,(9//4),(9//4)*2=
*,-,6,8,6,48,42,(6*8),(6*8)-6=
+,//,2,3,8,5,0,(2+3),(2+3)//8=
*,*,3,4,8,12,96,(3*4),(3*4)*8=
*,+,5,2,7,10,17,(5*2),(5*2)+7=
-,+,7,9,7,-2,5,(7-9),(7-9)+7=
//,//,4,5,9,0,0,(4//5),(4//5)//9=
*,*,2,8,3,16,48,(2*8),(2*8)*3=
*,-,5,6,5,30,25,(5*6),(5*6)-5=
*,-,4,9,3,36,33,(4*9),(4*9)-3=
*,+,7,3,7,21,28,(7*3),(7*3)+7=
-,+,1,8,2,-7,-5,(1-8),(1-8)+2=
//,//,8,1,4,8,2,(8//1),(8//1)//4=
+,//,8,6,1,14,14,(8+6),(8+6)//1=
//,-,2,9,5,0,-5,(2//9),(2//9)-5=
//,*,7,3,1,2,2,(7//3),(7//3)*1=
-,//,5,5,6,0,0,(5-5),(5-5)//6=
-,//,1,2,5,-1,-1,(1-2),(1-2)//5=
+,//,4,8,3,12,4,(4+8),(4+8)//3=
//,+,5,5,5,1,6,(5//5),(5//5)+5=
+,-,9,8,3,17,14,(9+8),(9+8)-3=
//,//,4,6,1,0,0,(4//6),(4//6)//1=
*,-,1,1,3,1,-2,(1*1),(1*1)-3=
-,*,8,2,8,6,48,(8-2),(8-2)*8=
+,*,8,1,6,9,54,(8+1),(8+1)*6=
-,*,2,5,2,-3,-6,(2-5),(2-5)*2=
//,//,2,7,3,0,0,(2//7),(2//7)//3=
*,-,9,8,7,72,65,(9*8),(9*8)-7=
+,+,9,4,7,13,20,(9+4),(9+4)+7=
*,-,2,7,3,14,11,(2*7),(2*7)-3=
//,*,2,9,3,0,0,(2//9),(2//9)*3=
+,+,7,5,1,12,13,(7+5),(7+5)+1=
+,-,6,6,8,12,4,(6+6),(6+6)-8=
-,//,9,2,1,7,7,(9-2),(9-2)//1=
+,//,5,9,4,14,3,(5+9),(5+9)//4=
+,*,9,1,3,10,30,(9+1),(9+1)*3=
//,*,8,4,1,2,2,(8//4),(8//4)*1=
//,*,9,7,6,1,6,(9//7),(9//7)*6=
+,+,8,7,6,15,21,(8+7),(8+7)+6=
*,*,7,1,1,7,7,(7*1),(7*1)*1=
-,//,9,8,9,1,0,(9-8),(9-8)//9=
+,//,5,1,6,6,1,(5+1),(5+1)//6=
-,//,9,9,2,0,0,(9-9),(9-9)//2=
*,*,2,7,3,14,42,(2*7),(2*7)*3=
*,*,8,1,5,8,40,(8*1),(8*1)*5=
*,-,7,8,7,56,49,(7*8),(7*8)-7=
+,*,2,1,8,3,24,(2+1),(2+1)*8=
-,*,4,6,5,-2,-10,(4-6),(4-6)*5=
+,+,3,4,9,7,16,(3+4),(3+4)+9=
-,*,6,4,7,2,14,(6-4),(6-4)*7=
+,//,9,1,5,10,2,(9+1),(9+1)//5=
-,*,1,6,5,-5,-25,(1-6),(1-6)*5=
*,//,9,2,6,18,3,(9*2),(9*2)//6=
-,//,4,4,3,0,0,(4-4),(4-4)//3=
//,*,1,3,4,0,0,(1//3),(1//3)*4=
*,-,6,1,7,6,-1,(6*1),(6*1)-7=
-,-,9,4,4,5,1,(9-4),(9-4)-4=
//,-,6,4,1,1,0,(6//4),(6//4)-1=
*,*,6,3,1,18,18,(6*3),(6*3)*1=
-,+,6,2,3,4,7,(6-2),(6-2)+3=
