variable,op1,op2,n1,n2,n3,intermediate,answer,eq1,eq2,eqfull
e,*,-,8,8,5,64,59,e=8*8,e-5=,e=8*8. e-5=
b,*,*,5,2,8,10,80,b=5*2,b*8=,b=5*2. b*8=
r,*,*,8,2,4,16,64,r=8*2,r*4=,r=8*2. r*4=
z,+,-,8,9,1,17,16,z=8+9,z-1=,z=8+9. z-1=
y,-,+,3,1,4,2,6,y=3-1,y+4=,y=3-1. y+4=
s,*,+,1,4,5,4,9,s=1*4,s+5=,s=1*4. s+5=
z,//,*,6,2,1,3,3,z=6//2,z*1=,z=6//2. z*1=
q,//,*,4,5,1,0,0,q=4//5,q*1=,q=4//5. q*1=
w,+,+,8,6,6,14,20,w=8+6,w+6=,w=8+6. w+6=
p,//,*,4,6,2,0,0,p=4//6,p*2=,p=4//6. p*2=
f,+,+,3,7,4,10,14,f=3+7,f+4=,f=3+7. f+4=
p,*,//,9,8,1,72,72,p=9*8,p//1=,p=9*8. p//1=
a,+,*,8,9,9,17,153,a=8+9,a*9=,a=8+9. a*9=
x,-,-,1,9,8,-8,-16,x=1-9,x-8=,x=1-9. x-8=
h,-,-,6,2,8,4,-4,h=6-2,h-8=,h=6-2. h-8=
m,//,*,4,7,3,0,0,m=4//7,m*3=,m=4//7. m*3=
g,//,-,5,2,5,2,-3,g=5//2,g-5=,g=5//2. g-5=
n,*,-,7,7,7,49,42,n=7*7,n-7=,n=7*7. n-7=
i,+,-,9,9,7,18,11,i=9+9,i-7=,i=9+9. i-7=
u,//,+,4,5,6,0,6,u=4//5,u+6=,u=4//5. u+6=
w,//,*,2,3,7,0,0,w=2//3,w*7=,w=2//3. w*7=
g,+,//,5,7,1,12,12,g=5+7,g//1=,g=5+7. g//1=
r,+,+,6,9,1,15,16,r=6+9,r+1=,r=6+9. r+1=
g,+,-,7,5,7,12,5,g=7+5,g-7=,g=7+5. g-7=
h,//,+,2,7,6,0,6,h=2//7,h+6=,h=2//7. h+6=
o,//,+,3,4,9,0,9,o=3//4,o+9=,o=3//4. o+9=
a,*,+,4,4,4,16,20,a=4*4,a+4=,a=4*4. a+4=
b,//,*,6,4,5,1,5,b=6//4,b*5=,b=6//4. b*5=
q,//,//,6,9,5,0,0,q=6//9,q//5=,q=6//9. q//5=
i,//,*,5,2,2,2,4,i=5//2,i*2=,i=5//2. i*2=
f,*,//,4,4,1,16,16,f=4*4,f//1=,f=4*4. f//1=
l,+,-,8,6,9,14,5,l=8+6,l-9=,l=8+6. l-9=
h,//,+,2,1,4,2,6,h=2//1,h+4=,h=2//1. h+4=
x,//,//,4,4,2,1,0,x=4//4,x//2=,x=4//4. x//2=
n,-,-,2,8,1,-6,-7,n=2-8,n-1=,n=2-8. n-1=
s,//,*,5,8,5,0,0,s=5//8,s*5=,s=5//8. s*5=
z,*,+,7,8,4,56,60,z=7*8,z+4=,z=7*8. z+4=
c,-,+,2,6,6,-4,2,c=2-6,c+6=,c=2-6. c+6=
t,+,//,8,1,6,9,1,t=8+1,t//6=,t=8+1. t//6=
q,*,//,2,8,9,16,1,q=2*8,q//9=,q=2*8. q//9=
s,*,+,5,7,6,35,41,s=5*7,s+6=,s=5*7. s+6=
m,//,-,7,2,3,3,0,m=7//2,m-3=,m=7//2. m-3=
c,//,*,1,6,3,0,0,c=1//6,c*3=,c=1//6. c*3=
d,*,-,1,3,6,3,-3,d=1*3,d-6=,d=1*3. d-6=
r,*,+,4,6,1,24,25,r=4*6,r+1=,r=4*6. r+1=
p,*,//,6,9,6,54,9,p=6*9,p//6=,p=6*9. p//6=
q,//,+,9,1,8,9,17,q=9//1,q+8=,q=9//1. q+8=
u,//,*,6,4,5,1,5,u=6//4,u*5=,u=6//4. u*5=
x,-,-,8,6,6,2,-4,x=8-6,x-6=,x=8-6. x-6=
f,+,-,7,4,2,11,9,f=7+4,f-2=,f=7+4. f-2=
w,-,*,1,1,1,0,0,w=1-1,w*1=,w=1-1. w*1=
v,+,*,5,1,7,6,42,v=5+1,v*7=,v=5+1. v*7=
e,+,*,2,4,6,6,36,e=2+4,e*6=,e=2+4. e*6=
v,//,//,6,5,2,1,0,v=6//5,v//2=,v=6//5. v//2=
j,-,*,8,4,2,4,8,j=8-4,j*2=,j=8-4. j*2=
l,//,-,2,3,8,0,-8,l=2//3,l-8=,l=2//3. l-8=
f,*,+,2,4,5,8,13,f=2*4,f+5=,f=2*4. f+5=
b,+,*,9,2,9,11,99,b=9+2,b*9=,b=9+2. b*9=
j,//,-,6,2,4,3,-1,j=6//2,j-4=,j=6//2. j-4=
x,+,*,2,7,7,9,63,x=2+7,x*7=,x=2+7. x*7=
n,+,*,4,9,5,13,65,n=4+9,n*5=,n=4+9. n*5=
h,*,//,2,2,1,4,4,h=2*2,h//1=,h=2*2. h//1=
l,//,-,9,6,3,1,-2,l=9//6,l-3=,l=9//6. l-3=
q,-,//,1,1,6,0,0,q=1-1,q//6=,q=1-1. q//6=
n,+,-,5,8,9,13,4,n=5+8,n-9=,n=5+8. n-9=
q,-,*,7,4,3,3,9,q=7-4,q*3=,q=7-4. q*3=
n,*,-,2,6,1,12,11,n=2*6,n-1=,n=2*6. n-1=
n,-,-,3,3,7,0,-7,n=3-3,n-7=,n=3-3. n-7=
v,*,-,4,3,3,12,9,v=4*3,v-3=,v=4*3. v-3=
h,*,+,7,3,4,21,25,h=7*3,h+4=,h=7*3. h+4=
e,//,+,4,7,9,0,9,e=4//7,e+9=,e=4//7. e+9=
h,-,//,4,9,4,-5,-2,h=4-9,h//4=,h=4-9. h//4=
l,//,//,3,3,7,1,0,l=3//3,l//7=,l=3//3. l//7=
d,-,*,6,6,2,0,0,d=6-6,d*2=,d=6-6. d*2=
k,//,-,7,1,4,7,3,k=7//1,k-4=,k=7//1. k-4=
r,-,*,3,7,6,-4,-24,r=3-7,r*6=,r=3-7. r*6=
n,+,*,1,5,2,6,12,n=1+5,n*2=,n=1+5. n*2=
i,+,+,6,7,2,13,15,i=6+7,i+2=,i=6+7. i+2=
c,+,+,6,9,7,15,22,c=6+9,c+7=,c=6+9. c+7=
s,//,-,3,4,2,0,-2,s=3//4,s-2=,s=3//4. s-2=
g,+,-,4,7,5,11,6,g=4+7,g-5=,g=4+7. g-5=
s,//,-,8,9,6,0,-6,s=8//9,s-6=,s=8//9. s-6=
c,*,+,1,4,6,4,10,c=1*4,c+6=,c=1*4. c+6=
i,+,-,4,9,1,13,12,i=4+9,i-1=,i=4+9. i-1=
w,//,+,8,6,5,1,6,w=8//6,w+5=,w=8//6. w+5=
a,*,+,7,3,2,21,23,a=7*3,a+2=,a=7*3. a+2=
a,+,*,9,5,2,14,28,a=9+5,a*2=,a=9+5. a*2=
o,*,*,1,2,7,2,14,o=1*2,o*7=,o=1*2. o*7=
q,//,+,7,2,8,3,11,q=7//2,q+8=,q=7//2. q+8=
e,+,//,1,2,8,3,0,e=1+2,e//8=,e=1+2. e//8=
e,*,//,7,4,4,28,7,e=7*4,e//4=,e=7*4. e//4=
t,*,//,4,7,6,28,4,t=4*7,t//6=,t=4*7. t//6=
i,//,*,3,9,4,0,0,i=3//9,i*4=,i=3//9. i*4=
h,//,//,1,1,6,1,0,h=1//1,h//6=,h=1//1. h//6=
x,+,+,7,6,9,13,22,x=7+6,x+9=,x=7+6. x+9=
q,+,*,3,9,8,12,96,q=3+9,q*8=,q=3+9. q*8=
f,//,-,3,9,4,0,-4,f=3//9,f-4=,f=3//9. f-4=
d,//,-,3,9,1,0,-1,d=3//9,d-1=,d=3//9. d-1=
i,//,+,2,7,4,0,4,i=2//7,i+4=,i=2//7. i+4=
l,*,//,3,8,4,24,6,l=3*8,l//4=,l=3*8. l//4=
c,+,-,7,7,3,14,11,c=7+7,c-3=,c=7+7. c-3=
j,-,//,9,9,8,0,0,j=9-9,j//8=,j=9-9. j//8=
l,+,-,2,9,1,11,10,l=2+9,l-1=,l=2+9. l-1=
o,*,*,1,2,3,2,6,o=1*2,o*3=,o=1*2. o*3=
e,+,*,7,6,3,13,39,e=7+6,e*3=,e=7+6. e*3=
u,-,-,4,9,9,-5,-14,u=4-9,u-9=,u=4-9. u-9=
c,+,+,7,4,1,11,12,c=7+4,c+1=,c=7+4. c+1=
c,+,+,9,1,4,10,14,c=9+1,c+4=,c=9+1. c+4=
n,+,//,6,3,8,9,1,n=6+3,n//8=,n=6+3. n//8=
c,//,*,7,1,5,7,35,c=7//1,c*5=,c=7//1. c*5=
f,*,//,9,6,8,54,6,f=9*6,f//8=,f=9*6. f//8=
b,//,-,6,2,3,3,0,b=6//2,b-3=,b=6//2. b-3=
a,//,*,5,2,5,2,10,a=5//2,a*5=,a=5//2. a*5=
u,//,//,4,2,3,2,0,u=4//2,u//3=,u=4//2. u//3=
c,*,+,7,7,9,49,58,c=7*7,c+9=,c=7*7. c+9=
a,*,-,5,7,9,35,26,a=5*7,a-9=,a=5*7. a-9=
f,-,-,5,6,7,-1,-8,f=5-6,f-7=,f=5-6. f-7=
m,*,*,7,5,5,35,175,m=7*5,m*5=,m=7*5. m*5=
j,//,//,7,5,7,1,0,j=7//5,j//7=,j=7//5. j//7=
h,+,*,9,4,8,13,104,h=9+4,h*8=,h=9+4. h*8=
b,-,*,9,2,7,7,49,b=9-2,b*7=,b=9-2. b*7=
f,*,//,5,1,6,5,0,f=5*1,f//6=,f=5*1. f//6=
f,+,//,5,7,7,12,1,f=5+7,f//7=,f=5+7. f//7=
z,//,*,4,4,6,1,6,z=4//4,z*6=,z=4//4. z*6=
r,-,-,5,6,2,-1,-3,r=5-6,r-2=,r=5-6. r-2=
p,*,//,1,4,6,4,0,p=1*4,p//6=,p=1*4. p//6=
x,*,+,7,8,1,56,57,x=7*8,x+1=,x=7*8. x+1=
x,+,//,6,1,8,7,0,x=6+1,x//8=,x=6+1. x//8=
e,//,+,1,2,6,0,6,e=1//2,e+6=,e=1//2. e+6=
r,//,*,1,8,8,0,0,r=1//8,r*8=,r=1//8. r*8=
a,//,+,7,3,4,2,6,a=7//3,a+4=,a=7//3. a+4=
q,//,//,9,4,4,2,0,q=9//4,q//4=,q=9//4. q//4=
j,*,*,1,4,4,4,16,j=1*4,j*4=,j=1*4. j*4=
i,+,//,1,3,8,4,0,i=1+3,i//8=,i=1+3. i//8=
x,//,//,9,6,4,1,0,x=9//6,x//4=,x=9//6. x//4=
m,-,+,9,1,4,8,12,m=9-1,m+4=,m=9-1. m+4=
x,//,-,9,4,3,2,-1,x=9//4,x-3=,x=9//4. x-3=
k,//,//,1,2,9,0,0,k=1//2,k//9=,k=1//2. k//9=
i,+,*,6,1,2,7,14,i=6+1,i*2=,i=6+1. i*2=
f,*,+,3,4,6,12,18,f=3*4,f+6=,f=3*4. f+6=
f,+,-,2,3,5,5,0,f=2+3,f-5=,f=2+3. f-5=
q,*,-,2,8,8,16,8,q=2*8,q-8=,q=2*8. q-8=
i,//,+,1,8,9,0,9,i=1//8,i+9=,i=1//8. i+9=
x,+,*,9,7,1,16,16,x=9+7,x*1=,x=9+7. x*1=
k,*,-,7,5,8,35,27,k=7*5,k-8=,k=7*5. k-8=
c,+,*,9,3,1,12,12,c=9+3,c*1=,c=9+3. c*1=
s,*,+,1,9,8,9,17,s=1*9,s+8=,s=1*9. s+8=
s,*,//,2,5,9,10,1,s=2*5,s//9=,s=2*5. s//9=
e,+,*,3,3,3,6,18,e=3+3,e*3=,e=3+3. e*3=
b,*,*,6,5,9,30,270,b=6*5,b*9=,b=6*5. b*9=
r,+,-,3,7,5,10,5,r=3+7,r-5=,r=3+7. r-5=
e,//,+,4,9,7,0,7,e=4//9,e+7=,e=4//9. e+7=
e,//,*,4,1,4,4,16,e=4//1,e*4=,e=4//1. e*4=
k,//,*,1,3,5,0,0,k=1//3,k*5=,k=1//3. k*5=
d,-,-,4,4,2,0,-2,d=4-4,d-2=,d=4-4. d-2=
m,*,+,5,9,4,45,49,m=5*9,m+4=,m=5*9. m+4=
x,*,-,7,4,6,28,22,x=7*4,x-6=,x=7*4. x-6=
x,*,*,8,5,6,40,240,x=8*5,x*6=,x=8*5. x*6=
y,//,-,5,4,9,1,-8,y=5//4,y-9=,y=5//4. y-9=
a,+,//,7,4,2,11,5,a=7+4,a//2=,a=7+4. a//2=
c,+,-,1,5,7,6,-1,c=1+5,c-7=,c=1+5. c-7=
a,-,//,6,8,5,-2,-1,a=6-8,a//5=,a=6-8. a//5=
q,-,//,4,9,6,-5,-1,q=4-9,q//6=,q=4-9. q//6=
y,+,*,4,6,9,10,90,y=4+6,y*9=,y=4+6. y*9=
r,-,//,4,6,6,-2,-1,r=4-6,r//6=,r=4-6. r//6=
o,//,+,2,2,7,1,8,o=2//2,o+7=,o=2//2. o+7=
x,*,*,1,3,7,3,21,x=1*3,x*7=,x=1*3. x*7=
w,//,*,7,3,6,2,12,w=7//3,w*6=,w=7//3. w*6=
k,//,//,9,8,1,1,1,k=9//8,k//1=,k=9//8. k//1=
m,*,//,7,7,5,49,9,m=7*7,m//5=,m=7*7. m//5=
k,*,+,3,2,7,6,13,k=3*2,k+7=,k=3*2. k+7=
d,-,+,8,1,1,7,8,d=8-1,d+1=,d=8-1. d+1=
b,//,+,3,6,7,0,7,b=3//6,b+7=,b=3//6. b+7=
w,//,*,6,3,3,2,6,w=6//3,w*3=,w=6//3. w*3=
y,+,*,1,6,3,7,21,y=1+6,y*3=,y=1+6. y*3=
j,*,*,4,1,5,4,20,j=4*1,j*5=,j=4*1. j*5=
i,//,*,7,3,5,2,10,i=7//3,i*5=,i=7//3. i*5=
f,//,*,4,9,9,0,0,f=4//9,f*9=,f=4//9. f*9=
n,*,//,2,9,1,18,18,n=2*9,n//1=,n=2*9. n//1=
q,*,+,7,9,9,63,72,q=7*9,q+9=,q=7*9. q+9=
l,//,//,8,9,9,0,0,l=8//9,l//9=,l=8//9. l//9=
a,+,+,5,3,9,8,17,a=5+3,a+9=,a=5+3. a+9=
t,+,//,1,6,6,7,1,t=1+6,t//6=,t=1+6. t//6=
m,//,+,2,9,3,0,3,m=2//9,m+3=,m=2//9. m+3=
f,*,+,9,3,2,27,29,f=9*3,f+2=,f=9*3. f+2=
v,+,*,4,7,6,11,66,v=4+7,v*6=,v=4+7. v*6=
m,-,*,5,9,9,-4,-36,m=5-9,m*9=,m=5-9. m*9=
f,//,+,2,6,3,0,3,f=2//6,f+3=,f=2//6. f+3=
m,//,//,5,7,9,0,0,m=5//7,m//9=,m=5//7. m//9=
x,*,*,4,2,9,8,72,x=4*2,x*9=,x=4*2. x*9=
r,+,*,6,9,1,15,15,r=6+9,r*1=,r=6+9. r*1=
v,*,//,5,5,6,25,4,v=5*5,v//6=,v=5*5. v//6=
x,//,-,2,3,9,0,-9,x=2//3,x-9=,x=2//3. x-9=
x,*,//,6,9,1,54,54,x=6*9,x//1=,x=6*9. x//1=
o,+,*,4,3,1,7,7,o=4+3,o*1=,o=4+3. o*1=
f,+,*,8,6,9,14,126,f=8+6,f*9=,f=8+6. f*9=
p,//,-,2,4,5,0,-5,p=2//4,p-5=,p=2//4. p-5=
z,//,+,4,2,3,2,5,z=4//2,z+3=,z=4//2. z+3=
k,-,+,1,5,2,-4,-2,k=1-5,k+2=,k=1-5. k+2=
f,+,+,5,7,8,12,20,f=5+7,f+8=,f=5+7. f+8=
f,-,//,1,3,9,-2,-1,f=1-3,f//9=,f=1-3. f//9=
s,*,//,4,9,6,36,6,s=4*9,s//6=,s=4*9. s//6=
n,+,-,3,4,4,7,3,n=3+4,n-4=,n=3+4. n-4=
f,//,*,1,4,4,0,0,f=1//4,f*4=,f=1//4. f*4=
a,-,-,4,8,9,-4,-13,a=4-8,a-9=,a=4-8. a-9=
k,*,//,9,3,5,27,5,k=9*3,k//5=,k=9*3. k//5=
u,//,-,6,2,7,3,-4,u=6//2,u-7=,u=6//2. u-7=
e,+,//,9,4,8,13,1,e=9+4,e//8=,e=9+4. e//8=
i,//,*,7,9,5,0,0,i=7//9,i*5=,i=7//9. i*5=
a,+,*,8,7,7,15,105,a=8+7,a*7=,a=8+7. a*7=
e,//,*,3,5,7,0,0,e=3//5,e*7=,e=3//5. e*7=
t,//,+,1,9,1,0,1,t=1//9,t+1=,t=1//9. t+1=
x,//,-,3,1,3,3,0,x=3//1,x-3=,x=3//1. x-3=
e,+,+,7,6,9,13,22,e=7+6,e+9=,e=7+6. e+9=
w,//,//,2,2,1,1,1,w=2//2,w//1=,w=2//2. w//1=
s,*,-,5,5,6,25,19,s=5*5,s-6=,s=5*5. s-6=
r,//,//,9,9,2,1,0,r=9//9,r//2=,r=9//9. r//2=
e,*,*,5,9,3,45,135,e=5*9,e*3=,e=5*9. e*3=
p,-,-,1,2,4,-1,-5,p=1-2,p-4=,p=1-2. p-4=
o,+,//,1,5,1,6,6,o=1+5,o//1=,o=1+5. o//1=
g,-,//,4,4,3,0,0,g=4-4,g//3=,g=4-4. g//3=
x,+,*,5,8,5,13,65,x=5+8,x*5=,x=5+8. x*5=
o,+,*,1,4,3,5,15,o=1+4,o*3=,o=1+4. o*3=
b,+,-,8,4,8,12,4,b=8+4,b-8=,b=8+4. b-8=
i,+,+,2,7,2,9,11,i=2+7,i+2=,i=2+7. i+2=
v,*,*,4,7,1,28,28,v=4*7,v*1=,v=4*7. v*1=
o,*,*,1,8,3,8,24,o=1*8,o*3=,o=1*8. o*3=
s,*,-,5,7,7,35,28,s=5*7,s-7=,s=5*7. s-7=
m,*,*,1,8,1,8,8,m=1*8,m*1=,m=1*8. m*1=
c,+,-,4,1,9,5,-4,c=4+1,c-9=,c=4+1. c-9=
d,*,*,5,6,6,30,180,d=5*6,d*6=,d=5*6. d*6=
c,//,+,5,2,4,2,6,c=5//2,c+4=,c=5//2. c+4=
a,-,//,1,6,9,-5,-1,a=1-6,a//9=,a=1-6. a//9=
s,//,//,4,1,4,4,1,s=4//1,s//4=,s=4//1. s//4=
x,//,*,5,6,1,0,0,x=5//6,x*1=,x=5//6. x*1=
b,-,//,5,9,6,-4,-1,b=5-9,b//6=,b=5-9. b//6=
i,*,//,3,4,1,12,12,i=3*4,i//1=,i=3*4. i//1=
r,-,*,4,7,2,-3,-6,r=4-7,r*2=,r=4-7. r*2=
q,//,//,3,2,7,1,0,q=3//2,q//7=,q=3//2. q//7=
p,//,//,8,8,7,1,0,p=8//8,p//7=,p=8//8. p//7=
f,-,//,9,7,7,2,0,f=9-7,f//7=,f=9-7. f//7=
u,//,//,4,1,6,4,0,u=4//1,u//6=,u=4//1. u//6=
t,-,+,6,7,7,-1,6,t=6-7,t+7=,t=6-7. t+7=
w,+,*,4,3,5,7,35,w=4+3,w*5=,w=4+3. w*5=
g,//,-,1,9,6,0,-6,g=1//9,g-6=,g=1//9. g-6=
d,*,-,9,9,8,81,73,d=9*9,d-8=,d=9*9. d-8=
w,-,-,6,8,3,-2,-5,w=6-8,w-3=,w=6-8. w-3=
l,+,//,2,6,5,8,1,l=2+6,l//5=,l=2+6. l//5=
a,-,-,4,2,2,2,0,a=4-2,a-2=,a=4-2. a-2=
p,*,+,2,3,4,6,10,p=2*3,p+4=,p=2*3. p+4=
a,*,-,1,6,4,6,2,a=1*6,a-4=,a=1*6. a-4=
n,-,//,3,1,4,2,0,n=3-1,n//4=,n=3-1. n//4=
x,-,*,1,2,6,-1,-6,x=1-2,x*6=,x=1-2. x*6=
z,*,+,6,2,4,12,16,z=6*2,z+4=,z=6*2. z+4=
y,//,-,5,8,5,0,-5,y=5//8,y-5=,y=5//8. y-5=
r,*,+,4,8,8,32,40,r=4*8,r+8=,r=4*8. r+8=
c,//,//,8,6,3,1,0,c=8//6,c//3=,c=8//6. c//3=
i,+,//,6,8,3,14,4,i=6+8,i//3=,i=6+8. i//3=
z,//,+,3,8,7,0,7,z=3//8,z+7=,z=3//8. z+7=
i,*,+,1,2,2,2,4,i=1*2,i+2=,i=1*2. i+2=
b,*,*,8,8,9,64,576,b=8*8,b*9=,b=8*8. b*9=
m,*,-,9,5,5,45,40,m=9*5,m-5=,m=9*5. m-5=
e,-,-,4,2,1,2,1,e=4-2,e-1=,e=4-2. e-1=
i,-,//,5,3,8,2,0,i=5-3,i//8=,i=5-3. i//8=
j,-,//,3,2,4,1,0,j=3-2,j//4=,j=3-2. j//4=
e,*,//,2,5,3,10,3,e=2*5,e//3=,e=2*5. e//3=
g,*,-,9,5,3,45,42,g=9*5,g-3=,g=9*5. g-3=
n,*,+,3,3,7,9,16,n=3*3,n+7=,n=3*3. n+7=
o,+,-,4,7,9,11,2,o=4+7,o-9=,o=4+7. o-9=
t,-,*,7,6,5,1,5,t=7-6,t*5=,t=7-6. t*5=
q,//,-,2,3,1,0,-1,q=2//3,q-1=,q=2//3. q-1=
u,//,-,3,9,5,0,-5,u=3//9,u-5=,u=3//9. u-5=
j,-,-,6,5,5,1,-4,j=6-5,j-5=,j=6-5. j-5=
g,*,//,4,3,2,12,6,g=4*3,g//2=,g=4*3. g//2=
a,+,-,9,8,2,17,15,a=9+8,a-2=,a=9+8. a-2=
c,*,//,1,4,9,4,0,c=1*4,c//9=,c=1*4. c//9=
h,-,//,4,9,7,-5,-1,h=4-9,h//7=,h=4-9. h//7=
l,*,//,7,3,2,21,10,l=7*3,l//2=,l=7*3. l//2=
z,+,*,1,1,4,2,8,z=1+1,z*4=,z=1+1. z*4=
i,+,*,8,6,7,14,98,i=8+6,i*7=,i=8+6. i*7=
t,//,-,2,3,2,0,-2,t=2//3,t-2=,t=2//3. t-2=
h,+,+,9,1,3,10,13,h=9+1,h+3=,h=9+1. h+3=
l,*,+,8,8,5,64,69,l=8*8,l+5=,l=8*8. l+5=
l,-,*,2,3,3,-1,-3,l=2-3,l*3=,l=2-3. l*3=
d,*,+,4,2,7,8,15,d=4*2,d+7=,d=4*2. d+7=
x,-,-,5,9,5,-4,-9,x=5-9,x-5=,x=5-9. x-5=
a,//,//,6,7,1,0,0,a=6//7,a//1=,a=6//7. a//1=
e,-,//,2,2,8,0,0,e=2-2,e//8=,e=2-2. e//8=
x,*,*,2,2,2,4,8,x=2*2,x*2=,x=2*2. x*2=
k,-,//,6,5,9,1,0,k=6-5,k//9=,k=6-5. k//9=
j,+,+,2,5,2,7,9,j=2+5,j+2=,j=2+5. j+2=
p,//,+,5,6,2,0,2,p=5//6,p+2=,p=5//6. p+2=
y,+,*,9,2,3,11,33,y=9+2,y*3=,y=9+2. y*3=
b,-,+,9,5,5,4,9,b=9-5,b+5=,b=9-5. b+5=
a,*,*,2,1,1,2,2,a=2*1,a*1=,a=2*1. a*1=
e,*,-,3,4,3,12,9,e=3*4,e-3=,e=3*4. e-3=
m,+,//,9,1,4,10,2,m=9+1,m//4=,m=9+1. m//4=
c,*,//,3,5,1,15,15,c=3*5,c//1=,c=3*5. c//1=
r,*,-,4,4,5,16,11,r=4*4,r-5=,r=4*4. r-5=
e,//,-,3,2,5,1,-4,e=3//2,e-5=,e=3//2. e-5=
a,//,-,8,6,1,1,0,a=8//6,a-1=,a=8//6. a-1=
f,//,-,3,6,7,0,-7,f=3//6,f-7=,f=3//6. f-7=
n,-,-,5,3,3,2,-1,n=5-3,n-3=,n=5-3. n-3=
a,-,//,3,1,9,2,0,a=3-1,a//9=,a=3-1. a//9=
m,-,//,1,9,6,-8,-2,m=1-9,m//6=,m=1-9. m//6=
g,//,*,4,8,4,0,0,g=4//8,g*4=,g=4//8. g*4=
s,//,*,7,9,6,0,0,s=7//9,s*6=,s=7//9. s*6=
d,+,*,5,4,6,9,54,d=5+4,d*6=,d=5+4. d*6=
h,+,//,9,4,5,13,2,h=9+4,h//5=,h=9+4. h//5=
a,*,-,7,2,1,14,13,a=7*2,a-1=,a=7*2. a-1=
f,-,+,1,2,1,-1,0,f=1-2,f+1=,f=1-2. f+1=
q,//,-,6,1,8,6,-2,q=6//1,q-8=,q=6//1. q-8=
s,*,-,6,2,5,12,7,s=6*2,s-5=,s=6*2. s-5=
x,+,-,8,7,7,15,8,x=8+7,x-7=,x=8+7. x-7=
i,-,//,7,1,3,6,2,i=7-1,i//3=,i=7-1. i//3=
r,*,+,4,9,6,36,42,r=4*9,r+6=,r=4*9. r+6=
m,-,-,5,1,4,4,0,m=5-1,m-4=,m=5-1. m-4=
w,//,-,9,4,5,2,-3,w=9//4,w-5=,w=9//4. w-5=
t,*,+,7,6,6,42,48,t=7*6,t+6=,t=7*6. t+6=
a,//,-,9,3,7,3,-4,a=9//3,a-7=,a=9//3. a-7=
z,//,//,4,7,3,0,0,z=4//7,z//3=,z=4//7. z//3=
j,*,-,6,7,6,42,36,j=6*7,j-6=,j=6*7. j-6=
r,+,-,8,9,8,17,9,r=8+9,r-8=,r=8+9. r-8=
t,*,-,8,1,7,8,1,t=8*1,t-7=,t=8*1. t-7=
j,//,*,9,4,1,2,2,j=9//4,j*1=,j=9//4. j*1=
b,//,-,1,4,6,0,-6,b=1//4,b-6=,b=1//4. b-6=
j,//,//,4,1,5,4,0,j=4//1,j//5=,j=4//1. j//5=
z,//,//,3,7,2,0,0,z=3//7,z//2=,z=3//7. z//2=
z,+,//,8,1,5,9,1,z=8+1,z//5=,z=8+1. z//5=
h,-,//,3,8,5,-5,-1,h=3-8,h//5=,h=3-8. h//5=
k,+,-,9,5,1,14,13,k=9+5,k-1=,k=9+5. k-1=
r,-,-,5,2,3,3,0,r=5-2,r-3=,r=5-2. r-3=
q,+,+,7,9,2,16,18,q=7+9,q+2=,q=7+9. q+2=
u,+,//,7,3,8,10,1,u=7+3,u//8=,u=7+3. u//8=
z,-,//,1,7,6,-6,-1,z=1-7,z//6=,z=1-7. z//6=
m,-,//,4,7,1,-3,-3,m=4-7,m//1=,m=4-7. m//1=
s,*,+,8,2,7,16,23,s=8*2,s+7=,s=8*2. s+7=
l,-,*,4,7,5,-3,-15,l=4-7,l*5=,l=4-7. l*5=
s,*,+,6,5,4,30,34,s=6*5,s+4=,s=6*5. s+4=
c,*,-,4,6,6,24,18,c=4*6,c-6=,c=4*6. c-6=
c,//,//,5,8,9,0,0,c=5//8,c//9=,c=5//8. c//9=
y,//,*,2,2,1,1,1,y=2//2,y*1=,y=2//2. y*1=
d,-,*,6,2,4,4,16,d=6-2,d*4=,d=6-2. d*4=
d,*,*,1,5,5,5,25,d=1*5,d*5=,d=1*5. d*5=
r,-,-,2,6,8,-4,-12,r=2-6,r-8=,r=2-6. r-8=
z,+,*,4,3,3,7,21,z=4+3,z*3=,z=4+3. z*3=
m,//,-,7,6,4,1,-3,m=7//6,m-4=,m=7//6. m-4=
t,//,+,7,7,6,1,7,t=7//7,t+6=,t=7//7. t+6=
n,*,//,3,8,1,24,24,n=3*8,n//1=,n=3*8. n//1=
i,-,+,6,3,9,3,12,i=6-3,i+9=,i=6-3. i+9=
v,-,+,5,7,9,-2,7,v=5-7,v+9=,v=5-7. v+9=
y,//,-,3,3,5,1,-4,y=3//3,y-5=,y=3//3. y-5=
p,*,+,1,9,4,9,13,p=1*9,p+4=,p=1*9. p+4=
x,*,+,1,5,7,5,12,x=1*5,x+7=,x=1*5. x+7=
a,//,*,1,8,4,0,0,a=1//8,a*4=,a=1//8. a*4=
b,//,+,3,6,1,0,1,b=3//6,b+1=,b=3//6. b+1=
o,//,+,2,5,1,0,1,o=2//5,o+1=,o=2//5. o+1=
y,-,+,1,7,7,-6,1,y=1-7,y+7=,y=1-7. y+7=
v,//,-,6,7,8,0,-8,v=6//7,v-8=,v=6//7. v-8=
b,+,-,1,7,8,8,0,b=1+7,b-8=,b=1+7. b-8=
u,//,//,2,8,7,0,0,u=2//8,u//7=,u=2//8. u//7=
z,+,*,8,8,4,16,64,z=8+8,z*4=,z=8+8. z*4=
m,+,-,2,9,2,11,9,m=2+9,m-2=,m=2+9. m-2=
o,+,*,7,7,2,14,28,o=7+7,o*2=,o=7+7. o*2=
