,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
118,"Autumn's breath whispers through the trees,",trees,breeze,trees,True,"Leaves dance in golden, fleeting breeze.","Leaves dance in golden, fleeting breeze.","Leaves dance in golden, fleeting",4,True,160-day,160,grey,32,"[' breeze', ' ease', ' dreams', ' cheer', ' flight']","[0.361328125, 0.28125, 0.103515625, 0.055419921875, 0.0296630859375]","[' day', ' days', 'day', '-day', ' ngày']","[1.0, 2.753734588623047e-05, 2.753734588623047e-05, 6.973743438720703e-06, 3.46451997756958e-07]"
122,"Thunder roars, but chains remain unbroken—",unbroken,broken,unbroken,True,Hope still burns in the heart of the broken.,Hope still burns in the heart of the broken.,Hope still burns in the heart of the,5,True,186-night,186,light,7,"[' broken', ' storm', ' forgotten', ' dawn', ' strong']","[0.32421875, 0.28515625, 0.1533203125, 0.0439453125, 0.0341796875]","[' night', ' storm', ' n', ' dark', ' nation']","[0.99609375, 0.00150299072265625, 0.0002956390380859375, 0.0001087188720703125, 3.123283386230469e-05]"
126,"Whispers of dread in the silence they creep,",creep,leap,sweep,True,A shadowed path where no light can leap.,A shadowed path where no light can leap.,A shadowed path where no light can,7,True,22-sky,22,sigh,24,"[' leap', ' keep', ' gle', ' be', ' reach']","[0.66015625, 0.1474609375, 0.0615234375, 0.042236328125, 0.032958984375]","[' meet', ' sky', ' skies', ' reach', ' keep']","[0.384765625, 0.30078125, 0.05908203125, 0.035888671875, 0.03173828125]"
127,"In twilight's hush, where shadows dare to speak,",speak,seek,speak,True,Whispers of forgotten dreams take flight and seek.,Whispers of forgotten dreams take flight and seek.,Whispers of forgotten dreams take flight and,8,True,41-day,41,grey,24,"[' seek', ' speak', ' break', ' leap', ' tweak']","[0.6875, 0.08203125, 0.08203125, 0.06396484375, 0.01611328125]","[' day', ' da', ' break', ' wake', ' dare']","[0.9765625, 0.0179443359375, 0.00311279296875, 0.000614166259765625, 0.000225067138671875]"
128,"In starlit whispers, my hopes take flight,",flight,night,light,True,Through dreams that shimmer in the night.,Through dreams that shimmer in the night.,Through dreams that shimmer in the,35,True,16-flame,16,name,5,"[' night', ' silent', ' midnight', ' velvet', ' pale']","[1.0, 0.000804901123046875, 0.00022983551025390625, 0.00020313262939453125, 0.0001583099365234375]","[' moon', ' night', ' midnight', ' pale', ' light']","[0.5078125, 0.240234375, 0.1650390625, 0.0135498046875, 0.01055908203125]"
129,"The road unfolds like whispered dreams in dawn's embrace,",embrace,grace,embrace,True,A silent promise etched in morning's grace.,A silent promise etched in morning's grace.,A silent promise etched in morning's,2,True,27-mine,27,entwine,11,"[' grace', ' trace', ' light', ' haze', ' gentle']","[0.84765625, 0.1474609375, 0.0034637451171875, 0.000873565673828125, 0.00060272216796875]","[' grace', ' trace', ' mine', ' own', ' h']","[0.71875, 0.125, 0.046142578125, 0.04052734375, 0.024658203125]"
130,"The earth whispers tales through rustling green,",green,lean,unseen,True,The wind carries them where the wild things lean.,The wind carries them where the wild things lean.,The wind carries them where the wild things,18,True,181-sing,181,sing,5,"[' lean', ' dream', ' mean', ' gle', ' sleep']","[0.5703125, 0.34765625, 0.0322265625, 0.0152587890625, 0.0081787109375]","[' mean', ' dream', ' lean', ' been', ' een']","[0.35546875, 0.35546875, 0.2158203125, 0.0177001953125, 0.00738525390625]"
131,"In shadows cast by city lights, a thousand souls feel night,",night,fight,light,True,"But in their hearts, a silent fight.","But in their hearts, a silent fight.","But in their hearts, a silent",5,True,79-form,79,storm,7,"[' flame', ' fight', ' fire', ' spark', ' light']","[0.359375, 0.279296875, 0.2177734375, 0.1318359375, 0.006561279296875]","[' light', ' spark', ' fire', ' flame', ' glow']","[0.70703125, 0.1787109375, 0.06591796875, 0.045166015625, 0.000568389892578125]"
132,"Beneath the brush of dawn’s soft light,",light,white,light,True,The world awakens in a hush of white.,The world awakens in a hush of white.,The world awakens in a hush of,9,True,43-old,43,told,12,"[' white', ' gold', ' night', ' gray', ' flight']","[0.99609375, 0.0035858154296875, 8.440017700195312e-05, 7.43865966796875e-05, 7.43865966796875e-05]","[' old', ' gold', ' morning', ' quiet', ' mist']","[0.6484375, 0.3046875, 0.01953125, 0.01043701171875, 0.005584716796875]"
133,"The hush of time whispers tales of the old,",old,rolled,told,True,echoes lingering where the stars once rolled.,echoes lingering where the stars once rolled.,echoes lingering where the stars once,11,True,2-keeps,2,weeps,3,"[' rolled', ' bold', ' held', ' told', ' stood']","[0.640625, 0.267578125, 0.0247802734375, 0.0247802734375, 0.01324462890625]","[' bold', ' rolled', ' told', ' stood', ' held']","[0.21484375, 0.189453125, 0.189453125, 0.189453125, 0.08935546875]"
135,"Whispers of the past linger where old shadows dance,",dance,trance,dance,True,Echoes of forgotten names in silent trance.,Echoes of forgotten names in silent trance.,Echoes of forgotten names in silent,5,True,149-hue,149,new,3,"[' trance', ' chance', ' halls', ' romance', ' grace']","[0.99609375, 0.000553131103515625, 0.0004863739013671875, 0.0004863739013671875, 0.0004291534423828125]","[' trance', ' grace', ' halls', ' h', ' hym']","[0.8125, 0.0859375, 0.05908203125, 0.0245361328125, 0.009033203125]"
136,"Through storms of time, our roots hold fast,",fast,past,past,True,"We rise with strength, unshaken in the past.","Through storms of time, our roots hold fast,  
We rise with strength, unshaken in the past.","Through storms of time, our roots hold fast,  
We rise with strength, unshaken in the",9,True,179-wire,179,desire,1,"[' past', ' blast', ' last', ' vast', ' mast']","[0.9296875, 0.031982421875, 0.019287109375, 0.0133056640625, 0.0012359619140625]","[' last', ' blast', ' vast', ' mast', ' steadfast']","[0.56640625, 0.34375, 0.052490234375, 0.0133056640625, 0.008056640625]"
139,"Whispers of crimson, symphonies in every thread,",thread,dead,thread,True,"A tapestry of passion, woven from the dead.","A tapestry of passion, woven from the dead.","A tapestry of passion, woven from the",11,True,171-trance,171,dance,6,"[' dead', ' heart', ' past', ' dread', ' blood']","[0.9609375, 0.032958984375, 0.00445556640625, 0.0003643035888671875, 0.0003643035888671875]","[' wind', ' man', ' dawn', ' past', ' rain']","[0.212890625, 0.1650390625, 0.10009765625, 0.10009765625, 0.04736328125]"
141,"Winds of freedom whisper where chains forgot to fall,",fall,wall,fall,True,"And echoes of hope rise from the silent, broken wall.","And echoes of hope rise from the silent, broken wall.","And echoes of hope rise from the silent, broken",9,True,24-on,24,dawn,77,"[' wall', ' walls', ' hall', ' halls', ' land']","[0.8515625, 0.08935546875, 0.054443359375, 0.0027008056640625, 0.0009918212890625]","[' on', 'ong', '.on', 'on', '-on']","[0.98828125, 0.00518798828125, 0.0019073486328125, 0.0019073486328125, 0.0010223388671875]"
142,"The scales of justice sway on trembling strings,",strings,wings,strings,True,Balancing truth in silent wings.,Balancing truth in silent wings.,Balancing truth in silent,4,True,168-withdrew,168,new,7,"[' wings', ' sings', ',', ' springs', ' rings']","[0.79296875, 0.15625, 0.0164794921875, 0.010009765625, 0.006866455078125]","[' sings', ' wings', ',', ' rings', ' cries']","[0.6328125, 0.052001953125, 0.052001953125, 0.052001953125, 0.0458984375]"
145,"Together we rise, bound by more than shared skies,",skies,ties,dies,True,"A bond forged in fire, through trials and ties.","A bond forged in fire, through trials and ties.","A bond forged in fire, through trials and",9,True,8-cast,8,past,11,"[' ties', ' sigh', ' wise', ' skies', ' cries']","[0.2890625, 0.2255859375, 0.13671875, 0.12060546875, 0.04443359375]","[' c', ' gaze', ' days', ' haze', ' casc']","[0.24609375, 0.080078125, 0.080078125, 0.062255859375, 0.062255859375]"
148,"In whispers of time, our deeds still sing—",sing,cling,sing,True,A tale etched in the hearts they cling.,A tale etched in the hearts they cling.,A tale etched in the hearts they,7,True,54-day,54,grey,37,"[' cling', ' will', ""'ll"", ' bring', ' did']","[0.78125, 0.08203125, 0.06396484375, 0.056640625, 0.0052490234375]","[' day', '日', ' da', 'day', '-day']","[0.99609375, 0.00070953369140625, 0.00070953369140625, 0.000553131103515625, 0.0001087188720703125]"
149,"Like morning dew on petals soft and new,",new,hue,new,True,Shines the light of hope in every hue.,Shines the light of hope in every hue.,Shines the light of hope in every,3,True,48-space,48,embrace,9,"[' hue', ' view', ' true', ' dew', ' way']","[0.96484375, 0.0291748046875, 0.0023956298828125, 0.00099945068359375, 0.000606536865234375]","[' space', ' hue', ' true', ' place', ' view']","[1.0, 5.817413330078125e-05, 1.0654330253601074e-06, 2.7008354663848877e-07, 2.384185791015625e-07]"
156,"Two hearts entwined, a vow so true,",true,undo,new,True,A love that time cannot undo.,A love that time cannot undo.,A love that time cannot,5,True,164-sing,164,sing,12,"[' undo', ' undone', ' consume', ' untrue', ' destroy']","[1.0, 5.817413330078125e-05, 5.14984130859375e-05, 4.00543212890625e-05, 3.123283386230469e-05]","[' undo', ' refute', ' renew', ' sub', ' overthrow']","[0.99609375, 0.00090789794921875, 0.0006256103515625, 0.0003795623779296875, 0.0002593994140625]"
158,"Like shadows at the close of day,",day,gray,grey,True,They fade into the silent gray.,They fade into the silent gray.,They fade into the silent,7,True,149-hue,149,new,3,"[' gray', ' grey', ' blue', 'gray', ' light']","[0.9921875, 0.007568359375, 0.0002593994140625, 0.00015735626220703125, 0.00015735626220703125]","[' gray', ' h', ' fray', ' haze', ' clay']","[0.83203125, 0.0771484375, 0.0284423828125, 0.022216796875, 0.01953125]"
160,"Whispers of absence haunt the halls where laughter used to play,",play,day,grey,True,Echoes of joy now linger in the fading light of day.,Echoes of joy now linger in the fading light of day.,Echoes of joy now linger in the fading light of,32,True,176-blink,176,clink,1,"[' day', 'day', ' daytime', ' yesterday', ' the']","[1.0, 1.996755599975586e-06, 1.7583370208740234e-06, 1.2069940567016602e-06, 9.424984455108643e-07]","[' time', 'ony', ' the', ' goodbye', ' evening']","[0.63671875, 0.09765625, 0.09765625, 0.035888671875, 0.0279541015625]"
162,"Colors whisper secrets where wild imaginations tread,",tread,led,thread,True,And dreams take flight where the imagination led.,And dreams take flight where the imagination led.,And dreams take flight where the imagination,9,True,88-spun,88,spun,6,"[' led', ' wed', ' lead', ' spread', ' is']","[0.87109375, 0.0205078125, 0.0205078125, 0.0205078125, 0.0159912109375]","[' led', ' wed', ' spread', ' s', ""'s""]","[0.26953125, 0.2373046875, 0.1845703125, 0.126953125, 0.052978515625]"
164,"In shadows cast by screens we cling,",cling,sing,sing,True,"Our hearts grow faint, yet still we sing.","Our hearts grow faint, yet still we sing.","Our hearts grow faint, yet still we",12,True,104-sigh,104,sigh,7,"[' sing', ' cling', ' binge', ' ring', ' find']","[0.9609375, 0.0198974609375, 0.0093994140625, 0.0034637451171875, 0.00144195556640625]","[' search', ' binge', ' sing', ' seek', ' spin']","[0.330078125, 0.2001953125, 0.0947265625, 0.08349609375, 0.07373046875]"
166,"In shadows crowned, the weak wear might unseen,",unseen,seen,unseen,True,"While the bold stand bare, their strength is never seen.","While the bold stand bare, their strength is never seen.","While the bold stand bare, their strength is never",10,True,139-dead,139,thread,11,"[' seen', ' known', ' meant', ' bent', ' deemed']","[0.59375, 0.1708984375, 0.0712890625, 0.0296630859375, 0.0296630859375]","[' dead', ' slain', ' clean', ' keen', ' mean']","[1.0, 0.0001583099365234375, 0.0001583099365234375, 4.00543212890625e-05, 1.895427703857422e-05]"
168,"Smoke ascends where silent dreams once grew,",grew,withdrew,new,True,Ash now falls where whispered hopes withdrew.,Ash now falls where whispered hopes withdrew.,Ash now falls where whispered hopes,7,True,58-sky,58,sigh,15,"[' withdrew', ' once', ' used', ' pursued', ' were']","[0.63671875, 0.142578125, 0.09765625, 0.059326171875, 0.03173828125]","[' sky', ' meet', ' have', ' blue', ' cast']","[0.44921875, 0.2734375, 0.12890625, 0.025390625, 0.0174560546875]"
170,"In shadows cast by silver lies,",lies,rise,dies,True,a silent world begins to rise.,a silent world begins to rise.,a silent world begins to,5,True,190-night,190,light,10,"[' rise', ' arise', ' shine', ' cry', ' wise']","[0.9921875, 0.0027923583984375, 0.00148773193359375, 0.001312255859375, 0.00115966796875]","[' rise', ' shine', ' sigh', ' arise', ' cry']","[0.91796875, 0.03564453125, 0.0216064453125, 0.009033203125, 0.0029296875]"
171,"In whispered groves where the wild things dance,",dance,trance,dance,True,the moonlight weaves a silver trance.,the moonlight weaves a silver trance.,the moonlight weaves a silver,6,True,36-sway,36,grey,11,"[' trance', ' chance', ' glance', ' lace', ' romance']","[0.99609375, 0.0031585693359375, 0.001922607421875, 7.43865966796875e-05, 7.43865966796875e-05]","[' trance', ' lace', ' glance', ' grace', ' glove']","[0.9765625, 0.00958251953125, 0.0074462890625, 0.0011444091796875, 0.00069427490234375]"
175,"By the sandbox where the fireflies glow,",glow,slow,glow,True,the moonlight dances on the slow.,the moonlight dances on the slow.,the moonlight dances on the,5,True,57-wing,57,sing,8,"[' old', ' grass', ' clothes', ' tall', ' slow']","[0.259765625, 0.10791015625, 0.10791015625, 0.10791015625, 0.09521484375]","[' clothes', ' dry', ' old', ' spread', ' stone']","[0.2412109375, 0.166015625, 0.0888671875, 0.0537109375, 0.04736328125]"
176,"Winds of freedom whisper where chains dare not clink,",clink,blink,clink,True,Echoes of hope rise in every blink.,Echoes of hope rise in every blink.,Echoes of hope rise in every,1,True,49-known,49,stone,10,"[' blink', ' heart', ' silent', ' hidden', ' thankful']","[0.1845703125, 0.1630859375, 0.1435546875, 0.126953125, 0.06787109375]","[' known', ' unk', 'Known', ' hidden', 'known']","[1.0, 1.895427703857422e-05, 1.2993812561035156e-05, 1.0132789611816406e-05, 6.139278411865234e-06]"
179,"A heartbeat’s whisper, a soul’s soft fire,",fire,wire,desire,True,A silent promise beneath the wire.,A silent promise beneath the wire.,A silent promise beneath the,1,True,139-dead,139,thread,11,"[' wire', ' stars', ' star', ' tide', ' night']","[0.46875, 0.1953125, 0.134765625, 0.08154296875, 0.055908203125]","[' dead', ' dying', ' stars', ' night', ' tide']","[0.9609375, 0.02001953125, 0.005706787109375, 0.003936767578125, 0.00238037109375]"
180,"Beneath a handshake, a dagger gleams with dew,",dew,two,new,True,A silent vow binds the two.,A silent vow binds the two.,A silent vow binds the,8,True,79-form,79,storm,7,"[' living', ' night', ' two', ' hearts', ' shadows']","[0.275390625, 0.1015625, 0.08935546875, 0.0791015625, 0.0615234375]","[' shadows', ' kin', ' hearts', ' night', ' blood']","[0.2294921875, 0.1572265625, 0.138671875, 0.07421875, 0.057861328125]"
181,"Whispers of winter kiss the thawing spring,",spring,sing,sing,True,"Beneath the snow, the seeds begin to sing.","Beneath the snow, the seeds begin to sing.","Beneath the snow, the seeds begin to",5,True,9-light,9,light,14,"[' sing', ' cling', ' dream', ' wake', ' stir']","[0.98046875, 0.00848388671875, 0.007476806640625, 0.00167083740234375, 0.00069427490234375]","[' sing', ' cling', ' rise', ' stir', ' light']","[0.66796875, 0.24609375, 0.0294189453125, 0.017822265625, 0.017822265625]"
183,"A silent tear on truth's tightrope spin,",spin,win,spin,True,A whispered hope begins to win.,A whispered hope begins to win.,A whispered hope begins to,3,True,0-night,0,light,9,"[' win', ' climb', ' thin', ' din', ' grin']","[0.55078125, 0.203125, 0.06591796875, 0.05126953125, 0.0189208984375]","[' climb', ' fray', ' creep', ' night', ' break']","[0.431640625, 0.1591796875, 0.1591796875, 0.045654296875, 0.045654296875]"
186,"Beneath soft lies, the truth wears a cloak of light,",light,night,light,True,Yet whispers of shadows still cling to the night.,Yet whispers of shadows still cling to the night.,Yet whispers of shadows still cling to the,7,True,122-broken,122,unbroken,5,"[' night', ' right', ' fight', ' bright', ' nights']","[1.0, 2.1457672119140625e-05, 1.6689300537109375e-05, 6.973743438720703e-06, 3.293156623840332e-06]","[' night', ' fight', ' right', ' dawn', ' bright']","[0.283203125, 0.283203125, 0.1943359375, 0.091796875, 0.038330078125]"
187,"Two hearts entwined where the vows take flight,",flight,bright,light,True,"A promise of forever, shining bright.","A promise of forever, shining bright.","A promise of forever, shining",22,True,28-away,28,grey,28,"[' bright', ' so', ' through', ' in', ' brightly']","[0.53125, 0.466796875, 0.00168609619140625, 0.0004825592041015625, 0.000156402587890625]","[' from', ' in', ' aw', ' and', ' with']","[0.93359375, 0.0281982421875, 0.02490234375, 0.0091552734375, 0.003814697265625]"
188,"A laughter rings where sunshine stirs the air,",air,square,despair,True,A joyous song begins to fill the square.,A joyous song begins to fill the square.,A joyous song begins to fill the,4,True,9-light,9,light,14,"[' square', ' sphere', ' shore', ' fair', ' park']","[0.78515625, 0.050048828125, 0.034423828125, 0.034423828125, 0.034423828125]","[' light', ' day', ' clear', ' shore', ' bare']","[0.99609375, 0.00170135498046875, 0.00022983551025390625, 0.00020313262939453125, 0.0001392364501953125]"
189,"In whispered hearts where silent dreams take flight,",flight,night,light,True,Secrets bloom beneath the starlit night.,Secrets bloom beneath the starlit night.,Secrets bloom beneath the starlit,38,True,25-decay,25,grey,8,"[' night', ' nights', ' light', ' tide', 'night']","[1.0, 5.817413330078125e-05, 4.00543212890625e-05, 7.867813110351562e-06, 6.139278411865234e-06]","[' light', ' moon', ' deceit', ' d', ' sky']","[0.99609375, 0.003173828125, 0.000377655029296875, 0.000293731689453125, 0.00017833709716796875]"
190,"A breath too brief, a shadow that swallows the light,",light,night,light,True,A whisper of dusk that fades from the night.,A whisper of dusk that fades from the night.,A whisper of dusk that fades from the,10,True,136-past,136,past,9,"[' night', ' sight', ' sky', ' eye', ' fight']","[0.77734375, 0.22265625, 0.0003795623779296875, 0.0002956390380859375, 0.0001583099365234375]","[' past', ' sight', ' eyes', ' sky', ' eye']","[0.984375, 0.005157470703125, 0.005157470703125, 0.0031280517578125, 0.00101470947265625]"
192,"A bond unspoken, yet stronger than time,",time,sublime,time,True,Endures through every silent sublime.,Endures through every silent sublime.,Endures through every silent,3,True,141-wall,141,fall,9,"[' sublime', ' rhyme', ' sign', ' divine', ' line']","[0.5546875, 0.2041015625, 0.1396484375, 0.0400390625, 0.0189208984375]","[' wall', '墙', ' line', ',', ' Wall']","[0.9921875, 0.00148773193359375, 0.00139617919921875, 0.0009613037109375, 0.000904083251953125]"
195,"Whispers of wind through the emerald trees,",trees,breeze,trees,True,Sing a lullaby to the sleeping breeze.,Sing a lullaby to the sleeping breeze.,Sing a lullaby to the sleeping,8,True,139-dead,139,thread,11,"[' breeze', ' seas', ' sea', ' seeds', ' trees']","[0.921875, 0.07568359375, 0.00177764892578125, 0.000396728515625, 0.000240325927734375]","[' breeze', ' dead', ' seas', ' skies', ' sea']","[0.85546875, 0.0703125, 0.06201171875, 0.005096435546875, 0.00128936767578125]"
