question,intermediate,answer,intermediate_expression,prompt_type,prompt_subtype,hop1,hop2
20 + 26 =,6,46,20 + 26 =,two_digit_addition,two_digit_addition,0 + 6 =,20 + 26 =
20 + 27 =,7,47,20 + 27 =,two_digit_addition,two_digit_addition,0 + 7 =,20 + 27 =
20 + 28 =,8,48,20 + 28 =,two_digit_addition,two_digit_addition,0 + 8 =,20 + 28 =
20 + 29 =,9,49,20 + 29 =,two_digit_addition,two_digit_addition,0 + 9 =,20 + 29 =
20 + 30 =,0,50,20 + 30 =,two_digit_addition,two_digit_addition,0 + 0 =,20 + 30 =
20 + 31 =,1,51,20 + 31 =,two_digit_addition,two_digit_addition,0 + 1 =,20 + 31 =
20 + 32 =,2,52,20 + 32 =,two_digit_addition,two_digit_addition,0 + 2 =,20 + 32 =
20 + 33 =,3,53,20 + 33 =,two_digit_addition,two_digit_addition,0 + 3 =,20 + 33 =
20 + 34 =,4,54,20 + 34 =,two_digit_addition,two_digit_addition,0 + 4 =,20 + 34 =
20 + 35 =,5,55,20 + 35 =,two_digit_addition,two_digit_addition,0 + 5 =,20 + 35 =
20 + 36 =,6,56,20 + 36 =,two_digit_addition,two_digit_addition,0 + 6 =,20 + 36 =
20 + 37 =,7,57,20 + 37 =,two_digit_addition,two_digit_addition,0 + 7 =,20 + 37 =
20 + 38 =,8,58,20 + 38 =,two_digit_addition,two_digit_addition,0 + 8 =,20 + 38 =
20 + 39 =,9,59,20 + 39 =,two_digit_addition,two_digit_addition,0 + 9 =,20 + 39 =
20 + 40 =,0,60,20 + 40 =,two_digit_addition,two_digit_addition,0 + 0 =,20 + 40 =
20 + 41 =,1,61,20 + 41 =,two_digit_addition,two_digit_addition,0 + 1 =,20 + 41 =
20 + 42 =,2,62,20 + 42 =,two_digit_addition,two_digit_addition,0 + 2 =,20 + 42 =
20 + 43 =,3,63,20 + 43 =,two_digit_addition,two_digit_addition,0 + 3 =,20 + 43 =
20 + 44 =,4,64,20 + 44 =,two_digit_addition,two_digit_addition,0 + 4 =,20 + 44 =
20 + 45 =,5,65,20 + 45 =,two_digit_addition,two_digit_addition,0 + 5 =,20 + 45 =
20 + 46 =,6,66,20 + 46 =,two_digit_addition,two_digit_addition,0 + 6 =,20 + 46 =
20 + 47 =,7,67,20 + 47 =,two_digit_addition,two_digit_addition,0 + 7 =,20 + 47 =
20 + 48 =,8,68,20 + 48 =,two_digit_addition,two_digit_addition,0 + 8 =,20 + 48 =
20 + 49 =,9,69,20 + 49 =,two_digit_addition,two_digit_addition,0 + 9 =,20 + 49 =
20 + 50 =,0,70,20 + 50 =,two_digit_addition,two_digit_addition,0 + 0 =,20 + 50 =
20 + 51 =,1,71,20 + 51 =,two_digit_addition,two_digit_addition,0 + 1 =,20 + 51 =
20 + 52 =,2,72,20 + 52 =,two_digit_addition,two_digit_addition,0 + 2 =,20 + 52 =
20 + 53 =,3,73,20 + 53 =,two_digit_addition,two_digit_addition,0 + 3 =,20 + 53 =
20 + 54 =,4,74,20 + 54 =,two_digit_addition,two_digit_addition,0 + 4 =,20 + 54 =
20 + 55 =,5,75,20 + 55 =,two_digit_addition,two_digit_addition,0 + 5 =,20 + 55 =
20 + 56 =,6,76,20 + 56 =,two_digit_addition,two_digit_addition,0 + 6 =,20 + 56 =
20 + 57 =,7,77,20 + 57 =,two_digit_addition,two_digit_addition,0 + 7 =,20 + 57 =
20 + 58 =,8,78,20 + 58 =,two_digit_addition,two_digit_addition,0 + 8 =,20 + 58 =
20 + 59 =,9,79,20 + 59 =,two_digit_addition,two_digit_addition,0 + 9 =,20 + 59 =
20 + 60 =,0,80,20 + 60 =,two_digit_addition,two_digit_addition,0 + 0 =,20 + 60 =
20 + 61 =,1,81,20 + 61 =,two_digit_addition,two_digit_addition,0 + 1 =,20 + 61 =
20 + 62 =,2,82,20 + 62 =,two_digit_addition,two_digit_addition,0 + 2 =,20 + 62 =
20 + 63 =,3,83,20 + 63 =,two_digit_addition,two_digit_addition,0 + 3 =,20 + 63 =
20 + 64 =,4,84,20 + 64 =,two_digit_addition,two_digit_addition,0 + 4 =,20 + 64 =
20 + 65 =,5,85,20 + 65 =,two_digit_addition,two_digit_addition,0 + 5 =,20 + 65 =
20 + 66 =,6,86,20 + 66 =,two_digit_addition,two_digit_addition,0 + 6 =,20 + 66 =
20 + 67 =,7,87,20 + 67 =,two_digit_addition,two_digit_addition,0 + 7 =,20 + 67 =
20 + 68 =,8,88,20 + 68 =,two_digit_addition,two_digit_addition,0 + 8 =,20 + 68 =
20 + 69 =,9,89,20 + 69 =,two_digit_addition,two_digit_addition,0 + 9 =,20 + 69 =
20 + 70 =,0,90,20 + 70 =,two_digit_addition,two_digit_addition,0 + 0 =,20 + 70 =
20 + 71 =,1,91,20 + 71 =,two_digit_addition,two_digit_addition,0 + 1 =,20 + 71 =
20 + 72 =,2,92,20 + 72 =,two_digit_addition,two_digit_addition,0 + 2 =,20 + 72 =
20 + 73 =,3,93,20 + 73 =,two_digit_addition,two_digit_addition,0 + 3 =,20 + 73 =
20 + 74 =,4,94,20 + 74 =,two_digit_addition,two_digit_addition,0 + 4 =,20 + 74 =
20 + 75 =,5,95,20 + 75 =,two_digit_addition,two_digit_addition,0 + 5 =,20 + 75 =
20 + 76 =,6,96,20 + 76 =,two_digit_addition,two_digit_addition,0 + 6 =,20 + 76 =
20 + 77 =,7,97,20 + 77 =,two_digit_addition,two_digit_addition,0 + 7 =,20 + 77 =
20 + 78 =,8,98,20 + 78 =,two_digit_addition,two_digit_addition,0 + 8 =,20 + 78 =
20 + 79 =,9,99,20 + 79 =,two_digit_addition,two_digit_addition,0 + 9 =,20 + 79 =
20 + 80 =,0,100,20 + 80 =,two_digit_addition,two_digit_addition,0 + 0 =,20 + 80 =
20 + 81 =,1,101,20 + 81 =,two_digit_addition,two_digit_addition,0 + 1 =,20 + 81 =
20 + 82 =,2,102,20 + 82 =,two_digit_addition,two_digit_addition,0 + 2 =,20 + 82 =
20 + 83 =,3,103,20 + 83 =,two_digit_addition,two_digit_addition,0 + 3 =,20 + 83 =
20 + 84 =,4,104,20 + 84 =,two_digit_addition,two_digit_addition,0 + 4 =,20 + 84 =
20 + 85 =,5,105,20 + 85 =,two_digit_addition,two_digit_addition,0 + 5 =,20 + 85 =
20 + 86 =,6,106,20 + 86 =,two_digit_addition,two_digit_addition,0 + 6 =,20 + 86 =
20 + 87 =,7,107,20 + 87 =,two_digit_addition,two_digit_addition,0 + 7 =,20 + 87 =
20 + 88 =,8,108,20 + 88 =,two_digit_addition,two_digit_addition,0 + 8 =,20 + 88 =
20 + 89 =,9,109,20 + 89 =,two_digit_addition,two_digit_addition,0 + 9 =,20 + 89 =
20 + 90 =,0,110,20 + 90 =,two_digit_addition,two_digit_addition,0 + 0 =,20 + 90 =
20 + 91 =,1,111,20 + 91 =,two_digit_addition,two_digit_addition,0 + 1 =,20 + 91 =
20 + 92 =,2,112,20 + 92 =,two_digit_addition,two_digit_addition,0 + 2 =,20 + 92 =
20 + 93 =,3,113,20 + 93 =,two_digit_addition,two_digit_addition,0 + 3 =,20 + 93 =
20 + 94 =,4,114,20 + 94 =,two_digit_addition,two_digit_addition,0 + 4 =,20 + 94 =
20 + 95 =,5,115,20 + 95 =,two_digit_addition,two_digit_addition,0 + 5 =,20 + 95 =
20 + 96 =,6,116,20 + 96 =,two_digit_addition,two_digit_addition,0 + 6 =,20 + 96 =
20 + 97 =,7,117,20 + 97 =,two_digit_addition,two_digit_addition,0 + 7 =,20 + 97 =
20 + 98 =,8,118,20 + 98 =,two_digit_addition,two_digit_addition,0 + 8 =,20 + 98 =
20 + 99 =,9,119,20 + 99 =,two_digit_addition,two_digit_addition,0 + 9 =,20 + 99 =
21 + 10 =,1,31,21 + 10 =,two_digit_addition,two_digit_addition,1 + 0 =,21 + 10 =
21 + 11 =,2,32,21 + 11 =,two_digit_addition,two_digit_addition,1 + 1 =,21 + 11 =
21 + 12 =,3,33,21 + 12 =,two_digit_addition,two_digit_addition,1 + 2 =,21 + 12 =
21 + 13 =,4,34,21 + 13 =,two_digit_addition,two_digit_addition,1 + 3 =,21 + 13 =
21 + 14 =,5,35,21 + 14 =,two_digit_addition,two_digit_addition,1 + 4 =,21 + 14 =
21 + 15 =,6,36,21 + 15 =,two_digit_addition,two_digit_addition,1 + 5 =,21 + 15 =
21 + 16 =,7,37,21 + 16 =,two_digit_addition,two_digit_addition,1 + 6 =,21 + 16 =
21 + 17 =,8,38,21 + 17 =,two_digit_addition,two_digit_addition,1 + 7 =,21 + 17 =
21 + 18 =,9,39,21 + 18 =,two_digit_addition,two_digit_addition,1 + 8 =,21 + 18 =
21 + 19 =,10,40,21 + 19 =,two_digit_addition,two_digit_addition,1 + 9 =,21 + 19 =
21 + 20 =,1,41,21 + 20 =,two_digit_addition,two_digit_addition,1 + 0 =,21 + 20 =
21 + 21 =,2,42,21 + 21 =,two_digit_addition,two_digit_addition,1 + 1 =,21 + 21 =
21 + 22 =,3,43,21 + 22 =,two_digit_addition,two_digit_addition,1 + 2 =,21 + 22 =
21 + 23 =,4,44,21 + 23 =,two_digit_addition,two_digit_addition,1 + 3 =,21 + 23 =
21 + 24 =,5,45,21 + 24 =,two_digit_addition,two_digit_addition,1 + 4 =,21 + 24 =
21 + 25 =,6,46,21 + 25 =,two_digit_addition,two_digit_addition,1 + 5 =,21 + 25 =
21 + 26 =,7,47,21 + 26 =,two_digit_addition,two_digit_addition,1 + 6 =,21 + 26 =
21 + 27 =,8,48,21 + 27 =,two_digit_addition,two_digit_addition,1 + 7 =,21 + 27 =
21 + 28 =,9,49,21 + 28 =,two_digit_addition,two_digit_addition,1 + 8 =,21 + 28 =
21 + 29 =,10,50,21 + 29 =,two_digit_addition,two_digit_addition,1 + 9 =,21 + 29 =
21 + 30 =,1,51,21 + 30 =,two_digit_addition,two_digit_addition,1 + 0 =,21 + 30 =
21 + 31 =,2,52,21 + 31 =,two_digit_addition,two_digit_addition,1 + 1 =,21 + 31 =
21 + 32 =,3,53,21 + 32 =,two_digit_addition,two_digit_addition,1 + 2 =,21 + 32 =
21 + 33 =,4,54,21 + 33 =,two_digit_addition,two_digit_addition,1 + 3 =,21 + 33 =
21 + 34 =,5,55,21 + 34 =,two_digit_addition,two_digit_addition,1 + 4 =,21 + 34 =
21 + 35 =,6,56,21 + 35 =,two_digit_addition,two_digit_addition,1 + 5 =,21 + 35 =
21 + 36 =,7,57,21 + 36 =,two_digit_addition,two_digit_addition,1 + 6 =,21 + 36 =
21 + 37 =,8,58,21 + 37 =,two_digit_addition,two_digit_addition,1 + 7 =,21 + 37 =
21 + 38 =,9,59,21 + 38 =,two_digit_addition,two_digit_addition,1 + 8 =,21 + 38 =
21 + 39 =,10,60,21 + 39 =,two_digit_addition,two_digit_addition,1 + 9 =,21 + 39 =
21 + 40 =,1,61,21 + 40 =,two_digit_addition,two_digit_addition,1 + 0 =,21 + 40 =
21 + 41 =,2,62,21 + 41 =,two_digit_addition,two_digit_addition,1 + 1 =,21 + 41 =
21 + 42 =,3,63,21 + 42 =,two_digit_addition,two_digit_addition,1 + 2 =,21 + 42 =
21 + 43 =,4,64,21 + 43 =,two_digit_addition,two_digit_addition,1 + 3 =,21 + 43 =
21 + 44 =,5,65,21 + 44 =,two_digit_addition,two_digit_addition,1 + 4 =,21 + 44 =
21 + 45 =,6,66,21 + 45 =,two_digit_addition,two_digit_addition,1 + 5 =,21 + 45 =
21 + 46 =,7,67,21 + 46 =,two_digit_addition,two_digit_addition,1 + 6 =,21 + 46 =
21 + 47 =,8,68,21 + 47 =,two_digit_addition,two_digit_addition,1 + 7 =,21 + 47 =
21 + 48 =,9,69,21 + 48 =,two_digit_addition,two_digit_addition,1 + 8 =,21 + 48 =
21 + 49 =,10,70,21 + 49 =,two_digit_addition,two_digit_addition,1 + 9 =,21 + 49 =
21 + 50 =,1,71,21 + 50 =,two_digit_addition,two_digit_addition,1 + 0 =,21 + 50 =
21 + 51 =,2,72,21 + 51 =,two_digit_addition,two_digit_addition,1 + 1 =,21 + 51 =
21 + 52 =,3,73,21 + 52 =,two_digit_addition,two_digit_addition,1 + 2 =,21 + 52 =
21 + 53 =,4,74,21 + 53 =,two_digit_addition,two_digit_addition,1 + 3 =,21 + 53 =
21 + 54 =,5,75,21 + 54 =,two_digit_addition,two_digit_addition,1 + 4 =,21 + 54 =
21 + 55 =,6,76,21 + 55 =,two_digit_addition,two_digit_addition,1 + 5 =,21 + 55 =
21 + 56 =,7,77,21 + 56 =,two_digit_addition,two_digit_addition,1 + 6 =,21 + 56 =
21 + 57 =,8,78,21 + 57 =,two_digit_addition,two_digit_addition,1 + 7 =,21 + 57 =
21 + 58 =,9,79,21 + 58 =,two_digit_addition,two_digit_addition,1 + 8 =,21 + 58 =
21 + 59 =,10,80,21 + 59 =,two_digit_addition,two_digit_addition,1 + 9 =,21 + 59 =
21 + 60 =,1,81,21 + 60 =,two_digit_addition,two_digit_addition,1 + 0 =,21 + 60 =
21 + 61 =,2,82,21 + 61 =,two_digit_addition,two_digit_addition,1 + 1 =,21 + 61 =
21 + 62 =,3,83,21 + 62 =,two_digit_addition,two_digit_addition,1 + 2 =,21 + 62 =
21 + 63 =,4,84,21 + 63 =,two_digit_addition,two_digit_addition,1 + 3 =,21 + 63 =
21 + 64 =,5,85,21 + 64 =,two_digit_addition,two_digit_addition,1 + 4 =,21 + 64 =
21 + 65 =,6,86,21 + 65 =,two_digit_addition,two_digit_addition,1 + 5 =,21 + 65 =
21 + 66 =,7,87,21 + 66 =,two_digit_addition,two_digit_addition,1 + 6 =,21 + 66 =
21 + 67 =,8,88,21 + 67 =,two_digit_addition,two_digit_addition,1 + 7 =,21 + 67 =
21 + 68 =,9,89,21 + 68 =,two_digit_addition,two_digit_addition,1 + 8 =,21 + 68 =
21 + 69 =,10,90,21 + 69 =,two_digit_addition,two_digit_addition,1 + 9 =,21 + 69 =
21 + 70 =,1,91,21 + 70 =,two_digit_addition,two_digit_addition,1 + 0 =,21 + 70 =
21 + 71 =,2,92,21 + 71 =,two_digit_addition,two_digit_addition,1 + 1 =,21 + 71 =
21 + 72 =,3,93,21 + 72 =,two_digit_addition,two_digit_addition,1 + 2 =,21 + 72 =
21 + 73 =,4,94,21 + 73 =,two_digit_addition,two_digit_addition,1 + 3 =,21 + 73 =
21 + 74 =,5,95,21 + 74 =,two_digit_addition,two_digit_addition,1 + 4 =,21 + 74 =
21 + 75 =,6,96,21 + 75 =,two_digit_addition,two_digit_addition,1 + 5 =,21 + 75 =
21 + 76 =,7,97,21 + 76 =,two_digit_addition,two_digit_addition,1 + 6 =,21 + 76 =
21 + 77 =,8,98,21 + 77 =,two_digit_addition,two_digit_addition,1 + 7 =,21 + 77 =
21 + 78 =,9,99,21 + 78 =,two_digit_addition,two_digit_addition,1 + 8 =,21 + 78 =
21 + 79 =,10,100,21 + 79 =,two_digit_addition,two_digit_addition,1 + 9 =,21 + 79 =
21 + 80 =,1,101,21 + 80 =,two_digit_addition,two_digit_addition,1 + 0 =,21 + 80 =
21 + 81 =,2,102,21 + 81 =,two_digit_addition,two_digit_addition,1 + 1 =,21 + 81 =
21 + 82 =,3,103,21 + 82 =,two_digit_addition,two_digit_addition,1 + 2 =,21 + 82 =
21 + 83 =,4,104,21 + 83 =,two_digit_addition,two_digit_addition,1 + 3 =,21 + 83 =
21 + 84 =,5,105,21 + 84 =,two_digit_addition,two_digit_addition,1 + 4 =,21 + 84 =
21 + 85 =,6,106,21 + 85 =,two_digit_addition,two_digit_addition,1 + 5 =,21 + 85 =
21 + 86 =,7,107,21 + 86 =,two_digit_addition,two_digit_addition,1 + 6 =,21 + 86 =
21 + 87 =,8,108,21 + 87 =,two_digit_addition,two_digit_addition,1 + 7 =,21 + 87 =
21 + 88 =,9,109,21 + 88 =,two_digit_addition,two_digit_addition,1 + 8 =,21 + 88 =
21 + 89 =,10,110,21 + 89 =,two_digit_addition,two_digit_addition,1 + 9 =,21 + 89 =
21 + 90 =,1,111,21 + 90 =,two_digit_addition,two_digit_addition,1 + 0 =,21 + 90 =
21 + 91 =,2,112,21 + 91 =,two_digit_addition,two_digit_addition,1 + 1 =,21 + 91 =
21 + 92 =,3,113,21 + 92 =,two_digit_addition,two_digit_addition,1 + 2 =,21 + 92 =
21 + 93 =,4,114,21 + 93 =,two_digit_addition,two_digit_addition,1 + 3 =,21 + 93 =
21 + 94 =,5,115,21 + 94 =,two_digit_addition,two_digit_addition,1 + 4 =,21 + 94 =
21 + 95 =,6,116,21 + 95 =,two_digit_addition,two_digit_addition,1 + 5 =,21 + 95 =
21 + 96 =,7,117,21 + 96 =,two_digit_addition,two_digit_addition,1 + 6 =,21 + 96 =
21 + 97 =,8,118,21 + 97 =,two_digit_addition,two_digit_addition,1 + 7 =,21 + 97 =
21 + 98 =,9,119,21 + 98 =,two_digit_addition,two_digit_addition,1 + 8 =,21 + 98 =
21 + 99 =,10,120,21 + 99 =,two_digit_addition,two_digit_addition,1 + 9 =,21 + 99 =
22 + 10 =,2,32,22 + 10 =,two_digit_addition,two_digit_addition,2 + 0 =,22 + 10 =
22 + 11 =,3,33,22 + 11 =,two_digit_addition,two_digit_addition,2 + 1 =,22 + 11 =
22 + 12 =,4,34,22 + 12 =,two_digit_addition,two_digit_addition,2 + 2 =,22 + 12 =
22 + 13 =,5,35,22 + 13 =,two_digit_addition,two_digit_addition,2 + 3 =,22 + 13 =
22 + 14 =,6,36,22 + 14 =,two_digit_addition,two_digit_addition,2 + 4 =,22 + 14 =
22 + 15 =,7,37,22 + 15 =,two_digit_addition,two_digit_addition,2 + 5 =,22 + 15 =
22 + 16 =,8,38,22 + 16 =,two_digit_addition,two_digit_addition,2 + 6 =,22 + 16 =
22 + 17 =,9,39,22 + 17 =,two_digit_addition,two_digit_addition,2 + 7 =,22 + 17 =
22 + 18 =,10,40,22 + 18 =,two_digit_addition,two_digit_addition,2 + 8 =,22 + 18 =
22 + 19 =,11,41,22 + 19 =,two_digit_addition,two_digit_addition,2 + 9 =,22 + 19 =
22 + 20 =,2,42,22 + 20 =,two_digit_addition,two_digit_addition,2 + 0 =,22 + 20 =
22 + 21 =,3,43,22 + 21 =,two_digit_addition,two_digit_addition,2 + 1 =,22 + 21 =
22 + 22 =,4,44,22 + 22 =,two_digit_addition,two_digit_addition,2 + 2 =,22 + 22 =
22 + 23 =,5,45,22 + 23 =,two_digit_addition,two_digit_addition,2 + 3 =,22 + 23 =
22 + 24 =,6,46,22 + 24 =,two_digit_addition,two_digit_addition,2 + 4 =,22 + 24 =
22 + 25 =,7,47,22 + 25 =,two_digit_addition,two_digit_addition,2 + 5 =,22 + 25 =
22 + 26 =,8,48,22 + 26 =,two_digit_addition,two_digit_addition,2 + 6 =,22 + 26 =
22 + 27 =,9,49,22 + 27 =,two_digit_addition,two_digit_addition,2 + 7 =,22 + 27 =
22 + 28 =,10,50,22 + 28 =,two_digit_addition,two_digit_addition,2 + 8 =,22 + 28 =
22 + 29 =,11,51,22 + 29 =,two_digit_addition,two_digit_addition,2 + 9 =,22 + 29 =
22 + 30 =,2,52,22 + 30 =,two_digit_addition,two_digit_addition,2 + 0 =,22 + 30 =
22 + 31 =,3,53,22 + 31 =,two_digit_addition,two_digit_addition,2 + 1 =,22 + 31 =
22 + 32 =,4,54,22 + 32 =,two_digit_addition,two_digit_addition,2 + 2 =,22 + 32 =
22 + 33 =,5,55,22 + 33 =,two_digit_addition,two_digit_addition,2 + 3 =,22 + 33 =
22 + 34 =,6,56,22 + 34 =,two_digit_addition,two_digit_addition,2 + 4 =,22 + 34 =
22 + 35 =,7,57,22 + 35 =,two_digit_addition,two_digit_addition,2 + 5 =,22 + 35 =
22 + 36 =,8,58,22 + 36 =,two_digit_addition,two_digit_addition,2 + 6 =,22 + 36 =
22 + 37 =,9,59,22 + 37 =,two_digit_addition,two_digit_addition,2 + 7 =,22 + 37 =
22 + 38 =,10,60,22 + 38 =,two_digit_addition,two_digit_addition,2 + 8 =,22 + 38 =
22 + 39 =,11,61,22 + 39 =,two_digit_addition,two_digit_addition,2 + 9 =,22 + 39 =
22 + 40 =,2,62,22 + 40 =,two_digit_addition,two_digit_addition,2 + 0 =,22 + 40 =
22 + 41 =,3,63,22 + 41 =,two_digit_addition,two_digit_addition,2 + 1 =,22 + 41 =
22 + 42 =,4,64,22 + 42 =,two_digit_addition,two_digit_addition,2 + 2 =,22 + 42 =
22 + 43 =,5,65,22 + 43 =,two_digit_addition,two_digit_addition,2 + 3 =,22 + 43 =
22 + 44 =,6,66,22 + 44 =,two_digit_addition,two_digit_addition,2 + 4 =,22 + 44 =
22 + 45 =,7,67,22 + 45 =,two_digit_addition,two_digit_addition,2 + 5 =,22 + 45 =
22 + 46 =,8,68,22 + 46 =,two_digit_addition,two_digit_addition,2 + 6 =,22 + 46 =
22 + 47 =,9,69,22 + 47 =,two_digit_addition,two_digit_addition,2 + 7 =,22 + 47 =
22 + 48 =,10,70,22 + 48 =,two_digit_addition,two_digit_addition,2 + 8 =,22 + 48 =
22 + 49 =,11,71,22 + 49 =,two_digit_addition,two_digit_addition,2 + 9 =,22 + 49 =
22 + 50 =,2,72,22 + 50 =,two_digit_addition,two_digit_addition,2 + 0 =,22 + 50 =
22 + 51 =,3,73,22 + 51 =,two_digit_addition,two_digit_addition,2 + 1 =,22 + 51 =
22 + 52 =,4,74,22 + 52 =,two_digit_addition,two_digit_addition,2 + 2 =,22 + 52 =
22 + 53 =,5,75,22 + 53 =,two_digit_addition,two_digit_addition,2 + 3 =,22 + 53 =
22 + 54 =,6,76,22 + 54 =,two_digit_addition,two_digit_addition,2 + 4 =,22 + 54 =
22 + 55 =,7,77,22 + 55 =,two_digit_addition,two_digit_addition,2 + 5 =,22 + 55 =
22 + 56 =,8,78,22 + 56 =,two_digit_addition,two_digit_addition,2 + 6 =,22 + 56 =
22 + 57 =,9,79,22 + 57 =,two_digit_addition,two_digit_addition,2 + 7 =,22 + 57 =
22 + 58 =,10,80,22 + 58 =,two_digit_addition,two_digit_addition,2 + 8 =,22 + 58 =
22 + 59 =,11,81,22 + 59 =,two_digit_addition,two_digit_addition,2 + 9 =,22 + 59 =
22 + 60 =,2,82,22 + 60 =,two_digit_addition,two_digit_addition,2 + 0 =,22 + 60 =
22 + 61 =,3,83,22 + 61 =,two_digit_addition,two_digit_addition,2 + 1 =,22 + 61 =
22 + 62 =,4,84,22 + 62 =,two_digit_addition,two_digit_addition,2 + 2 =,22 + 62 =
22 + 63 =,5,85,22 + 63 =,two_digit_addition,two_digit_addition,2 + 3 =,22 + 63 =
22 + 64 =,6,86,22 + 64 =,two_digit_addition,two_digit_addition,2 + 4 =,22 + 64 =
22 + 65 =,7,87,22 + 65 =,two_digit_addition,two_digit_addition,2 + 5 =,22 + 65 =
22 + 66 =,8,88,22 + 66 =,two_digit_addition,two_digit_addition,2 + 6 =,22 + 66 =
22 + 67 =,9,89,22 + 67 =,two_digit_addition,two_digit_addition,2 + 7 =,22 + 67 =
22 + 68 =,10,90,22 + 68 =,two_digit_addition,two_digit_addition,2 + 8 =,22 + 68 =
22 + 69 =,11,91,22 + 69 =,two_digit_addition,two_digit_addition,2 + 9 =,22 + 69 =
22 + 70 =,2,92,22 + 70 =,two_digit_addition,two_digit_addition,2 + 0 =,22 + 70 =
22 + 71 =,3,93,22 + 71 =,two_digit_addition,two_digit_addition,2 + 1 =,22 + 71 =
22 + 72 =,4,94,22 + 72 =,two_digit_addition,two_digit_addition,2 + 2 =,22 + 72 =
22 + 73 =,5,95,22 + 73 =,two_digit_addition,two_digit_addition,2 + 3 =,22 + 73 =
22 + 74 =,6,96,22 + 74 =,two_digit_addition,two_digit_addition,2 + 4 =,22 + 74 =
22 + 75 =,7,97,22 + 75 =,two_digit_addition,two_digit_addition,2 + 5 =,22 + 75 =
22 + 76 =,8,98,22 + 76 =,two_digit_addition,two_digit_addition,2 + 6 =,22 + 76 =
22 + 77 =,9,99,22 + 77 =,two_digit_addition,two_digit_addition,2 + 7 =,22 + 77 =
22 + 78 =,10,100,22 + 78 =,two_digit_addition,two_digit_addition,2 + 8 =,22 + 78 =
22 + 79 =,11,101,22 + 79 =,two_digit_addition,two_digit_addition,2 + 9 =,22 + 79 =
22 + 80 =,2,102,22 + 80 =,two_digit_addition,two_digit_addition,2 + 0 =,22 + 80 =
22 + 81 =,3,103,22 + 81 =,two_digit_addition,two_digit_addition,2 + 1 =,22 + 81 =
22 + 82 =,4,104,22 + 82 =,two_digit_addition,two_digit_addition,2 + 2 =,22 + 82 =
22 + 83 =,5,105,22 + 83 =,two_digit_addition,two_digit_addition,2 + 3 =,22 + 83 =
22 + 84 =,6,106,22 + 84 =,two_digit_addition,two_digit_addition,2 + 4 =,22 + 84 =
22 + 85 =,7,107,22 + 85 =,two_digit_addition,two_digit_addition,2 + 5 =,22 + 85 =
22 + 86 =,8,108,22 + 86 =,two_digit_addition,two_digit_addition,2 + 6 =,22 + 86 =
22 + 87 =,9,109,22 + 87 =,two_digit_addition,two_digit_addition,2 + 7 =,22 + 87 =
22 + 88 =,10,110,22 + 88 =,two_digit_addition,two_digit_addition,2 + 8 =,22 + 88 =
22 + 89 =,11,111,22 + 89 =,two_digit_addition,two_digit_addition,2 + 9 =,22 + 89 =
22 + 90 =,2,112,22 + 90 =,two_digit_addition,two_digit_addition,2 + 0 =,22 + 90 =
22 + 91 =,3,113,22 + 91 =,two_digit_addition,two_digit_addition,2 + 1 =,22 + 91 =
22 + 92 =,4,114,22 + 92 =,two_digit_addition,two_digit_addition,2 + 2 =,22 + 92 =
22 + 93 =,5,115,22 + 93 =,two_digit_addition,two_digit_addition,2 + 3 =,22 + 93 =
22 + 94 =,6,116,22 + 94 =,two_digit_addition,two_digit_addition,2 + 4 =,22 + 94 =
22 + 95 =,7,117,22 + 95 =,two_digit_addition,two_digit_addition,2 + 5 =,22 + 95 =
22 + 96 =,8,118,22 + 96 =,two_digit_addition,two_digit_addition,2 + 6 =,22 + 96 =
22 + 97 =,9,119,22 + 97 =,two_digit_addition,two_digit_addition,2 + 7 =,22 + 97 =
22 + 98 =,10,120,22 + 98 =,two_digit_addition,two_digit_addition,2 + 8 =,22 + 98 =
22 + 99 =,11,121,22 + 99 =,two_digit_addition,two_digit_addition,2 + 9 =,22 + 99 =
23 + 10 =,3,33,23 + 10 =,two_digit_addition,two_digit_addition,3 + 0 =,23 + 10 =
23 + 11 =,4,34,23 + 11 =,two_digit_addition,two_digit_addition,3 + 1 =,23 + 11 =
23 + 12 =,5,35,23 + 12 =,two_digit_addition,two_digit_addition,3 + 2 =,23 + 12 =
23 + 13 =,6,36,23 + 13 =,two_digit_addition,two_digit_addition,3 + 3 =,23 + 13 =
23 + 14 =,7,37,23 + 14 =,two_digit_addition,two_digit_addition,3 + 4 =,23 + 14 =
23 + 15 =,8,38,23 + 15 =,two_digit_addition,two_digit_addition,3 + 5 =,23 + 15 =
23 + 16 =,9,39,23 + 16 =,two_digit_addition,two_digit_addition,3 + 6 =,23 + 16 =
23 + 17 =,10,40,23 + 17 =,two_digit_addition,two_digit_addition,3 + 7 =,23 + 17 =
23 + 18 =,11,41,23 + 18 =,two_digit_addition,two_digit_addition,3 + 8 =,23 + 18 =
23 + 19 =,12,42,23 + 19 =,two_digit_addition,two_digit_addition,3 + 9 =,23 + 19 =
23 + 20 =,3,43,23 + 20 =,two_digit_addition,two_digit_addition,3 + 0 =,23 + 20 =
23 + 21 =,4,44,23 + 21 =,two_digit_addition,two_digit_addition,3 + 1 =,23 + 21 =
23 + 22 =,5,45,23 + 22 =,two_digit_addition,two_digit_addition,3 + 2 =,23 + 22 =
23 + 23 =,6,46,23 + 23 =,two_digit_addition,two_digit_addition,3 + 3 =,23 + 23 =
