question,intermediate,answer,intermediate_expression,prompt_type,prompt_subtype
n=1//4. n*3=,0,0,n=1//4,math,math
q=7*2. q*3=,14,42,q=7*2,math,math
t=4+5. t//2=,9,4,t=4+5,math,math
j=7+7. j-8=,14,6,j=7+7,math,math
j=9//1. j+6=,9,15,j=9//1,math,math
h=6*8. h//7=,48,6,h=6*8,math,math
y=8*1. y//5=,8,1,y=8*1,math,math
m=8*4. m-9=,32,23,m=8*4,math,math
e=1//7. e*3=,0,0,e=1//7,math,math
y=8*4. y+4=,32,36,y=8*4,math,math
a=1+9. a//1=,10,10,a=1+9,math,math
z=9-1. z+9=,8,17,z=9-1,math,math
o=1*4. o+1=,4,5,o=1*4,math,math
j=9-7. j+4=,2,6,j=9-7,math,math
o=3//6. o//3=,0,0,o=3//6,math,math
w=9*7. w-6=,63,57,w=9*7,math,math
f=4+9. f+2=,13,15,f=4+9,math,math
a=5+8. a*9=,13,117,a=5+8,math,math
n=2-5. n-5=,-3,-8,n=2-5,math,math
z=8//2. z//4=,4,1,z=8//2,math,math
c=1//9. c//1=,0,0,c=1//9,math,math
d=4*7. d-6=,28,22,d=4*7,math,math
q=7*5. q-9=,35,26,q=7*5,math,math
v=8//3. v*3=,2,6,v=8//3,math,math
d=2-5. d+6=,-3,3,d=2-5,math,math
y=2+1. y*4=,3,12,y=2+1,math,math
s=3-5. s//8=,-2,-1,s=3-5,math,math
d=7+3. d//7=,10,1,d=7+3,math,math
u=3-2. u+5=,1,6,u=3-2,math,math
r=1//1. r//1=,1,1,r=1//1,math,math
u=7*2. u*1=,14,14,u=7*2,math,math
p=3*5. p//4=,15,3,p=3*5,math,math
x=3+9. x-3=,12,9,x=3+9,math,math
d=8+2. d-3=,10,7,d=8+2,math,math
u=7*4. u//7=,28,4,u=7*4,math,math
t=6*1. t*2=,6,12,t=6*1,math,math
n=7+4. n*7=,11,77,n=7+4,math,math
o=8+2. o//6=,10,1,o=8+2,math,math
v=8+4. v//1=,12,12,v=8+4,math,math
z=7*6. z*9=,42,378,z=7*6,math,math
b=2+7. b+8=,9,17,b=2+7,math,math
k=2*7. k-5=,14,9,k=2*7,math,math
p=8-8. p+4=,0,4,p=8-8,math,math
k=8*2. k*1=,16,16,k=8*2,math,math
h=9+9. h+4=,18,22,h=9+9,math,math
k=8-4. k//5=,4,0,k=8-4,math,math
p=3//1. p+5=,3,8,p=3//1,math,math
y=4//5. y-8=,0,-8,y=4//5,math,math
s=5//2. s+4=,2,6,s=5//2,math,math
b=5+2. b-3=,7,4,b=5+2,math,math
a=6+9. a//9=,15,1,a=6+9,math,math
x=1-7. x//5=,-6,-2,x=1-7,math,math
f=6*1. f//9=,6,0,f=6*1,math,math
m=8//1. m*4=,8,32,m=8//1,math,math
m=3//5. m*6=,0,0,m=3//5,math,math
t=1*1. t+3=,1,4,t=1*1,math,math
y=4+8. y-8=,12,4,y=4+8,math,math
i=8-9. i//9=,-1,-1,i=8-9,math,math
n=5*1. n*3=,5,15,n=5*1,math,math
j=7+2. j//3=,9,3,j=7+2,math,math
u=6*9. u//4=,54,13,u=6*9,math,math
y=3//7. y//3=,0,0,y=3//7,math,math
a=3-5. a+2=,-2,0,a=3-5,math,math
p=2//9. p-5=,0,-5,p=2//9,math,math
y=8+9. y//4=,17,4,y=8+9,math,math
k=7//6. k+9=,1,10,k=7//6,math,math
w=9*7. w+4=,63,67,w=9*7,math,math
n=7+6. n-2=,13,11,n=7+6,math,math
p=2*4. p+6=,8,14,p=2*4,math,math
b=3+8. b//1=,11,11,b=3+8,math,math
y=6*7. y-8=,42,34,y=6*7,math,math
g=2*6. g*3=,12,36,g=2*6,math,math
l=6-8. l-4=,-2,-6,l=6-8,math,math
v=7-3. v//4=,4,1,v=7-3,math,math
y=4//6. y+6=,0,6,y=4//6,math,math
q=9-6. q-9=,3,-6,q=9-6,math,math
p=7+2. p-9=,9,0,p=7+2,math,math
e=3*4. e+9=,12,21,e=3*4,math,math
l=9//8. l+6=,1,7,l=9//8,math,math
q=6*5. q//8=,30,3,q=6*5,math,math
d=9-4. d+9=,5,14,d=9-4,math,math
n=3-8. n//1=,-5,-5,n=3-8,math,math
s=8+5. s//5=,13,2,s=8+5,math,math
f=7*4. f*2=,28,56,f=7*4,math,math
x=3//4. x*8=,0,0,x=3//4,math,math
m=5+7. m*7=,12,84,m=5+7,math,math
t=3//5. t*5=,0,0,t=3//5,math,math
f=4-7. f+8=,-3,5,f=4-7,math,math
s=7//6. s*9=,1,9,s=7//6,math,math
o=9*3. o+6=,27,33,o=9*3,math,math
k=1*8. k//6=,8,1,k=1*8,math,math
c=9//9. c//5=,1,0,c=9//9,math,math
y=2-4. y+6=,-2,4,y=2-4,math,math
f=7-5. f//3=,2,0,f=7-5,math,math
f=4-7. f*9=,-3,-27,f=4-7,math,math
c=4-2. c*8=,2,16,c=4-2,math,math
k=6-1. k-2=,5,3,k=6-1,math,math
m=9-2. m//9=,7,0,m=9-2,math,math
j=8//1. j+1=,8,9,j=8//1,math,math
f=3+2. f*9=,5,45,f=3+2,math,math
m=5-5. m*9=,0,0,m=5-5,math,math
h=3*1. h//8=,3,0,h=3*1,math,math
k=4+5. k+5=,9,14,k=4+5,math,math
e=7//1. e+4=,7,11,e=7//1,math,math
k=3+7. k*1=,10,10,k=3+7,math,math
h=9+2. h//9=,11,1,h=9+2,math,math
l=4-9. l-4=,-5,-9,l=4-9,math,math
u=3//6. u*2=,0,0,u=3//6,math,math
y=1*4. y//3=,4,1,y=1*4,math,math
d=6*4. d//2=,24,12,d=6*4,math,math
o=6//8. o+9=,0,9,o=6//8,math,math
x=6*8. x+4=,48,52,x=6*8,math,math
v=1-2. v*3=,-1,-3,v=1-2,math,math
o=3+6. o*7=,9,63,o=3+6,math,math
o=9+8. o*1=,17,17,o=9+8,math,math
p=8//9. p//1=,0,0,p=8//9,math,math
o=3*8. o*9=,24,216,o=3*8,math,math
h=6+1. h+6=,7,13,h=6+1,math,math
u=4+2. u*3=,6,18,u=4+2,math,math
u=2*4. u//4=,8,2,u=2*4,math,math
z=5+1. z*5=,6,30,z=5+1,math,math
k=8//2. k+7=,4,11,k=8//2,math,math
u=9+6. u+8=,15,23,u=9+6,math,math
m=2//4. m//9=,0,0,m=2//4,math,math
c=2//6. c*2=,0,0,c=2//6,math,math
b=4+8. b//1=,12,12,b=4+8,math,math
t=3*7. t-2=,21,19,t=3*7,math,math
j=6*9. j*9=,54,486,j=6*9,math,math
u=7-3. u//6=,4,0,u=7-3,math,math
c=2-4. c*2=,-2,-4,c=2-4,math,math
h=9*1. h//7=,9,1,h=9*1,math,math
e=5//6. e-7=,0,-7,e=5//6,math,math
s=5-9. s+7=,-4,3,s=5-9,math,math
e=1+1. e+7=,2,9,e=1+1,math,math
j=6//7. j*1=,0,0,j=6//7,math,math
k=1+6. k//8=,7,0,k=1+6,math,math
c=6//7. c+8=,0,8,c=6//7,math,math
u=3+3. u*3=,6,18,u=3+3,math,math
l=6-3. l*3=,3,9,l=6-3,math,math
j=1//2. j-1=,0,-1,j=1//2,math,math
k=1*8. k+4=,8,12,k=1*8,math,math
k=5*5. k-1=,25,24,k=5*5,math,math
y=4*1. y*1=,4,4,y=4*1,math,math
x=1//1. x//8=,1,0,x=1//1,math,math
x=9*3. x-7=,27,20,x=9*3,math,math
x=5-1. x*5=,4,20,x=5-1,math,math
i=7+3. i*2=,10,20,i=7+3,math,math
a=5-1. a*4=,4,16,a=5-1,math,math
h=4*1. h*7=,4,28,h=4*1,math,math
h=1//5. h-5=,0,-5,h=1//5,math,math
v=6//6. v*6=,1,6,v=6//6,math,math
u=5//6. u//9=,0,0,u=5//6,math,math
u=9+3. u//9=,12,1,u=9+3,math,math
m=8*3. m//9=,24,2,m=8*3,math,math
f=7*6. f-2=,42,40,f=7*6,math,math
n=8//8. n-5=,1,-4,n=8//8,math,math
m=3-7. m*4=,-4,-16,m=3-7,math,math
w=4//9. w-7=,0,-7,w=4//9,math,math
g=5-3. g+4=,2,6,g=5-3,math,math
e=5-4. e//8=,1,0,e=5-4,math,math
t=1*1. t//4=,1,0,t=1*1,math,math
u=6+4. u//4=,10,2,u=6+4,math,math
h=7-5. h+1=,2,3,h=7-5,math,math
x=3*2. x*9=,6,54,x=3*2,math,math
f=5*8. f-1=,40,39,f=5*8,math,math
h=9*9. h//2=,81,40,h=9*9,math,math
q=5-6. q+3=,-1,2,q=5-6,math,math
f=5-6. f//1=,-1,-1,f=5-6,math,math
i=5*2. i*1=,10,10,i=5*2,math,math
(8+2)//4=,10,2,(8+2),math_novar,math_novar
(7+7)+1=,14,15,(7+7),math_novar,math_novar
(2//6)*8=,0,0,(2//6),math_novar,math_novar
(7//6)//3=,1,0,(7//6),math_novar,math_novar
(9-3)*2=,6,12,(9-3),math_novar,math_novar
(4-2)-2=,2,0,(4-2),math_novar,math_novar
(5*2)//9=,10,1,(5*2),math_novar,math_novar
(6//6)//5=,1,0,(6//6),math_novar,math_novar
(5//9)*8=,0,0,(5//9),math_novar,math_novar
(8//7)+5=,1,6,(8//7),math_novar,math_novar
(7-8)+3=,-1,2,(7-8),math_novar,math_novar
(2//2)+4=,1,5,(2//2),math_novar,math_novar
(4*8)*7=,32,224,(4*8),math_novar,math_novar
(9+7)//1=,16,16,(9+7),math_novar,math_novar
(3-3)*8=,0,0,(3-3),math_novar,math_novar
(2//1)//4=,2,0,(2//1),math_novar,math_novar
(3-9)*6=,-6,-36,(3-9),math_novar,math_novar
(2+6)//8=,8,1,(2+6),math_novar,math_novar
(9*6)+8=,54,62,(9*6),math_novar,math_novar
(1*1)-7=,1,-6,(1*1),math_novar,math_novar
(9//7)+4=,1,5,(9//7),math_novar,math_novar
(7+2)//2=,9,4,(7+2),math_novar,math_novar
(7-5)-3=,2,-1,(7-5),math_novar,math_novar
(9+7)-7=,16,9,(9+7),math_novar,math_novar
(8-5)//5=,3,0,(8-5),math_novar,math_novar
(3*7)*6=,21,126,(3*7),math_novar,math_novar
(4//3)-6=,1,-5,(4//3),math_novar,math_novar
(9*7)//9=,63,7,(9*7),math_novar,math_novar
(9-2)+9=,7,16,(9-2),math_novar,math_novar
(1-5)-6=,-4,-10,(1-5),math_novar,math_novar
(7-9)//8=,-2,-1,(7-9),math_novar,math_novar
(7-8)-2=,-1,-3,(7-8),math_novar,math_novar
(5*6)-8=,30,22,(5*6),math_novar,math_novar
(8+6)//6=,14,2,(8+6),math_novar,math_novar
(6-1)//1=,5,5,(6-1),math_novar,math_novar
(6//5)//3=,1,0,(6//5),math_novar,math_novar
(3+1)//9=,4,0,(3+1),math_novar,math_novar
(6*9)//7=,54,7,(6*9),math_novar,math_novar
(4-5)-4=,-1,-5,(4-5),math_novar,math_novar
(5*4)//5=,20,4,(5*4),math_novar,math_novar
(7+2)*3=,9,27,(7+2),math_novar,math_novar
(3//4)//3=,0,0,(3//4),math_novar,math_novar
(2//9)*8=,0,0,(2//9),math_novar,math_novar
(5+7)*4=,12,48,(5+7),math_novar,math_novar
(6*5)+9=,30,39,(6*5),math_novar,math_novar
(6//9)+8=,0,8,(6//9),math_novar,math_novar
(6+2)*7=,8,56,(6+2),math_novar,math_novar
(7*7)*3=,49,147,(7*7),math_novar,math_novar
(2*9)-8=,18,10,(2*9),math_novar,math_novar
(4*8)//9=,32,3,(4*8),math_novar,math_novar
(6-8)//5=,-2,-1,(6-8),math_novar,math_novar
(2//7)+6=,0,6,(2//7),math_novar,math_novar
(6+2)+9=,8,17,(6+2),math_novar,math_novar
(6//3)*9=,2,18,(6//3),math_novar,math_novar
(4*2)-8=,8,0,(4*2),math_novar,math_novar
(5-8)//3=,-3,-1,(5-8),math_novar,math_novar
(1+6)//5=,7,1,(1+6),math_novar,math_novar
(2//7)//9=,0,0,(2//7),math_novar,math_novar
(1//5)+2=,0,2,(1//5),math_novar,math_novar
(9*7)-5=,63,58,(9*7),math_novar,math_novar
(2*7)*8=,14,112,(2*7),math_novar,math_novar
(7-5)+1=,2,3,(7-5),math_novar,math_novar
(1//7)-2=,0,-2,(1//7),math_novar,math_novar
(6+9)-7=,15,8,(6+9),math_novar,math_novar
(6//7)*8=,0,0,(6//7),math_novar,math_novar
(8*7)//4=,56,14,(8*7),math_novar,math_novar
(7//7)+4=,1,5,(7//7),math_novar,math_novar
(8*8)//6=,64,10,(8*8),math_novar,math_novar
(2//5)//1=,0,0,(2//5),math_novar,math_novar
(6-3)-7=,3,-4,(6-3),math_novar,math_novar
(5-2)+4=,3,7,(5-2),math_novar,math_novar
(3//5)*8=,0,0,(3//5),math_novar,math_novar
(7-1)*4=,6,24,(7-1),math_novar,math_novar
(4+4)//5=,8,1,(4+4),math_novar,math_novar
(7//1)+6=,7,13,(7//1),math_novar,math_novar
(6+8)+7=,14,21,(6+8),math_novar,math_novar
(6+7)//8=,13,1,(6+7),math_novar,math_novar
(7+4)*9=,11,99,(7+4),math_novar,math_novar
(1+3)*8=,4,32,(1+3),math_novar,math_novar
(1*4)+8=,4,12,(1*4),math_novar,math_novar
(4-7)//5=,-3,-1,(4-7),math_novar,math_novar
(2*7)*6=,14,84,(2*7),math_novar,math_novar
(4-6)-1=,-2,-3,(4-6),math_novar,math_novar
(6//7)//2=,0,0,(6//7),math_novar,math_novar
(8//4)-1=,2,1,(8//4),math_novar,math_novar
(8-5)-6=,3,-3,(8-5),math_novar,math_novar
(3*3)*9=,9,81,(3*3),math_novar,math_novar
(5*3)-4=,15,11,(5*3),math_novar,math_novar
(9*9)+5=,81,86,(9*9),math_novar,math_novar
(9+3)-1=,12,11,(9+3),math_novar,math_novar
(6*5)*2=,30,60,(6*5),math_novar,math_novar
(3-3)-2=,0,-2,(3-3),math_novar,math_novar
(6//3)*6=,2,12,(6//3),math_novar,math_novar
(2*6)-1=,12,11,(2*6),math_novar,math_novar
(1//5)-9=,0,-9,(1//5),math_novar,math_novar
(8//3)*9=,2,18,(8//3),math_novar,math_novar
(8+3)+1=,11,12,(8+3),math_novar,math_novar
(5*5)+6=,25,31,(5*5),math_novar,math_novar
(3-5)//6=,-2,-1,(3-5),math_novar,math_novar
(8-3)+9=,5,14,(8-3),math_novar,math_novar
(4-2)*3=,2,6,(4-2),math_novar,math_novar
(9*4)//2=,36,18,(9*4),math_novar,math_novar
(7-1)+6=,6,12,(7-1),math_novar,math_novar
(6-4)//7=,2,0,(6-4),math_novar,math_novar
(5+1)+3=,6,9,(5+1),math_novar,math_novar
(7-2)-3=,5,2,(7-2),math_novar,math_novar
(6+9)-8=,15,7,(6+9),math_novar,math_novar
(4*9)+6=,36,42,(4*9),math_novar,math_novar
(4*6)-9=,24,15,(4*6),math_novar,math_novar
(8-9)*4=,-1,-4,(8-9),math_novar,math_novar
(7+3)*6=,10,60,(7+3),math_novar,math_novar
(2+9)*8=,11,88,(2+9),math_novar,math_novar
(5//2)*4=,2,8,(5//2),math_novar,math_novar
(6+1)+9=,7,16,(6+1),math_novar,math_novar
(4+3)*1=,7,7,(4+3),math_novar,math_novar
(1*1)+7=,1,8,(1*1),math_novar,math_novar
(1//8)*9=,0,0,(1//8),math_novar,math_novar
(5-3)-1=,2,1,(5-3),math_novar,math_novar
(4*2)-5=,8,3,(4*2),math_novar,math_novar
(8-5)-8=,3,-5,(8-5),math_novar,math_novar
(4-7)*9=,-3,-27,(4-7),math_novar,math_novar
(5//8)+4=,0,4,(5//8),math_novar,math_novar
(6-3)+7=,3,10,(6-3),math_novar,math_novar
(1-2)//7=,-1,-1,(1-2),math_novar,math_novar
(2-5)+9=,-3,6,(2-5),math_novar,math_novar
(7//4)*4=,1,4,(7//4),math_novar,math_novar
(1//4)-9=,0,-9,(1//4),math_novar,math_novar
(7//9)+2=,0,2,(7//9),math_novar,math_novar
(3+8)-1=,11,10,(3+8),math_novar,math_novar
(8-9)-7=,-1,-8,(8-9),math_novar,math_novar
(3*6)*3=,18,54,(3*6),math_novar,math_novar
(3*8)*6=,24,144,(3*8),math_novar,math_novar
(2-7)//2=,-5,-3,(2-7),math_novar,math_novar
(8*5)*7=,40,280,(8*5),math_novar,math_novar
(1-5)-2=,-4,-6,(1-5),math_novar,math_novar
(2*4)//3=,8,2,(2*4),math_novar,math_novar
(9+6)+7=,15,22,(9+6),math_novar,math_novar
(1-3)*8=,-2,-16,(1-3),math_novar,math_novar
(8-6)-8=,2,-6,(8-6),math_novar,math_novar
(2*2)-9=,4,-5,(2*2),math_novar,math_novar
(6-2)+5=,4,9,(6-2),math_novar,math_novar
(1*5)-1=,5,4,(1*5),math_novar,math_novar
(1//1)-4=,1,-3,(1//1),math_novar,math_novar
(5+8)//6=,13,2,(5+8),math_novar,math_novar
(8-5)*1=,3,3,(8-5),math_novar,math_novar
(3*7)-6=,21,15,(3*7),math_novar,math_novar
(4//9)-8=,0,-8,(4//9),math_novar,math_novar
(5+1)*3=,6,18,(5+1),math_novar,math_novar
(7*6)+2=,42,44,(7*6),math_novar,math_novar
(2+4)*4=,6,24,(2+4),math_novar,math_novar
(2//8)*5=,0,0,(2//8),math_novar,math_novar
(2+1)*2=,3,6,(2+1),math_novar,math_novar
(7-5)+8=,2,10,(7-5),math_novar,math_novar
(1//9)+4=,0,4,(1//9),math_novar,math_novar
(7//9)-7=,0,-7,(7//9),math_novar,math_novar
(8+7)*2=,15,30,(8+7),math_novar,math_novar
(2*9)*8=,18,144,(2*9),math_novar,math_novar
(9+8)//1=,17,17,(9+8),math_novar,math_novar
(9+7)*7=,16,112,(9+7),math_novar,math_novar
(5//8)+7=,0,7,(5//8),math_novar,math_novar
(7//1)//8=,7,0,(7//1),math_novar,math_novar
(9+6)+1=,15,16,(9+6),math_novar,math_novar
(1-1)+3=,0,3,(1-1),math_novar,math_novar
(7*4)*2=,28,56,(7*4),math_novar,math_novar
(7+3)-7=,10,3,(7+3),math_novar,math_novar
(7+7)//1=,14,14,(7+7),math_novar,math_novar
(2-2)+3=,0,3,(2-2),math_novar,math_novar
(6//6)*6=,1,6,(6//6),math_novar,math_novar
(2//3)*8=,0,0,(2//3),math_novar,math_novar
(6//1)*6=,6,36,(6//1),math_novar,math_novar
(2//4)+9=,0,9,(2//4),math_novar,math_novar
(2-8)-3=,-6,-9,(2-8),math_novar,math_novar
(3-3)+9=,0,9,(3-3),math_novar,math_novar
(1*2)+2=,2,4,(1*2),math_novar,math_novar
(7-7)+8=,0,8,(7-7),math_novar,math_novar
(3+7)//2=,10,5,(3+7),math_novar,math_novar
(2//8)*1=,0,0,(2//8),math_novar,math_novar
(1//3)//9=,0,0,(1//3),math_novar,math_novar
(2//6)+5=,0,5,(2//6),math_novar,math_novar
(7//8)-4=,0,-4,(7//8),math_novar,math_novar
(4//6)*6=,0,0,(4//6),math_novar,math_novar
(1-3)//7=,-2,-1,(1-3),math_novar,math_novar
(1-5)//5=,-4,-1,(1-5),math_novar,math_novar
(2+7)+7=,9,16,(2+7),math_novar,math_novar
(8+3)//2=,11,5,(8+3),math_novar,math_novar
(1-7)-7=,-6,-13,(1-7),math_novar,math_novar
(2+1)+2=,3,5,(2+1),math_novar,math_novar
(7*8)*8=,56,448,(7*8),math_novar,math_novar
(3*8)-5=,24,19,(3*8),math_novar,math_novar
(2-5)-3=,-3,-6,(2-5),math_novar,math_novar
(2-8)+1=,-6,-5,(2-8),math_novar,math_novar
(9*7)+7=,63,70,(9*7),math_novar,math_novar
(3-9)-5=,-6,-11,(3-9),math_novar,math_novar
(8*2)*7=,16,112,(8*2),math_novar,math_novar
(9//3)+1=,3,4,(9//3),math_novar,math_novar
(3+9)//4=,12,3,(3+9),math_novar,math_novar
(9-7)*3=,2,6,(9-7),math_novar,math_novar
(5+6)*5=,11,55,(5+6),math_novar,math_novar
(4-8)+9=,-4,5,(4-8),math_novar,math_novar
(9//7)-9=,1,-8,(9//7),math_novar,math_novar
(9//2)-2=,4,2,(9//2),math_novar,math_novar
(2-2)*4=,0,0,(2-2),math_novar,math_novar
(6*9)-6=,54,48,(6*9),math_novar,math_novar
(5-7)+7=,-2,5,(5-7),math_novar,math_novar
(3*4)-6=,12,6,(3*4),math_novar,math_novar
(9*8)*6=,72,432,(9*8),math_novar,math_novar
(9+8)//2=,17,8,(9+8),math_novar,math_novar
(9+8)//7=,17,2,(9+8),math_novar,math_novar
(6+4)*9=,10,90,(6+4),math_novar,math_novar
(5*6)*3=,30,90,(5*6),math_novar,math_novar
(7-7)-3=,0,-3,(7-7),math_novar,math_novar
(7-1)-5=,6,1,(7-1),math_novar,math_novar
(2-6)+8=,-4,4,(2-6),math_novar,math_novar
(9//1)+9=,9,18,(9//1),math_novar,math_novar
(7-8)-5=,-1,-6,(7-8),math_novar,math_novar
(6+5)-4=,11,7,(6+5),math_novar,math_novar
(8+7)-7=,15,8,(8+7),math_novar,math_novar
(8//2)-7=,4,-3,(8//2),math_novar,math_novar
(7-5)*3=,2,6,(7-5),math_novar,math_novar
(8*1)//9=,8,0,(8*1),math_novar,math_novar
(3+7)-2=,10,8,(3+7),math_novar,math_novar
(2*3)-4=,6,2,(2*3),math_novar,math_novar
(5+2)+2=,7,9,(5+2),math_novar,math_novar
(4-7)*1=,-3,-3,(4-7),math_novar,math_novar
(6//1)+8=,6,14,(6//1),math_novar,math_novar
(8//2)-2=,4,2,(8//2),math_novar,math_novar
(8*6)-5=,48,43,(8*6),math_novar,math_novar
(7+7)+2=,14,16,(7+7),math_novar,math_novar
(6//8)*8=,0,0,(6//8),math_novar,math_novar
(8+4)//3=,12,4,(8+4),math_novar,math_novar
(2*1)//1=,2,2,(2*1),math_novar,math_novar
(1*2)+7=,2,9,(1*2),math_novar,math_novar
(2*9)-9=,18,9,(2*9),math_novar,math_novar
(7*2)+5=,14,19,(7*2),math_novar,math_novar
(2*1)*6=,2,12,(2*1),math_novar,math_novar
(2*1)//6=,2,0,(2*1),math_novar,math_novar
(3+8)//6=,11,1,(3+8),math_novar,math_novar
(1-3)-4=,-2,-6,(1-3),math_novar,math_novar
(7*6)*7=,42,294,(7*6),math_novar,math_novar
(8*7)+5=,56,61,(8*7),math_novar,math_novar
(6*3)+1=,18,19,(6*3),math_novar,math_novar
(2+9)+6=,11,17,(2+9),math_novar,math_novar
(9*8)*5=,72,360,(9*8),math_novar,math_novar
(3+1)+9=,4,13,(3+1),math_novar,math_novar
(8*3)+9=,24,33,(8*3),math_novar,math_novar
(7+8)//6=,15,2,(7+8),math_novar,math_novar
(8+5)+2=,13,15,(8+5),math_novar,math_novar
(6//2)-3=,3,0,(6//2),math_novar,math_novar
(6//2)+1=,3,4,(6//2),math_novar,math_novar
(7//8)-9=,0,-9,(7//8),math_novar,math_novar
(4*5)//1=,20,20,(4*5),math_novar,math_novar
(7//7)*3=,1,3,(7//7),math_novar,math_novar
(5*9)//2=,45,22,(5*9),math_novar,math_novar
(4+9)-6=,13,7,(4+9),math_novar,math_novar
(3//1)*2=,3,6,(3//1),math_novar,math_novar
(3-4)*9=,-1,-9,(3-4),math_novar,math_novar
(7//2)+7=,3,10,(7//2),math_novar,math_novar
(9+4)*9=,13,117,(9+4),math_novar,math_novar
(2//2)//3=,1,0,(2//2),math_novar,math_novar
(7*3)-9=,21,12,(7*3),math_novar,math_novar
(5+6)+8=,11,19,(5+6),math_novar,math_novar
(2//7)-8=,0,-8,(2//7),math_novar,math_novar
(4*8)*2=,32,64,(4*8),math_novar,math_novar
(4*1)*2=,4,8,(4*1),math_novar,math_novar
(1-2)-1=,-1,-2,(1-2),math_novar,math_novar
(8+8)//2=,16,8,(8+8),math_novar,math_novar
(5-2)-9=,3,-6,(5-2),math_novar,math_novar
(9*1)-5=,9,4,(9*1),math_novar,math_novar
(1//6)*2=,0,0,(1//6),math_novar,math_novar
(6*3)//7=,18,2,(6*3),math_novar,math_novar
(1//3)//8=,0,0,(1//3),math_novar,math_novar
(9-9)-6=,0,-6,(9-9),math_novar,math_novar
(5-4)//6=,1,0,(5-4),math_novar,math_novar
(9+5)+3=,14,17,(9+5),math_novar,math_novar
(3+2)//4=,5,1,(3+2),math_novar,math_novar
(1+3)-6=,4,-2,(1+3),math_novar,math_novar
(8-1)//6=,7,1,(8-1),math_novar,math_novar
(4*3)*3=,12,36,(4*3),math_novar,math_novar
(1*3)//6=,3,0,(1*3),math_novar,math_novar
(9-6)//7=,3,0,(9-6),math_novar,math_novar
(1+8)+6=,9,15,(1+8),math_novar,math_novar
(2//2)*1=,1,1,(2//2),math_novar,math_novar
(9-3)//9=,6,0,(9-3),math_novar,math_novar
(6+3)*8=,9,72,(6+3),math_novar,math_novar
(8+5)+4=,13,17,(8+5),math_novar,math_novar
(1-3)-3=,-2,-5,(1-3),math_novar,math_novar
(3+7)+8=,10,18,(3+7),math_novar,math_novar
(3-6)*6=,-3,-18,(3-6),math_novar,math_novar
(4*7)-9=,28,19,(4*7),math_novar,math_novar
(4-1)//3=,3,1,(4-1),math_novar,math_novar
(7-3)+8=,4,12,(7-3),math_novar,math_novar
(3+6)+1=,9,10,(3+6),math_novar,math_novar
(5-8)-9=,-3,-12,(5-8),math_novar,math_novar
(5+7)-2=,12,10,(5+7),math_novar,math_novar
(5*1)-6=,5,-1,(5*1),math_novar,math_novar
(6+1)-8=,7,-1,(6+1),math_novar,math_novar
(2*4)-1=,8,7,(2*4),math_novar,math_novar
(1+3)+3=,4,7,(1+3),math_novar,math_novar
(7*4)*5=,28,140,(7*4),math_novar,math_novar
(1+4)-7=,5,-2,(1+4),math_novar,math_novar
(4+5)-1=,9,8,(4+5),math_novar,math_novar
(8-1)+6=,7,13,(8-1),math_novar,math_novar
(8+9)//7=,17,2,(8+9),math_novar,math_novar
(2*7)+4=,14,18,(2*7),math_novar,math_novar
(2*4)-2=,8,6,(2*4),math_novar,math_novar
(3-6)+3=,-3,0,(3-6),math_novar,math_novar
(2-1)+8=,1,9,(2-1),math_novar,math_novar
(7+9)//1=,16,16,(7+9),math_novar,math_novar
(7//9)+6=,0,6,(7//9),math_novar,math_novar
(8-5)*5=,3,15,(8-5),math_novar,math_novar
(8+2)+3=,10,13,(8+2),math_novar,math_novar
(5//4)+5=,1,6,(5//4),math_novar,math_novar
(1*9)+1=,9,10,(1*9),math_novar,math_novar
(1*9)*6=,9,54,(1*9),math_novar,math_novar
(1//2)//8=,0,0,(1//2),math_novar,math_novar
(1-9)*5=,-8,-40,(1-9),math_novar,math_novar
(3-6)-8=,-3,-11,(3-6),math_novar,math_novar
(6*1)+8=,6,14,(6*1),math_novar,math_novar
(3-9)//1=,-6,-6,(3-9),math_novar,math_novar
(6*4)+2=,24,26,(6*4),math_novar,math_novar
(7*7)*2=,49,98,(7*7),math_novar,math_novar
(9-7)-3=,2,-1,(9-7),math_novar,math_novar
(2//5)//6=,0,0,(2//5),math_novar,math_novar
(9*8)-9=,72,63,(9*8),math_novar,math_novar
(7-1)*2=,6,12,(7-1),math_novar,math_novar
(7*2)-3=,14,11,(7*2),math_novar,math_novar
(5-1)//7=,4,0,(5-1),math_novar,math_novar
(5+5)//5=,10,2,(5+5),math_novar,math_novar
(7-7)*4=,0,0,(7-7),math_novar,math_novar
(9+4)-3=,13,10,(9+4),math_novar,math_novar
(1*9)+9=,9,18,(1*9),math_novar,math_novar
(9*4)*1=,36,36,(9*4),math_novar,math_novar
(3*7)+3=,21,24,(3*7),math_novar,math_novar
(3//6)*4=,0,0,(3//6),math_novar,math_novar
(3//8)+6=,0,6,(3//8),math_novar,math_novar
(9//3)*6=,3,18,(9//3),math_novar,math_novar
(3+2)+5=,5,10,(3+2),math_novar,math_novar
(5*2)//6=,10,1,(5*2),math_novar,math_novar
(8//2)+6=,4,10,(8//2),math_novar,math_novar
(4*6)//5=,24,4,(4*6),math_novar,math_novar
(8-3)*4=,5,20,(8-3),math_novar,math_novar
(1//7)//3=,0,0,(1//7),math_novar,math_novar
