English,Spanish,Gender,Article,Example,Is_Plural,Multiple_Words
clipboard,portapapeles,masculine,el,La tabla con gancho que sostiene hojas es,0,0
coliseum,coliseo,masculine,el,El anfiteatro romano donde peleaban gladiadores es,0,0
computer,computadora,feminine,la,La máquina electrónica que procesa información es,0,0
confetti,confeti,masculine,el,Los papelitos de colores que lanzas en fiestas son,0,0
cradle,cuna,feminine,la,La camita donde duermen los bebés es,0,0
crate,caja,feminine,la,El contenedor de madera para transportar cosas es,0,0
crayfish,langostino,masculine,el,El crustáceo pequeño parecido a la langosta es,0,0
crow,cuervo,masculine,el,El ave negra que hace caw caw es,0,0
cumin,comino,masculine,el,La especia aromática que usas en guisos es,0,0
dentist,dentista,masculine,el,El doctor que cuida y arregla los dientes es,0,0
dessert,postre,masculine,el,El dulce que comes al final de la comida es,0,0
diploma,diploma,masculine,el,El documento que recibes al graduarte es,0,0
dollar,dólar,masculine,el,La moneda americana de papel verde es,0,0
